Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,      0.000000
       1.0,       10.0800,        0.0348,      0.000239
       2.0,       10.0800,        0.0877,      0.000601
       3.0,       10.0800,        0.1506,      0.001033
       4.0,       10.0800,        0.2212,      0.001517
       5.0,       10.8000,        0.2994,      0.002053
       6.0,       10.8000,        0.3943,      0.002703
       7.0,       10.8000,        0.5085,      0.003486
       8.0,       10.8000,        0.6520,      0.004470
       9.0,       10.8000,        0.8295,      0.005687
      10.0,       11.6400,        1.0336,      0.007086
      11.0,       11.6400,        1.2563,      0.008613
      12.0,       11.6400,        1.4688,      0.010070
      13.0,       11.6400,        1.6548,      0.011345
      14.0,       11.6400,        1.8046,      0.012372
      15.0,       12.8400,        1.9167,      0.013140
      16.0,       12.8400,        2.0109,      0.013786
      17.0,       12.8400,        2.0800,      0.014260
      18.0,       12.8400,        2.1320,      0.014617
      19.0,       12.8400,        2.1736,      0.014902
      20.0,       14.1600,        2.2093,      0.015147
      21.0,       14.1600,        2.2587,      0.015485
      22.0,       14.1600,        2.3057,      0.015807
      23.0,       14.1600,        2.3503,      0.016113
      24.0,       14.1600,        2.3927,      0.016404
      25.0,       15.9600,        2.4330,      0.016680
      26.0,       15.9600,        2.4950,      0.017105
      27.0,       15.9600,        2.5544,      0.017512
      28.0,       15.9600,        2.6107,      0.017899
      29.0,       15.9600,        2.6643,      0.018266
      30.0,       18.2400,        2.7156,      0.018617
      31.0,       18.2400,        2.7958,      0.019167
      32.0,       18.2400,        2.8734,      0.019700
      33.0,       18.2400,        2.9480,      0.020211
      34.0,       18.2400,        3.0196,      0.020702
      35.0,       21.6000,        3.0888,      0.021176
      36.0,       21.6000,        3.2046,      0.021970
      37.0,       21.6000,        3.3217,      0.022773
      38.0,       21.6000,        3.4418,      0.023596
      39.0,       21.6000,        3.5695,      0.024472
      40.0,       26.7600,        3.7103,      0.025437
      41.0,       26.7600,        3.9600,      0.027149
      42.0,       26.7600,        4.2668,      0.029252
      43.0,       26.7599,        4.6459,      0.031851
      44.0,       26.7600,        5.1128,      0.035052
      45.0,       36.0000,        5.6802,      0.038942
      46.0,       36.0000,        6.5690,      0.045036
      47.0,       36.0000,        7.6959,      0.052762
      48.0,       36.0000,        9.0554,      0.062082
      49.0,       36.0000,       10.6319,      0.072890
      50.0,       57.9600,       12.3943,      0.084972
      51.0,       57.9600,       15.0034,      0.102860
      52.0,       57.9600,       18.2008,      0.124781
      53.0,       57.9601,       21.8449,      0.149764
      54.0,       57.9600,       25.8209,      0.177023
      55.0,      204.3600,       29.9619,      0.205412
      56.0,      204.3600,       41.3834,      0.283716
      57.0,      204.3600,       60.3960,      0.414062
      58.0,      204.3600,       86.5700,      0.593505
      59.0,      204.3600,      117.2532,      0.803862
      60.0,      204.4800,      146.8530,      1.006792
      61.0,      204.4800,      169.4543,      1.161742
      62.0,      204.4802,      182.9698,      1.254401
      63.0,      204.4800,      189.2605,      1.297529
      64.0,      204.4800,      191.4960,      1.312854
      65.0,       57.9601,      192.1105,      1.317067
      66.0,       57.9598,      180.3810,      1.236653
      67.0,       57.9601,      159.5692,      1.093971
      68.0,       57.9598,      135.3037,      0.927613
      69.0,       57.9601,      111.3432,      0.763345
      70.0,       35.9999,       90.5749,      0.620962
      71.0,       35.9999,       73.3613,      0.502949
      72.0,       36.0002,       60.2200,      0.412855
      73.0,       35.9999,       50.5811,      0.346773
      74.0,       35.9999,       43.5269,      0.298411
      75.0,       26.7599,       38.3052,      0.262612
      76.0,       26.7599,       34.0448,      0.233404
      77.0,       26.7602,       30.5851,      0.209685
      78.0,       26.7599,       27.7582,      0.190304
      79.0,       26.7599,       25.4079,      0.174191
      80.0,       21.5998,       23.4291,      0.160625
      81.0,       21.6003,       21.5955,      0.148054
      82.0,       21.5998,       19.9699,      0.136909
      83.0,       21.6003,       18.5572,      0.127224
      84.0,       21.5998,       17.3340,      0.118838
      85.0,       18.2399,       16.2707,      0.111548
      86.0,       18.2399,       15.2481,      0.104537
      87.0,       18.2404,       14.3111,      0.098114
      88.0,       18.2399,       13.4694,      0.092343
      89.0,       18.2399,       12.7201,      0.087206
      90.0,       15.9600,       12.0548,      0.082645
      91.0,       15.9600,       11.4054,      0.078193
      92.0,       15.9596,       10.8025,      0.074060
      93.0,       15.9600,       10.2516,      0.070283
      94.0,       15.9600,        9.7529,      0.066864
      95.0,       14.1598,        9.3037,      0.063784
      96.0,       14.1603,        8.8581,      0.060729
      97.0,       14.1598,        8.4410,      0.057870
      98.0,       14.1603,        8.0555,      0.055227
      99.0,       14.1598,        7.7015,      0.052800
     100.0,       12.7199,        7.3775,      0.050579
     101.0,       12.7204,        7.0510,      0.048340
     102.0,       12.7199,        6.7422,      0.046223
     103.0,       12.7204,        6.4538,      0.044246
     104.0,       12.7199,        6.1861,      0.042410
     105.0,       11.7597,        5.9384,      0.040713
     106.0,       11.7601,        5.6906,      0.039014
     107.0,       11.7597,        5.4559,      0.037404
     108.0,       11.7601,        5.2362,      0.035898
     109.0,       11.7597,        5.0321,      0.034499
     110.0,       10.7999,        4.8433,      0.033205
     111.0,       10.7999,        4.6509,      0.031885
     112.0,       10.8004,        4.4671,      0.030625
     113.0,       10.7999,        4.2937,      0.029436
     114.0,       10.7999,        4.1308,      0.028320
     115.0,       10.0802,        3.9781,      0.027273
     116.0,       10.0802,        3.8220,      0.026203
     117.0,       10.0797,        3.6717,      0.025172
     118.0,       10.0802,        3.5284,      0.024190
     119.0,       10.0802,        3.3926,      0.023259
     120.0,        0.0000,        3.2645,      0.022380
     121.0,        0.0000,        2.9829,      0.020450
     122.0,        0.0000,        2.6934,      0.018465
     123.0,        0.0000,        2.4248,      0.016624
     124.0,        0.0000,        2.1799,      0.014945
     125.0,        0.0000,        1.9474,      0.013351
     126.0,        0.0000,        1.7224,      0.011809
     127.0,        0.0000,        1.5068,      0.010331
     128.0,        0.0000,        1.3045,      0.008943
     129.0,        0.0000,        1.1188,      0.007670
     130.0,        0.0000,        0.9520,      0.006527
     131.0,        0.0000,        0.8051,      0.005519
     132.0,        0.0000,        0.6777,      0.004646
     133.0,        0.0000,        0.5690,      0.003901
     134.0,        0.0000,        0.4773,      0.003272
     135.0,        0.0000,        0.4005,      0.002746
     136.0,        0.0000,        0.3366,      0.002308
     137.0,        0.0000,        0.2836,      0.001944
     138.0,        0.0000,        0.2396,      0.001643
     139.0,        0.0000,        0.2032,      0.001393
     140.0,        0.0000,        0.1728,      0.001185
     141.0,        0.0000,        0.1476,      0.001012
