Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.0091,       0.00841
       2.0,       0.39685,       0.02257,       0.02087
       3.0,       0.39685,       0.03674,       0.03397
       4.0,       0.39685,       0.04829,       0.04465
       5.0,       0.4252,       0.05535,       0.05117
       6.0,       0.4252,       0.05976,       0.05525
       7.0,       0.4252,       0.06182,       0.05716
       8.0,       0.4252,       0.06285,       0.05811
       9.0,       0.4252,       0.06342,       0.05864
      10.0,       0.45827,       0.06371,       0.05891
      11.0,       0.45827,       0.06535,       0.06042
      12.0,       0.45827,       0.06669,       0.06166
      13.0,       0.45827,       0.06769,       0.06258
      14.0,       0.45827,       0.06833,       0.06318
      15.0,       0.50551,       0.06867,       0.06349
      16.0,       0.50551,       0.07101,       0.06565
      17.0,       0.50551,       0.07292,       0.06742
      18.0,       0.50551,       0.07435,       0.06875
      19.0,       0.50551,       0.07526,       0.06959
      20.0,       0.55748,       0.07572,       0.07001
      21.0,       0.55748,       0.07837,       0.07246
      22.0,       0.55748,       0.08051,       0.07444
      23.0,       0.55748,       0.08208,       0.07589
      24.0,       0.55748,       0.08306,       0.0768
      25.0,       0.62835,       0.08354,       0.07724
      26.0,       0.62835,       0.08716,       0.08059
      27.0,       0.62835,       0.09011,       0.08331
      28.0,       0.62835,       0.09225,       0.0853
      29.0,       0.62835,       0.09354,       0.08649
      30.0,       0.71811,       0.09415,       0.08705
      31.0,       0.71811,       0.09885,       0.0914
      32.0,       0.71811,       0.10264,       0.0949
      33.0,       0.71811,       0.10535,       0.09741
      34.0,       0.71811,       0.10694,       0.09888
      35.0,       0.85039,       0.10765,       0.09953
      36.0,       0.85039,       0.11472,       0.10607
      37.0,       0.85039,       0.12044,       0.11136
      38.0,       0.85039,       0.12446,       0.11508
      39.0,       0.85039,       0.12674,       0.11718
      40.0,       1.05354,       0.12771,       0.11808
      41.0,       1.05354,       0.13907,       0.12859
      42.0,       1.05354,       0.14843,       0.13724
      43.0,       1.05354,       0.15501,       0.14332
      44.0,       1.05354,       0.15876,       0.14679
      45.0,       1.41732,       0.16051,       0.14841
      46.0,       1.41732,       0.18362,       0.16978
      47.0,       1.41732,       0.20663,       0.19105
      48.0,       1.41732,       0.22972,       0.2124
      49.0,       1.41732,       0.25449,       0.2353
      50.0,       2.28189,       0.28405,       0.26264
      51.0,       2.28189,       0.4019,       0.3716
      52.0,       2.28189,       0.5676,       0.5248
      53.0,       2.28189,       0.76334,       0.70578
      54.0,       2.28189,       0.95644,       0.88433
      55.0,       8.04567,       1.11725,       1.03301
      56.0,       8.04567,       2.25723,       2.08703
      57.0,       8.04567,       4.06826,       3.76151
      58.0,       8.04567,       5.77024,       5.33516
      59.0,       8.04567,       6.75163,       6.24256
      60.0,       8.05039,       7.07742,       6.54377
      61.0,       8.05039,       7.12522,       6.58797
      62.0,       8.0504,       7.13313,       6.59529
      63.0,       8.05039,       7.15017,       6.61104
      64.0,       8.05039,       7.16753,       6.62709
      65.0,       2.28189,       7.18248,       6.64091
      66.0,       2.28189,       5.7663,       5.33152
      67.0,       2.28189,       4.00698,       3.70484
      68.0,       2.28189,       2.79133,       2.58086
      69.0,       2.28189,       2.10415,       1.9455
      70.0,       1.41732,       1.75079,       1.61878
      71.0,       1.41732,       1.45706,       1.3472
      72.0,       1.41733,       1.22689,       1.13438
      73.0,       1.41732,       1.05951,       0.97962
      74.0,       1.41732,       0.94107,       0.87011
      75.0,       1.05354,       0.85767,       0.793
      76.0,       1.05354,       0.75802,       0.70087
      77.0,       1.05355,       0.66887,       0.61844
      78.0,       1.05354,       0.59867,       0.55353
      79.0,       1.05354,       0.54721,       0.50595
      80.0,       0.85039,       0.51019,       0.47172
      81.0,       0.85041,       0.46331,       0.42838
      82.0,       0.85039,       0.41966,       0.38802
      83.0,       0.85041,       0.38294,       0.35406
      84.0,       0.85039,       0.35425,       0.32754
      85.0,       0.71811,       0.3327,       0.30762
      86.0,       0.71811,       0.30473,       0.28175
      87.0,       0.71813,       0.27789,       0.25693
      88.0,       0.71811,       0.25424,       0.23507
      89.0,       0.71811,       0.23465,       0.21695
      90.0,       0.62835,       0.21893,       0.20242
      91.0,       0.62835,       0.19952,       0.18448
      92.0,       0.62833,       0.18148,       0.1678
      93.0,       0.62835,       0.16579,       0.15329
      94.0,       0.62835,       0.15283,       0.14131
      95.0,       0.55747,       0.14243,       0.13168
      96.0,       0.55749,       0.12952,       0.11975
      97.0,       0.55747,       0.11789,       0.10901
      98.0,       0.55749,       0.10805,       0.0999
      99.0,       0.55747,       0.1002,       0.09265
     100.0,       0.50078,       0.09428,       0.08717
     101.0,       0.5008,       0.08716,       0.08058
     102.0,       0.50078,       0.08193,       0.07575
     103.0,       0.5008,       0.07854,       0.07262
     104.0,       0.50078,       0.07663,       0.07085
     105.0,       0.46298,       0.07572,       0.07001
     106.0,       0.463,       0.07358,       0.06804
     107.0,       0.46298,       0.07199,       0.06656
     108.0,       0.463,       0.07084,       0.0655
     109.0,       0.46298,       0.07012,       0.06483
     110.0,       0.42519,       0.06975,       0.06449
     111.0,       0.42519,       0.06785,       0.06274
     112.0,       0.42521,       0.06633,       0.06133
     113.0,       0.42519,       0.06521,       0.06029
     114.0,       0.42519,       0.06448,       0.05961
     115.0,       0.39686,       0.06409,       0.05926
     116.0,       0.39686,       0.06265,       0.05792
     117.0,       0.39684,       0.06151,       0.05687
     118.0,       0.39686,       0.06066,       0.05608
     119.0,       0.39686,       0.0601,       0.05557
     120.0,       0.00000,       0.0598,       0.05529
     121.0,       0.00000,       0.04257,       0.03936
     122.0,       0.00000,       0.02911,       0.02691
     123.0,       0.00000,       0.01926,       0.01781
     124.0,       0.00000,       0.01247,       0.01153
     125.0,       0.00000,       0.008,       0.0074
     126.0,       0.00000,       0.00515,       0.00476
     127.0,       0.00000,       0.00335,       0.0031
     128.0,       0.00000,       0.00222,       0.00205
     129.0,       0.00000,       0.00149,       0.00138
     130.0,       0.00000,       0.00103,       0.00095
     131.0,       0.00000,       0.00072,       0.00067
     132.0,       0.00000,       0.00052,       0.00048
     133.0,       0.00000,       0.00038,       0.00035
     134.0,       0.00000,       0.00028,       0.00026
     135.0,       0.00000,       0.00022,       0.0002
     136.0,       0.00000,       0.00017,       0.00016
     137.0,       0.00000,       0.00013,       0.00012
     138.0,       0.00000,       0.00011,       0.0001
     139.0,       0.00000,       8E-05,       8E-05
     140.0,       0.00000,       7E-05,       6E-05
     141.0,       0.00000,       6E-05,       5E-05
     142.0,       0.00000,       5E-05,       5E-05
     143.0,       0.00000,       4E-05,       4E-05
     144.0,       0.00000,       4E-05,       4E-05
     145.0,       0.00000,       3E-05,       3E-05
     146.0,       0.00000,       3E-05,       3E-05
     147.0,       0.00000,       3E-05,       2E-05
     148.0,       0.00000,       2E-05,       2E-05
     149.0,       0.00000,       2E-05,       2E-05
     150.0,       0.00000,       2E-05,       2E-05
     151.0,       0.00000,       2E-05,       2E-05
     152.0,       0.00000,       2E-05,       2E-05
     153.0,       0.00000,       2E-05,       2E-05
     154.0,       0.00000,       2E-05,       2E-05
     155.0,       0.00000,       2E-05,       2E-05
     156.0,       0.00000,       2E-05,       2E-05
     157.0,       0.00000,       2E-05,       1E-05
     158.0,       0.00000,       2E-05,       1E-05
     159.0,       0.00000,       2E-05,       1E-05
     160.0,       0.00000,       2E-05,       1E-05
     161.0,       0.00000,       2E-05,       1E-05
     162.0,       0.00000,       2E-05,       1E-05
     163.0,       0.00000,       2E-05,       1E-05
     164.0,       0.00000,       2E-05,       1E-05
     165.0,       0.00000,       2E-05,       1E-05
     166.0,       0.00000,       2E-05,       1E-05
     167.0,       0.00000,       2E-05,       1E-05
     168.0,       0.00000,       2E-05,       1E-05
     169.0,       0.00000,       2E-05,       1E-05
     170.0,       0.00000,       2E-05,       1E-05
     171.0,       0.00000,       2E-05,       1E-05
     172.0,       0.00000,       2E-05,       1E-05
     173.0,       0.00000,       2E-05,       1E-05
     174.0,       0.00000,       2E-05,       1E-05
     175.0,       0.00000,       2E-05,       1E-05
     176.0,       0.00000,       2E-05,       1E-05
     177.0,       0.00000,       2E-05,       1E-05
     178.0,       0.00000,       2E-05,       1E-05
     179.0,       0.00000,       2E-05,       1E-05
     180.0,       0.00000,       2E-05,       1E-05
     181.0,       0.00000,       2E-05,       1E-05
     182.0,       0.00000,       2E-05,       1E-05
     183.0,       0.00000,       2E-05,       1E-05
     184.0,       0.00000,       2E-05,       1E-05
     185.0,       0.00000,       2E-05,       1E-05
     186.0,       0.00000,       2E-05,       1E-05
     187.0,       0.00000,       2E-05,       1E-05
     188.0,       0.00000,       2E-05,       1E-05
     189.0,       0.00000,       2E-05,       1E-05
     190.0,       0.00000,       2E-05,       1E-05
     191.0,       0.00000,       2E-05,       1E-05
     192.0,       0.00000,       2E-05,       1E-05
     193.0,       0.00000,       2E-05,       1E-05
     194.0,       0.00000,       2E-05,       1E-05
     195.0,       0.00000,       2E-05,       1E-05
     196.0,       0.00000,       2E-05,       1E-05
     197.0,       0.00000,       2E-05,       1E-05
     198.0,       0.00000,       2E-05,       1E-05
     199.0,       0.00000,       2E-05,       1E-05
     200.0,       0.00000,       2E-05,       1E-05
     201.0,       0.00000,       2E-05,       1E-05
     202.0,       0.00000,       2E-05,       1E-05
     203.0,       0.00000,       2E-05,       1E-05
     204.0,       0.00000,       2E-05,       1E-05
     205.0,       0.00000,       2E-05,       1E-05
     206.0,       0.00000,       2E-05,       1E-05
     207.0,       0.00000,       2E-05,       1E-05
     208.0,       0.00000,       2E-05,       1E-05
     209.0,       0.00000,       2E-05,       1E-05
     210.0,       0.00000,       2E-05,       1E-05
     211.0,       0.00000,       2E-05,       1E-05
     212.0,       0.00000,       2E-05,       1E-05
     213.0,       0.00000,       2E-05,       1E-05
     214.0,       0.00000,       2E-05,       1E-05
     215.0,       0.00000,       2E-05,       1E-05
     216.0,       0.00000,       2E-05,       1E-05
     217.0,       0.00000,       2E-05,       1E-05
     218.0,       0.00000,       2E-05,       1E-05
     219.0,       0.00000,       2E-05,       1E-05
     220.0,       0.00000,       2E-05,       1E-05
     221.0,       0.00000,       2E-05,       1E-05
     222.0,       0.00000,       2E-05,       1E-05
     223.0,       0.00000,       2E-05,       1E-05
     224.0,       0.00000,       2E-05,       1E-05
     225.0,       0.00000,       2E-05,       1E-05
     226.0,       0.00000,       2E-05,       1E-05
     227.0,       0.00000,       2E-05,       1E-05
     228.0,       0.00000,       2E-05,       1E-05
     229.0,       0.00000,       2E-05,       1E-05
     230.0,       0.00000,       2E-05,       1E-05
     231.0,       0.00000,       2E-05,       1E-05
     232.0,       0.00000,       2E-05,       1E-05
     233.0,       0.00000,       2E-05,       1E-05
     234.0,       0.00000,       2E-05,       1E-05
     235.0,       0.00000,       2E-05,       1E-05
     236.0,       0.00000,       2E-05,       1E-05
     237.0,       0.00000,       2E-05,       1E-05
     238.0,       0.00000,       2E-05,       1E-05
     239.0,       0.00000,       2E-05,       1E-05
     240.0,       0.00000,       2E-05,       1E-05
     241.0,       0.00000,       2E-05,       1E-05
     242.0,       0.00000,       2E-05,       1E-05
     243.0,       0.00000,       2E-05,       1E-05
     244.0,       0.00000,       2E-05,       1E-05
     245.0,       0.00000,       2E-05,       1E-05
     246.0,       0.00000,       2E-05,       1E-05
     247.0,       0.00000,       2E-05,       1E-05
     248.0,       0.00000,       2E-05,       1E-05
     249.0,       0.00000,       2E-05,       1E-05
     250.0,       0.00000,       2E-05,       1E-05
     251.0,       0.00000,       2E-05,       1E-05
     252.0,       0.00000,       2E-05,       1E-05
     253.0,       0.00000,       2E-05,       1E-05
     254.0,       0.00000,       2E-05,       1E-05
     255.0,       0.00000,       2E-05,       1E-05
     256.0,       0.00000,       2E-05,       1E-05
     257.0,       0.00000,       2E-05,       1E-05
     258.0,       0.00000,       2E-05,       1E-05
     259.0,       0.00000,       2E-05,       1E-05
     260.0,       0.00000,       2E-05,       1E-05
     261.0,       0.00000,       2E-05,       1E-05
     262.0,       0.00000,       2E-05,       1E-05
     263.0,       0.00000,       2E-05,       1E-05
     264.0,       0.00000,       2E-05,       1E-05
     265.0,       0.00000,       2E-05,       1E-05
     266.0,       0.00000,       2E-05,       1E-05
     267.0,       0.00000,       2E-05,       1E-05
     268.0,       0.00000,       2E-05,       1E-05
     269.0,       0.00000,       2E-05,       1E-05
     270.0,       0.00000,       2E-05,       1E-05
     271.0,       0.00000,       2E-05,       1E-05
     272.0,       0.00000,       2E-05,       1E-05
     273.0,       0.00000,       2E-05,       1E-05
     274.0,       0.00000,       2E-05,       1E-05
     275.0,       0.00000,       2E-05,       1E-05
     276.0,       0.00000,       2E-05,       1E-05
