Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.0058,       0.00842
       2.0,       0.39685,       0.01461,       0.02121
       3.0,       0.39685,       0.02489,       0.03613
       4.0,       0.39685,       0.03557,       0.05163
       5.0,       0.4252,       0.04512,       0.06549
       6.0,       0.4252,       0.0531,       0.07708
       7.0,       0.4252,       0.05818,       0.08445
       8.0,       0.4252,       0.06092,       0.08843
       9.0,       0.4252,       0.06226,       0.09037
      10.0,       0.45827,       0.06291,       0.09132
      11.0,       0.45827,       0.06435,       0.09341
      12.0,       0.45827,       0.06554,       0.09513
      13.0,       0.45827,       0.06651,       0.09654
      14.0,       0.45827,       0.06727,       0.09765
      15.0,       0.50551,       0.06781,       0.09844
      16.0,       0.50551,       0.06978,       0.10128
      17.0,       0.50551,       0.07144,       0.1037
      18.0,       0.50551,       0.07282,       0.1057
      19.0,       0.50551,       0.0739,       0.10726
      20.0,       0.55748,       0.07466,       0.10838
      21.0,       0.55748,       0.07695,       0.1117
      22.0,       0.55748,       0.07885,       0.11447
      23.0,       0.55748,       0.0804,       0.11671
      24.0,       0.55748,       0.08159,       0.11843
      25.0,       0.62835,       0.08241,       0.11962
      26.0,       0.62835,       0.08544,       0.12403
      27.0,       0.62835,       0.088,       0.12774
      28.0,       0.62835,       0.09009,       0.13078
      29.0,       0.62835,       0.0917,       0.1331
      30.0,       0.71811,       0.09279,       0.13469
      31.0,       0.71811,       0.09673,       0.14041
      32.0,       0.71811,       0.10004,       0.14521
      33.0,       0.71811,       0.10271,       0.1491
      34.0,       0.71811,       0.10472,       0.15202
      35.0,       0.85039,       0.10606,       0.15395
      36.0,       0.85039,       0.11184,       0.16235
      37.0,       0.85039,       0.11674,       0.16946
      38.0,       0.85039,       0.12071,       0.17522
      39.0,       0.85039,       0.12365,       0.17949
      40.0,       1.05354,       0.12554,       0.18223
      41.0,       1.05354,       0.13463,       0.19542
      42.0,       1.05354,       0.14238,       0.20667
      43.0,       1.05354,       0.14863,       0.21575
      44.0,       1.05354,       0.15318,       0.22236
      45.0,       1.41732,       0.15601,       0.22646
      46.0,       1.41733,       0.17301,       0.25113
      47.0,       1.41732,       0.18842,       0.27351
      48.0,       1.41732,       0.20213,       0.2934
      49.0,       1.41732,       0.21396,       0.31059
      50.0,       2.28189,       0.22434,       0.32565
      51.0,       2.28189,       0.27879,       0.40468
      52.0,       2.28189,       0.3408,       0.49469
      53.0,       2.28189,       0.4097,       0.59472
      54.0,       2.28189,       0.4839,       0.70242
      55.0,       8.04567,       0.56404,       0.81875
      56.0,       8.04567,       1.13091,       1.64162
      57.0,       8.04567,       1.99072,       2.88971
      58.0,       8.04567,       3.08256,       4.4746
      59.0,       8.04567,       4.26387,       6.18938
      60.0,       8.05039,       5.36187,       7.78322
      61.0,       8.05039,       6.21538,       9.02217
      62.0,       8.0504,       6.7504,       9.79879
      63.0,       8.05039,       7.01165,       10.17801
      64.0,       8.05039,       7.10816,       10.31811
      65.0,       2.28189,       7.13831,       10.36188
      66.0,       2.28189,       6.29093,       9.13183
      67.0,       2.28189,       5.21517,       7.57027
      68.0,       2.28189,       4.25497,       6.17646
      69.0,       2.28189,       3.49965,       5.08005
      70.0,       1.41732,       2.92863,       4.25116
      71.0,       1.41732,       2.41226,       3.5016
      72.0,       1.41733,       1.99435,       2.89498
      73.0,       1.41732,       1.67185,       2.42684
      74.0,       1.41732,       1.43021,       2.07608
      75.0,       1.05354,       1.25123,       1.81627
      76.0,       1.05354,       1.08959,       1.58163
      77.0,       1.05355,       0.95895,       1.392
      78.0,       1.05354,       0.85546,       1.24178
      79.0,       1.05354,       0.77433,       1.12401
      80.0,       0.85039,       0.71022,       1.03095
      81.0,       0.85041,       0.64453,       0.93558
      82.0,       0.85039,       0.58665,       0.85156
      83.0,       0.85041,       0.53683,       0.77926
      84.0,       0.85039,       0.49504,       0.71859
      85.0,       0.71811,       0.46048,       0.66843
      86.0,       0.71811,       0.42356,       0.61483
      87.0,       0.71813,       0.39024,       0.56646
