Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00623,       0.00842
       2.0,       0.39685,       0.01562,       0.02113
       3.0,       0.39685,       0.02625,       0.03551
       4.0,       0.39685,       0.03638,       0.04921
       5.0,       0.4252,       0.04418,       0.05976
       6.0,       0.4252,       0.04981,       0.06738
       7.0,       0.4252,       0.05282,       0.07145
       8.0,       0.4252,       0.05427,       0.07341
       9.0,       0.4252,       0.05497,       0.07436
      10.0,       0.45827,       0.05534,       0.07486
      11.0,       0.45827,       0.05665,       0.07663
      12.0,       0.45827,       0.05774,       0.0781
      13.0,       0.45827,       0.0586,       0.07927
      14.0,       0.45827,       0.05923,       0.08013
      15.0,       0.50551,       0.05964,       0.08067
      16.0,       0.50551,       0.06148,       0.08317
      17.0,       0.50551,       0.06303,       0.08526
      18.0,       0.50551,       0.06426,       0.08693
      19.0,       0.50551,       0.06516,       0.08814
      20.0,       0.55748,       0.06572,       0.0889
      21.0,       0.55748,       0.06784,       0.09177
      22.0,       0.55748,       0.06959,       0.09413
      23.0,       0.55748,       0.07096,       0.09599
      24.0,       0.55748,       0.07194,       0.09731
      25.0,       0.62835,       0.07254,       0.09812
      26.0,       0.62835,       0.0754,       0.102
      27.0,       0.62835,       0.0778,       0.10524
      28.0,       0.62835,       0.0797,       0.10781
      29.0,       0.62835,       0.08104,       0.10962
      30.0,       0.71811,       0.08185,       0.11072
      31.0,       0.71811,       0.08563,       0.11583
      32.0,       0.71811,       0.08885,       0.12019
      33.0,       0.71811,       0.09143,       0.12368
      34.0,       0.71811,       0.0933,       0.12621
      35.0,       0.85039,       0.09449,       0.12781
      36.0,       0.85039,       0.10059,       0.13606
      37.0,       0.85039,       0.10649,       0.14405
      38.0,       0.85039,       0.11233,       0.15196
      39.0,       0.85039,       0.11839,       0.16015
      40.0,       1.05354,       0.12517,       0.16932
      41.0,       1.05354,       0.14402,       0.19481
      42.0,       1.05354,       0.16904,       0.22866
      43.0,       1.05354,       0.20082,       0.27165
      44.0,       1.05354,       0.23885,       0.32309
      45.0,       1.41732,       0.28161,       0.38094
      46.0,       1.41733,       0.35514,       0.4804
      47.0,       1.41732,       0.44426,       0.60096
      48.0,       1.41732,       0.53793,       0.72767
      49.0,       1.41732,       0.62441,       0.84464
      50.0,       2.28189,       0.69685,       0.94264
      51.0,       2.28189,       0.84911,       1.14861
      52.0,       2.28189,       1.04878,       1.4187
      53.0,       2.28189,       1.25757,       1.70114
      54.0,       2.28189,       1.44059,       1.94871
      55.0,       8.04567,       1.5778,       2.1343
      56.0,       8.04567,       2.61536,       3.53783
