Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,     0.0000000
       1.0,       10.0800,        0.2996,     0.0002384
       2.0,       10.0800,        0.7463,     0.0005937
       3.0,       10.0800,        1.2258,     0.0009752
       4.0,       10.0800,        1.6319,     0.0012983
       5.0,       10.8000,        1.8922,     0.0015054
       6.0,       10.8000,        2.0578,     0.0016371
       7.0,       10.8000,        2.1366,     0.0016998
       8.0,       10.8000,        2.1753,     0.0017306
       9.0,       10.8000,        2.1964,     0.0017474
      10.0,       11.6400,        2.2076,     0.0017563
      11.0,       11.6400,        2.2632,     0.0018005
      12.0,       11.6400,        2.3087,     0.0018367
      13.0,       11.6400,        2.3435,     0.0018644
      14.0,       11.6400,        2.3667,     0.0018829
      15.0,       12.8400,        2.3793,     0.0018929
      16.0,       12.8400,        2.4584,     0.0019558
      17.0,       12.8400,        2.5238,     0.0020078
      18.0,       12.8400,        2.5735,     0.0020474
      19.0,       12.8400,        2.6062,     0.0020734
      20.0,       14.1600,        2.6234,     0.0020871
      21.0,       14.1600,        2.7134,     0.0021587
      22.0,       14.1600,        2.7865,     0.0022169
      23.0,       14.1600,        2.8415,     0.0022606
      24.0,       14.1600,        2.8767,     0.0022886
      25.0,       15.9600,        2.8948,     0.0023030
      26.0,       15.9600,        3.0178,     0.0024009
      27.0,       15.9600,        3.1190,     0.0024814
      28.0,       15.9600,        3.1946,     0.0025415
      29.0,       15.9600,        3.2423,     0.0025795
      30.0,       18.2400,        3.2662,     0.0025985
      31.0,       18.2400,        3.4279,     0.0027271
      32.0,       18.2400,        3.5623,     0.0028340
      33.0,       18.2400,        3.6632,     0.0029143
      34.0,       18.2400,        3.7277,     0.0029657
      35.0,       21.6000,        3.7623,     0.0029932
      36.0,       21.6000,        4.0198,     0.0031981
      37.0,       21.6000,        4.2566,     0.0033864
      38.0,       21.6000,        4.4696,     0.0035559
      39.0,       21.6000,        4.6673,     0.0037131
      40.0,       26.7600,        4.8741,     0.0038777
      41.0,       26.7600,        5.5711,     0.0044322
      42.0,       26.7600,        6.4316,     0.0051168
      43.0,       26.7600,        7.4426,     0.0059211
      44.0,       26.7600,        8.5554,     0.0068064
      45.0,       36.0000,        9.6946,     0.0077128
      46.0,       36.0000,       11.8552,     0.0094317
      47.0,       36.0000,       14.2392,     0.0113283
      48.0,       36.0000,       16.5271,     0.0131485
      49.0,       36.0000,       18.4875,     0.0147081
      50.0,       57.9600,       20.0435,     0.0159460
      51.0,       57.9600,       24.5515,     0.0195324
      52.0,       57.9600,       30.0801,     0.0239309
      53.0,       57.9601,       35.4562,     0.0282079
      54.0,       57.9600,       39.7708,     0.0316405
      55.0,      204.3600,       42.6681,     0.0339455
      56.0,      204.3600,       75.8197,     0.0603200
      57.0,      204.3601,      124.5089,     0.0990557
      58.0,      204.3600,      165.6835,     0.1318130
      59.0,      204.3600,      186.2322,     0.1481610
      60.0,      204.4800,      191.7654,     0.1525631
      61.0,      204.4800,      192.2443,     0.1529441
      62.0,      204.4802,      192.2615,     0.1529577
      63.0,      204.4800,      192.4303,     0.1530920
      64.0,      204.4800,      192.5901,     0.1532191
      65.0,       57.9601,      192.7250,     0.1533265
      66.0,       57.9599,      152.7560,     0.1215283
      67.0,       57.9601,      106.5344,     0.0847557
      68.0,       57.9599,       75.4625,     0.0600358
      69.0,       57.9601,       58.6916,     0.0466933
      70.0,       35.9999,       50.8512,     0.0404558
      71.0,       35.9999,       43.7770,     0.0348277
      72.0,       36.0002,       37.8637,     0.0301233
      73.0,       35.9999,       33.2951,     0.0264887
      74.0,       35.9999,       30.0361,     0.0238959
      75.0,       26.7600,       27.8968,     0.0221939
      76.0,       26.7600,       25.2195,     0.0200639
      77.0,       26.7602,       22.7989,     0.0181382
      78.0,       26.7600,       20.8620,     0.0165972
      79.0,       26.7600,       19.4279,     0.0154563
      80.0,       21.5998,       18.4127,     0.0146486
      81.0,       21.6003,       17.0326,     0.0135506
      82.0,       21.5998,       15.7410,     0.0125231
      83.0,       21.6003,       14.6711,     0.0116719
      84.0,       21.5998,       13.8567,     0.0110240
      85.0,       18.2399,       13.2619,     0.0105508
      86.0,       18.2399,       12.4302,     0.0098891
      87.0,       18.2404,       11.6383,     0.0092591
      88.0,       18.2399,       10.9608,     0.0087201
      89.0,       18.2399,       10.4285,     0.0082966
      90.0,       15.9600,       10.0297,     0.0079793
      91.0,       15.9600,        9.4850,     0.0075460
      92.0,       15.9596,        8.9689,     0.0071354
      93.0,       15.9600,        8.5195,     0.0067778
      94.0,       15.9600,        8.1568,     0.0064894
      95.0,       14.1598,        7.8783,     0.0062677
      96.0,       14.1603,        7.4865,     0.0059560
      97.0,       14.1598,        7.1152,     0.0056607
      98.0,       14.1603,        6.7871,     0.0053996
      99.0,       14.1598,        6.5154,     0.0051835
     100.0,       12.7199,        6.3000,     0.0050121
     101.0,       12.7204,        5.9981,     0.0047719
     102.0,       12.7199,        5.7146,     0.0045464
     103.0,       12.7204,        5.4634,     0.0043465
     104.0,       12.7199,        5.2529,     0.0041791
     105.0,       11.7597,        5.0825,     0.0040435
     106.0,       11.7601,        4.8616,     0.0038677
     107.0,       11.7597,        4.6559,     0.0037041
     108.0,       11.7601,        4.4733,     0.0035589
     109.0,       11.7597,        4.3190,     0.0034361
     110.0,       10.7999,        4.1927,     0.0033356
     111.0,       10.7999,        4.0095,     0.0031898
     112.0,       10.8004,        3.8333,     0.0030497
     113.0,       10.7999,        3.6726,     0.0029218
     114.0,       10.7999,        3.5335,     0.0028111
     115.0,       10.0802,        3.4175,     0.0027188
     116.0,       10.0802,        3.2656,     0.0025980
     117.0,       10.0797,        3.1234,     0.0024849
     118.0,       10.0802,        2.9949,     0.0023826
     119.0,       10.0802,        2.8834,     0.0022939
     120.0,        0.0000,        2.7897,     0.0022194
     121.0,        0.0000,        2.0340,     0.0016182
     122.0,        0.0000,        1.3804,     0.0010982
     123.0,        0.0000,        0.9026,     0.0007180
     124.0,        0.0000,        0.5779,     0.0004598
     125.0,        0.0000,        0.3670,     0.0002920
     126.0,        0.0000,        0.2339,     0.0001861
     127.0,        0.0000,        0.1508,     0.0001200
     128.0,        0.0000,        0.0989,     0.0000787
     129.0,        0.0000,        0.0663,     0.0000527
     130.0,        0.0000,        0.0454,     0.0000361
     131.0,        0.0000,        0.0318,     0.0000253
     132.0,        0.0000,        0.0227,     0.0000181
     133.0,        0.0000,        0.0166,     0.0000132
     134.0,        0.0000,        0.0124,     0.0000098
     135.0,        0.0000,        0.0094,     0.0000074
     136.0,        0.0000,        0.0072,     0.0000057
     137.0,        0.0000,        0.0056,     0.0000045
     138.0,        0.0000,        0.0044,     0.0000035
     139.0,        0.0000,        0.0036,     0.0000028
     140.0,        0.0000,        0.0029,     0.0000023
     141.0,        0.0000,        0.0023,     0.0000019
     142.0,        0.0000,        0.0019,     0.0000015
     143.0,        0.0000,        0.0016,     0.0000013
     144.0,        0.0000,        0.0013,     0.0000011
     145.0,        0.0000,        0.0011,     0.0000009
     146.0,        0.0000,        0.0010,     0.0000008
     147.0,        0.0000,        0.0008,     0.0000007
     148.0,        0.0000,        0.0007,     0.0000006
     149.0,        0.0000,        0.0006,     0.0000005
     150.0,        0.0000,        0.0005,     0.0000004
     151.0,        0.0000,        0.0005,     0.0000004
     152.0,        0.0000,        0.0004,     0.0000003
     153.0,        0.0000,        0.0004,     0.0000003
     154.0,        0.0000,        0.0003,     0.0000002
     155.0,        0.0000,        0.0003,     0.0000002
     156.0,        0.0000,        0.0002,     0.0000002
     157.0,        0.0000,        0.0002,     0.0000002
     158.0,        0.0000,        0.0002,     0.0000002
     159.0,        0.0000,        0.0002,     0.0000001
     160.0,        0.0000,        0.0002,     0.0000001
     161.0,        0.0000,        0.0001,     0.0000001
     162.0,        0.0000,        0.0001,     0.0000001
     163.0,        0.0000,        0.0001,     0.0000001
     164.0,        0.0000,        0.0001,     0.0000001
     165.0,        0.0000,        0.0001,     0.0000001
     166.0,        0.0000,        0.0001,     0.0000001
     167.0,        0.0000,        0.0001,     0.0000001
     168.0,        0.0000,        0.0001,     0.0000001
     169.0,        0.0000,        0.0001,     0.0000001
     170.0,        0.0000,        0.0001,     0.0000000
     171.0,        0.0000,        0.0001,     0.0000000
     172.0,        0.0000,        0.0001,     0.0000000
     173.0,        0.0000,        0.0000,     0.0000000
     174.0,        0.0000,        0.0000,     0.0000000
     175.0,        0.0000,        0.0000,     0.0000000
     176.0,        0.0000,        0.0000,     0.0000000
     177.0,        0.0000,        0.0000,     0.0000000
     178.0,        0.0000,        0.0000,     0.0000000
     179.0,        0.0000,        0.0000,     0.0000000
     180.0,        0.0000,        0.0000,     0.0000000
     181.0,        0.0000,        0.0000,     0.0000000
     182.0,        0.0000,        0.0000,     0.0000000
     183.0,        0.0000,        0.0000,     0.0000000
     184.0,        0.0000,        0.0000,     0.0000000
     185.0,        0.0000,        0.0000,     0.0000000
     186.0,        0.0000,        0.0000,     0.0000000
     187.0,        0.0000,        0.0000,     0.0000000
     188.0,        0.0000,        0.0000,     0.0000000
     189.0,        0.0000,        0.0000,     0.0000000
     190.0,        0.0000,        0.0000,     0.0000000
     191.0,        0.0000,        0.0000,     0.0000000
     192.0,        0.0000,        0.0000,     0.0000000
     193.0,        0.0000,        0.0000,     0.0000000
     194.0,        0.0000,        0.0000,     0.0000000
     195.0,        0.0000,        0.0000,     0.0000000
     196.0,        0.0000,        0.0000,     0.0000000
     197.0,        0.0000,        0.0000,     0.0000000
     198.0,        0.0000,        0.0000,     0.0000000
     199.0,        0.0000,        0.0000,     0.0000000
     200.0,        0.0000,        0.0000,     0.0000000
     201.0,        0.0000,        0.0000,     0.0000000
     202.0,        0.0000,        0.0000,     0.0000000
     203.0,        0.0000,        0.0000,     0.0000000
     204.0,        0.0000,        0.0000,     0.0000000
     205.0,        0.0000,        0.0000,     0.0000000
     206.0,        0.0000,        0.0000,     0.0000000
     207.0,        0.0000,        0.0000,     0.0000000
     208.0,        0.0000,        0.0000,     0.0000000
     209.0,        0.0000,        0.0000,     0.0000000
     210.0,        0.0000,        0.0000,     0.0000000
     211.0,        0.0000,        0.0000,     0.0000000
     212.0,        0.0000,        0.0000,     0.0000000
     213.0,        0.0000,        0.0000,     0.0000000
     214.0,        0.0000,        0.0000,     0.0000000
     215.0,        0.0000,        0.0000,     0.0000000
     216.0,        0.0000,        0.0000,     0.0000000
     217.0,        0.0000,        0.0000,     0.0000000
     218.0,        0.0000,        0.0000,     0.0000000
     219.0,        0.0000,        0.0000,     0.0000000
     220.0,        0.0000,        0.0000,     0.0000000
     221.0,        0.0000,        0.0000,     0.0000000
     222.0,        0.0000,        0.0000,     0.0000000
     223.0,        0.0000,        0.0000,     0.0000000
     224.0,        0.0000,        0.0000,     0.0000000
     225.0,        0.0000,        0.0000,     0.0000000
     226.0,        0.0000,        0.0000,     0.0000000
     227.0,        0.0000,        0.0000,     0.0000000
     228.0,        0.0000,        0.0000,     0.0000000
     229.0,        0.0000,        0.0000,     0.0000000
     230.0,        0.0000,        0.0000,     0.0000000
     231.0,        0.0000,        0.0000,     0.0000000
     232.0,        0.0000,        0.0000,     0.0000000
     233.0,        0.0000,        0.0000,     0.0000000
     234.0,        0.0000,        0.0000,     0.0000000
     235.0,        0.0000,        0.0000,     0.0000000
     236.0,        0.0000,        0.0000,     0.0000000
     237.0,        0.0000,        0.0000,     0.0000000
     238.0,        0.0000,        0.0000,     0.0000000
     239.0,        0.0000,        0.0000,     0.0000000
     240.0,        0.0000,        0.0000,     0.0000000
     241.0,        0.0000,        0.0000,     0.0000000
     242.0,        0.0000,        0.0000,     0.0000000
     243.0,        0.0000,        0.0000,     0.0000000
     244.0,        0.0000,        0.0000,     0.0000000
     245.0,        0.0000,        0.0000,     0.0000000
     246.0,        0.0000,        0.0000,     0.0000000
     247.0,        0.0000,        0.0000,     0.0000000
     248.0,        0.0000,        0.0000,     0.0000000
     249.0,        0.0000,        0.0000,     0.0000000
     250.0,        0.0000,        0.0000,     0.0000000
     251.0,        0.0000,        0.0000,     0.0000000
     252.0,        0.0000,        0.0000,     0.0000000
     253.0,        0.0000,        0.0000,     0.0000000
     254.0,        0.0000,        0.0000,     0.0000000
     255.0,        0.0000,        0.0000,     0.0000000
     256.0,        0.0000,        0.0000,     0.0000000
     257.0,        0.0000,        0.0000,     0.0000000
     258.0,        0.0000,        0.0000,     0.0000000
     259.0,        0.0000,        0.0000,     0.0000000
     260.0,        0.0000,        0.0000,     0.0000000
     261.0,        0.0000,        0.0000,     0.0000000
     262.0,        0.0000,        0.0000,     0.0000000
     263.0,        0.0000,        0.0000,     0.0000000
     264.0,        0.0000,        0.0000,     0.0000000
     265.0,        0.0000,        0.0000,     0.0000000
     266.0,        0.0000,        0.0000,     0.0000000
     267.0,        0.0000,        0.0000,     0.0000000
     268.0,        0.0000,        0.0000,     0.0000000
     269.0,        0.0000,        0.0000,     0.0000000
     270.0,        0.0000,        0.0000,     0.0000000
     271.0,        0.0000,        0.0000,     0.0000000
     272.0,        0.0000,        0.0000,     0.0000000
     273.0,        0.0000,        0.0000,     0.0000000
     274.0,        0.0000,        0.0000,     0.0000000
     275.0,        0.0000,        0.0000,     0.0000000
     276.0,        0.0000,        0.0000,     0.0000000
     277.0,        0.0000,        0.0000,     0.0000000
     278.0,        0.0000,        0.0000,     0.0000000
     279.0,        0.0000,        0.0000,     0.0000000
     280.0,        0.0000,        0.0000,     0.0000000
     281.0,        0.0000,        0.0000,     0.0000000
