Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00185,       0.00843
       2.0,       0.39685,       0.00465,       0.02123
       3.0,       0.39685,       0.00798,       0.03646
       4.0,       0.39685,       0.01172,       0.05351
       5.0,       0.4252,       0.01578,       0.07204
       6.0,       0.4252,       0.02044,       0.09333
       7.0,       0.4252,       0.02539,       0.11591
       8.0,       0.4252,       0.03058,       0.13962
       9.0,       0.4252,       0.03598,       0.16427
      10.0,       0.45827,       0.04151,       0.18953
      11.0,       0.45827,       0.0475,       0.21686
      12.0,       0.45827,       0.05328,       0.24328
      13.0,       0.45827,       0.05858,       0.26748
      14.0,       0.45827,       0.06313,       0.28827
      15.0,       0.50551,       0.06678,       0.30492
      16.0,       0.50551,       0.07022,       0.32065
      17.0,       0.50551,       0.07287,       0.33271
      18.0,       0.50551,       0.07487,       0.34189
      19.0,       0.50551,       0.07644,       0.34903
      20.0,       0.55748,       0.0777,       0.35481
      21.0,       0.55748,       0.07958,       0.36336
      22.0,       0.55748,       0.08129,       0.37118
      23.0,       0.55748,       0.08287,       0.37838
      24.0,       0.55748,       0.08432,       0.38501
      25.0,       0.62835,       0.08564,       0.39105
      26.0,       0.62835,       0.08797,       0.40168
      27.0,       0.62835,       0.09015,       0.41164
      28.0,       0.62835,       0.09218,       0.42089
      29.0,       0.62835,       0.09404,       0.42942
      30.0,       0.71811,       0.09575,       0.4372
      31.0,       0.71811,       0.09878,       0.45102
      32.0,       0.71811,       0.10164,       0.46409
      33.0,       0.71811,       0.10432,       0.47634
      34.0,       0.71811,       0.10682,       0.48775
      35.0,       0.85039,       0.10913,       0.49828
      36.0,       0.85039,       0.11359,       0.51864
      37.0,       0.85039,       0.11805,       0.53903
      38.0,       0.85039,       0.12262,       0.5599
      39.0,       0.85039,       0.12748,       0.58208
      40.0,       1.05354,       0.13283,       0.60653
      41.0,       1.05354,       0.14324,       0.65405
      42.0,       1.05354,       0.15615,       0.71302
      43.0,       1.05354,       0.17201,       0.78539
      44.0,       1.05354,       0.19096,       0.87193
      45.0,       1.41732,       0.21313,       0.97315
      46.0,       1.41732,       0.24898,       1.13687
      47.0,       1.41732,       0.29503,       1.34711
      48.0,       1.41732,       0.3522,       1.60818
      49.0,       1.41732,       0.41978,       1.91676
      50.0,       2.28189,       0.49456,       2.2582
      51.0,       2.28189,       0.60561,       2.76524
      52.0,       2.28189,       0.74023,       3.37995
      53.0,       2.28189,       0.89408,       4.08243
      54.0,       2.28189,       1.05882,       4.83466
      55.0,       8.04567,       1.22358,       5.58696
      56.0,       8.04567,       1.72244,       7.86479
      57.0,       8.04567,       2.56344,       11.70485
      58.0,       8.04567,       3.71098,       16.9446
      59.0,       8.04567,       4.98318,       22.75357
      60.0,       8.05039,       6.11195,       27.90762
      61.0,       8.05039,       6.89352,       31.47635
      62.0,       8.0504,       7.31029,       33.37933
      63.0,       8.05039,       7.48152,       34.16116
      64.0,       8.05039,       7.53653,       34.41234
      65.0,       2.28189,       7.55203,       34.48312
      66.0,       2.28189,       7.0101,       32.00865
      67.0,       2.28189,       6.08267,       27.77391
      68.0,       2.28189,       5.03913,       23.00906
      69.0,       2.28189,       4.07967,       18.62809
      70.0,       1.41732,       3.30631,       15.09684
      71.0,       1.41732,       2.68531,       12.26134
      72.0,       1.41733,       2.21478,       10.11283
      73.0,       1.41732,       1.8673,       8.52622
      74.0,       1.41732,       1.61411,       7.37017
      75.0,       1.05354,       1.42995,       6.52925
      76.0,       1.05354,       1.27805,       5.83567
      77.0,       1.05355,       1.1523,       5.26149
      78.0,       1.05354,       1.04623,       4.77716
      79.0,       1.05354,       0.9569,       4.36929
      80.0,       0.85039,       0.88283,       4.03108
      81.0,       0.85041,       0.81458,       3.71944
      82.0,       0.85039,       0.75443,       3.44479
      83.0,       0.85041,       0.70136,       3.20246
      84.0,       0.85039,       0.65477,       2.98971
      85.0,       0.71811,       0.61441,       2.80543
      86.0,       0.71811,       0.57552,       2.62787
      87.0,       0.71813,       0.54028,       2.46697
      88.0,       0.71811,       0.5085,       2.32183
      89.0,       0.71811,       0.48,       2.19169
      90.0,       0.62835,       0.45471,       2.07623
      91.0,       0.62835,       0.42982,       1.96261
      92.0,       0.62833,       0.40693,       1.85805
      93.0,       0.62835,       0.386,       1.76251
      94.0,       0.62835,       0.36703,       1.67589
      95.0,       0.55747,       0.35,       1.59812
      96.0,       0.55749,       0.3329,       1.52004
      97.0,       0.55747,       0.31697,       1.4473
      98.0,       0.55749,       0.30221,       1.37993
      99.0,       0.55747,       0.28865,       1.31801
     100.0,       0.50078,       0.27631,       1.26164
     101.0,       0.5008,       0.26373,       1.20423
     102.0,       0.50078,       0.25192,       1.15028
     103.0,       0.5008,       0.24087,       1.09982
     104.0,       0.50078,       0.2306,       1.05293
     105.0,       0.46298,       0.22115,       1.00976
     106.0,       0.463,       0.21162,       0.96627
     107.0,       0.46298,       0.20267,       0.92541
     108.0,       0.463,       0.1943,       0.88718
     109.0,       0.46298,       0.18651,       0.85162
     110.0,       0.42519,       0.17932,       0.8188
     111.0,       0.42519,       0.1719,       0.78491
     112.0,       0.42521,       0.16485,       0.75274
     113.0,       0.42519,       0.15819,       0.72229
     114.0,       0.42519,       0.15189,       0.69356
     115.0,       0.39686,       0.14599,       0.66659
     116.0,       0.39686,       0.13989,       0.63877
     117.0,       0.39684,       0.13408,       0.61223
     118.0,       0.39686,       0.12856,       0.58702
     119.0,       0.39686,       0.12334,       0.56319
     120.0,       0.00000,       0.11844,       0.5408
     121.0,       0.00000,       0.10663,       0.48688
     122.0,       0.00000,       0.09497,       0.43365
     123.0,       0.00000,       0.08383,       0.3828
     124.0,       0.00000,       0.07322,       0.33433
     125.0,       0.00000,       0.06333,       0.28917
     126.0,       0.00000,       0.05439,       0.24834
     127.0,       0.00000,       0.04648,       0.21224
     128.0,       0.00000,       0.03958,       0.18073
     129.0,       0.00000,       0.03361,       0.15346
     130.0,       0.00000,       0.02847,       0.13001
     131.0,       0.00000,       0.02409,       0.10998
     132.0,       0.00000,       0.02036,       0.09298
     133.0,       0.00000,       0.01722,       0.07862
     134.0,       0.00000,       0.01457,       0.06652
     135.0,       0.00000,       0.01235,       0.05637
     136.0,       0.00000,       0.01048,       0.04786
     137.0,       0.00000,       0.00892,       0.04074
     138.0,       0.00000,       0.00761,       0.03476
     139.0,       0.00000,       0.00652,       0.02975
     140.0,       0.00000,       0.00559,       0.02554
     141.0,       0.00000,       0.00481,       0.02199
     142.0,       0.00000,       0.00416,       0.01899
     143.0,       0.00000,       0.00361,       0.01646
     144.0,       0.00000,       0.00313,       0.01431
     145.0,       0.00000,       0.00273,       0.01247
     146.0,       0.00000,       0.00239,       0.01091
     147.0,       0.00000,       0.00209,       0.00957
     148.0,       0.00000,       0.00184,       0.00842
     149.0,       0.00000,       0.00163,       0.00742
     150.0,       0.00000,       0.00144,       0.00656
     151.0,       0.00000,       0.00128,       0.00582
     152.0,       0.00000,       0.00113,       0.00518
     153.0,       0.00000,       0.00101,       0.00462
     154.0,       0.00000,       0.00091,       0.00413
     155.0,       0.00000,       0.00081,       0.0037
     156.0,       0.00000,       0.00073,       0.00332
     157.0,       0.00000,       0.00065,       0.00299
     158.0,       0.00000,       0.00059,       0.0027
     159.0,       0.00000,       0.00054,       0.00244
