Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00069,       0.00844
       2.0,       0.39685,       0.00176,       0.02151
       3.0,       0.39685,       0.00317,       0.03878
       4.0,       0.39685,       0.00513,       0.06286
       5.0,       0.4252,       0.00784,       0.09599
       6.0,       0.4252,       0.01133,       0.13882
       7.0,       0.4252,       0.01537,       0.1883
       8.0,       0.4252,       0.02001,       0.24512
       9.0,       0.4252,       0.02538,       0.31088
      10.0,       0.45827,       0.03142,       0.38486
      11.0,       0.45827,       0.03806,       0.46622
      12.0,       0.45827,       0.04471,       0.54766
      13.0,       0.45827,       0.05091,       0.62366
      14.0,       0.45827,       0.0563,       0.68966
      15.0,       0.50551,       0.06068,       0.7433
      16.0,       0.50551,       0.06442,       0.78907
      17.0,       0.50551,       0.06735,       0.82502
      18.0,       0.50551,       0.06968,       0.85345
      19.0,       0.50551,       0.07153,       0.87612
      20.0,       0.55748,       0.07304,       0.89463
      21.0,       0.55748,       0.07472,       0.91521
      22.0,       0.55748,       0.0763,       0.93464
      23.0,       0.55748,       0.07784,       0.95346
      24.0,       0.55748,       0.07931,       0.97151
      25.0,       0.62835,       0.0807,       0.98856
      26.0,       0.62835,       0.08259,       1.01162
      27.0,       0.62835,       0.08448,       1.03472
      28.0,       0.62835,       0.08637,       1.05792
      29.0,       0.62835,       0.08821,       1.08052
      30.0,       0.71811,       0.08997,       1.10206
      31.0,       0.71811,       0.09239,       1.13162
      32.0,       0.71811,       0.09482,       1.16146
      33.0,       0.71811,       0.09727,       1.19148
      34.0,       0.71811,       0.09967,       1.22083
      35.0,       0.85039,       0.10195,       1.24876
      36.0,       0.85039,       0.10525,       1.2892
      37.0,       0.85039,       0.10862,       1.33044
      38.0,       0.85039,       0.11203,       1.37226
      39.0,       0.85039,       0.11539,       1.41333
      40.0,       1.05354,       0.1186,       1.45277
      41.0,       1.05354,       0.12351,       1.51281
      42.0,       1.05354,       0.12859,       1.57507
      43.0,       1.05354,       0.13381,       1.63906
      44.0,       1.05354,       0.139,       1.70263
      45.0,       1.41732,       0.14403,       1.76421
      46.0,       1.41732,       0.15242,       1.86698
      47.0,       1.41732,       0.1615,       1.97819
      48.0,       1.41732,       0.17136,       2.09896
      49.0,       1.41732,       0.18198,       2.22903
      50.0,       2.28189,       0.19358,       2.3712
      51.0,       2.28189,       0.21734,       2.66216
      52.0,       2.28189,       0.25052,       3.06867
      53.0,       2.28189,       0.29795,       3.64959
      54.0,       2.28189,       0.36338,       4.45106
      55.0,       8.04567,       0.44902,       5.50005
      56.0,       8.04567,       0.70483,       8.63338
      57.0,       8.04567,       1.19761,       14.66943
      58.0,       8.04567,       1.97347,       24.17293
      59.0,       8.04567,       2.9748,       36.43817
      60.0,       8.05039,       4.05131,       49.62439
      61.0,       8.05039,       5.04372,       61.7803
      62.0,       8.0504,       5.8399,       71.53265
      63.0,       8.05039,       6.4033,       78.43367
      64.0,       8.05039,       6.76111,       82.81654
      65.0,       2.28189,       6.96649,       85.33229
      66.0,       2.28189,       6.75518,       82.74393
      67.0,       2.28189,       6.17633,       75.65359
      68.0,       2.28189,       5.39393,       66.07
      69.0,       2.28189,       4.55556,       55.80082
      70.0,       1.41732,       3.78064,       46.30883
      71.0,       1.41732,       3.11056,       38.1011
      72.0,       1.41733,       2.57168,       31.5004
      73.0,       1.41732,       2.15174,       26.35657
      74.0,       1.41732,       1.8237,       22.3384
      75.0,       1.05354,       1.56681,       19.19186
      76.0,       1.05354,       1.35683,       16.61983
      77.0,       1.05355,       1.18575,       14.52422
      78.0,       1.05354,       1.04581,       12.81015
      79.0,       1.05354,       0.93072,       11.40039
      80.0,       0.85039,       0.83565,       10.23582
      81.0,       0.85041,       0.75301,       9.22359
      82.0,       0.85039,       0.68197,       8.3534
      83.0,       0.85041,       0.62085,       7.60473
      84.0,       0.85039,       0.56814,       6.95914
      85.0,       0.71811,       0.52252,       6.40029
      86.0,       0.71811,       0.4808,       5.88929
      87.0,       0.71813,       0.44337,       5.43083
      88.0,       0.71811,       0.4098,       5.01959
      89.0,       0.71811,       0.37977,       4.65182
      90.0,       0.62835,       0.35294,       4.32315
      91.0,       0.62835,       0.32778,       4.01489
      92.0,       0.62833,       0.30478,       3.73326
      93.0,       0.62835,       0.28376,       3.47574
      94.0,       0.62835,       0.2646,       3.24107
      95.0,       0.55747,       0.24717,       3.02749
      96.0,       0.55749,       0.23052,       2.82362
      97.0,       0.55747,       0.21516,       2.63543
      98.0,       0.55749,       0.20097,       2.46172
