Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.0035,       0.00842
       2.0,       0.39685,       0.00882,       0.02123
       3.0,       0.39685,       0.01514,       0.03644
       4.0,       0.39685,       0.02216,       0.05334
       5.0,       0.4252,       0.02955,       0.07111
       6.0,       0.4252,       0.03731,       0.08981
       7.0,       0.4252,       0.04415,       0.10626
       8.0,       0.4252,       0.04941,       0.1189
       9.0,       0.4252,       0.05291,       0.12732
      10.0,       0.45827,       0.05494,       0.13223
      11.0,       0.45827,       0.05676,       0.1366
      12.0,       0.45827,       0.058,       0.13959
      13.0,       0.45827,       0.05893,       0.14181
      14.0,       0.45827,       0.05965,       0.14356
      15.0,       0.50551,       0.06024,       0.14496
      16.0,       0.50551,       0.06178,       0.14868
      17.0,       0.50551,       0.06315,       0.15196
      18.0,       0.50551,       0.06433,       0.15481
      19.0,       0.50551,       0.06532,       0.15721
      20.0,       0.55748,       0.06614,       0.15917
      21.0,       0.55748,       0.068,       0.16365
      22.0,       0.55748,       0.06962,       0.16755
      23.0,       0.55748,       0.071,       0.17086
      24.0,       0.55748,       0.07213,       0.1736
      25.0,       0.62835,       0.07304,       0.17579
      26.0,       0.62835,       0.07546,       0.18161
      27.0,       0.62835,       0.07759,       0.18673
      28.0,       0.62835,       0.07943,       0.19114
      29.0,       0.62835,       0.08096,       0.19485
      30.0,       0.71811,       0.08221,       0.19784
      31.0,       0.71811,       0.08544,       0.20563
      32.0,       0.71811,       0.08835,       0.21261
      33.0,       0.71811,       0.09089,       0.21873
      34.0,       0.71811,       0.09307,       0.22399
      35.0,       0.85039,       0.09489,       0.22837
      36.0,       0.85039,       0.10007,       0.24084
      37.0,       0.85039,       0.1054,       0.25365
      38.0,       0.85039,       0.11115,       0.2675
      39.0,       0.85039,       0.11781,       0.28352
      40.0,       1.05354,       0.12588,       0.30295
      41.0,       1.05354,       0.14363,       0.34566
      42.0,       1.05354,       0.16848,       0.40547
      43.0,       1.05354,       0.20179,       0.48562
      44.0,       1.05354,       0.24321,       0.58531
      45.0,       1.41732,       0.28986,       0.69758
      46.0,       1.41732,       0.35835,       0.86241
      47.0,       1.41732,       0.43972,       1.05823
      48.0,       1.41732,       0.52745,       1.26936
      49.0,       1.41732,       0.61327,       1.4759
      50.0,       2.28189,       0.68917,       1.65854
      51.0,       2.28189,       0.82202,       1.97827
      52.0,       2.28189,       1.00228,       2.41208
      53.0,       2.28189,       1.20748,       2.90593
      54.0,       2.28189,       1.40215,       3.37442
      55.0,       8.04567,       1.55391,       3.73965
      56.0,       8.04567,       2.39878,       5.77289
      57.0,       8.04567,       3.98482,       9.58988
      58.0,       8.04567,       5.71114,       13.74442
      59.0,       8.04567,       6.87148,       16.5369
      60.0,       8.05039,       7.36644,       17.72808
