Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,     0.0000000
       1.0,       10.0800,        0.2325,     0.0002380
       2.0,       10.0800,        0.5737,     0.0005873
       3.0,       10.0800,        0.9218,     0.0009437
       4.0,       10.0800,        1.1908,     0.0012191
       5.0,       10.8000,        1.3429,     0.0013748
       6.0,       10.8000,        1.4359,     0.0014700
       7.0,       10.8000,        1.4792,     0.0015144
       8.0,       10.8000,        1.5017,     0.0015374
       9.0,       10.8000,        1.5144,     0.0015504
      10.0,       11.6400,        1.5207,     0.0015568
      11.0,       11.6400,        1.5609,     0.0015980
      12.0,       11.6400,        1.5934,     0.0016313
      13.0,       11.6400,        1.6172,     0.0016556
      14.0,       11.6400,        1.6319,     0.0016707
      15.0,       12.8400,        1.6390,     0.0016780
      16.0,       12.8400,        1.6966,     0.0017369
      17.0,       12.8400,        1.7433,     0.0017848
      18.0,       12.8400,        1.7773,     0.0018196
      19.0,       12.8400,        1.7979,     0.0018407
      20.0,       14.1600,        1.8075,     0.0018505
      21.0,       14.1600,        1.8726,     0.0019172
      22.0,       14.1600,        1.9247,     0.0019705
      23.0,       14.1600,        1.9620,     0.0020087
      24.0,       14.1600,        1.9840,     0.0020312
      25.0,       15.9600,        1.9939,     0.0020414
      26.0,       15.9600,        2.0833,     0.0021329
      27.0,       15.9600,        2.1551,     0.0022064
      28.0,       15.9600,        2.2058,     0.0022583
      29.0,       15.9600,        2.2349,     0.0022880
      30.0,       18.2400,        2.2474,     0.0023008
      31.0,       18.2400,        2.3632,     0.0024194
      32.0,       18.2400,        2.4555,     0.0025139
      33.0,       18.2400,        2.5194,     0.0025793
      34.0,       18.2400,        2.5547,     0.0026155
      35.0,       21.6000,        2.5691,     0.0026302
      36.0,       21.6000,        2.7435,     0.0028087
      37.0,       21.6000,        2.8820,     0.0029505
      38.0,       21.6000,        2.9756,     0.0030464
      39.0,       21.6000,        3.0252,     0.0030971
      40.0,       26.7600,        3.0441,     0.0031165
      41.0,       26.7600,        3.3216,     0.0034006
      42.0,       26.7600,        3.5410,     0.0036252
      43.0,       26.7600,        3.6857,     0.0037734
      44.0,       26.7600,        3.7592,     0.0038486
      45.0,       36.0000,        3.7865,     0.0038765
      46.0,       36.0001,        4.3168,     0.0044195
      47.0,       36.0000,        4.7571,     0.0048702
      48.0,       36.0000,        5.0818,     0.0052026
      49.0,       36.0000,        5.3143,     0.0054407
      50.0,       57.9600,        5.5173,     0.0056485
      51.0,       57.9600,        7.2299,     0.0074019
      52.0,       57.9600,        9.0017,     0.0092158
      53.0,       57.9601,       10.7296,     0.0109848
      54.0,       57.9600,       12.4723,     0.0127689
      55.0,      204.3600,       14.3919,     0.0147342
      56.0,      204.3600,       32.1199,     0.0328839
      57.0,      204.3601,       55.6509,     0.0569746
      58.0,      204.3600,       82.6667,     0.0846331
      59.0,      204.3600,      111.3142,     0.1139620
      60.0,      204.4800,      138.0938,     0.1413786
      61.0,      204.4800,      158.8491,     0.1626276
      62.0,      204.4802,      171.7514,     0.1758368
      63.0,      204.4800,      178.0145,     0.1822488
      64.0,      204.4800,      180.3383,     0.1846280
      65.0,       57.9601,      181.0924,     0.1853999
      66.0,       57.9599,      155.4084,     0.1591050
      67.0,       57.9601,      126.9887,     0.1300094
      68.0,       57.9599,      103.7551,     0.1062231
      69.0,       57.9601,       85.9385,     0.0879827
      70.0,       35.9999,       72.4088,     0.0741311
      71.0,       35.9999,       59.4152,     0.0608285
      72.0,       36.0002,       49.0722,     0.0502395
      73.0,       35.9999,       41.2898,     0.0422720
      74.0,       35.9999,       35.5125,     0.0363572
      75.0,       26.7600,       31.2103,     0.0319527
      76.0,       26.7600,       27.0586,     0.0277022
      77.0,       26.7602,       23.7600,     0.0243252
      78.0,       26.7600,       21.2286,     0.0217336
      79.0,       26.7600,       19.2776,     0.0197362
      80.0,       21.5998,       17.7302,     0.0181519
      81.0,       21.6003,       16.0115,     0.0163923
      82.0,       21.5998,       14.5312,     0.0148768
      83.0,       21.6003,       13.3061,     0.0136227
      84.0,       21.5998,       12.3034,     0.0125960
      85.0,       18.2399,       11.4743,     0.0117472
      86.0,       18.2399,       10.5043,     0.0107541
      87.0,       18.2404,        9.6422,     0.0098716
      88.0,       18.2399,        8.9086,     0.0091205
      89.0,       18.2399,        8.2927,     0.0084900
      90.0,       15.9600,        7.7697,     0.0079545
      91.0,       15.9600,        7.1495,     0.0073195
      92.0,       15.9596,        6.5892,     0.0067459
      93.0,       15.9600,        6.1032,     0.0062483
      94.0,       15.9600,        5.6899,     0.0058252
      95.0,       14.1598,        5.3367,     0.0054636
      96.0,       14.1603,        4.9107,     0.0050275
      97.0,       14.1598,        4.5258,     0.0046334
      98.0,       14.1603,        4.1899,     0.0042896
      99.0,       14.1598,        3.9029,     0.0039958
     100.0,       12.7199,        3.6571,     0.0037441
     101.0,       12.7204,        3.3582,     0.0034380
     102.0,       12.7199,        3.0902,     0.0031637
     103.0,       12.7204,        2.8584,     0.0029264
     104.0,       12.7199,        2.6630,     0.0027263
     105.0,       11.7597,        2.4996,     0.0025591
     106.0,       11.7601,        2.3118,     0.0023668
     107.0,       11.7597,        2.1493,     0.0022004
     108.0,       11.7601,        2.0139,     0.0020618
     109.0,       11.7597,        1.9052,     0.0019506
     110.0,       10.7999,        1.8208,     0.0018641
     111.0,       10.7999,        1.7132,     0.0017539
     112.0,       10.8004,        1.6326,     0.0016715
     113.0,       10.7999,        1.5788,     0.0016164
     114.0,       10.7999,        1.5472,     0.0015840
     115.0,       10.0802,        1.5317,     0.0015681
     116.0,       10.0802,        1.4934,     0.0015289
     117.0,       10.0797,        1.4648,     0.0014996
     118.0,       10.0802,        1.4443,     0.0014787
     119.0,       10.0802,        1.4316,     0.0014657
     120.0,        0.0000,        1.4252,     0.0014591
     121.0,        0.0000,        0.9964,     0.0010201
     122.0,        0.0000,        0.6671,     0.0006829
     123.0,        0.0000,        0.4314,     0.0004417
     124.0,        0.0000,        0.2732,     0.0002797
     125.0,        0.0000,        0.1718,     0.0001758
     126.0,        0.0000,        0.1085,     0.0001111
     127.0,        0.0000,        0.0695,     0.0000711
     128.0,        0.0000,        0.0453,     0.0000464
     129.0,        0.0000,        0.0302,     0.0000309
     130.0,        0.0000,        0.0206,     0.0000211
     131.0,        0.0000,        0.0143,     0.0000147
     132.0,        0.0000,        0.0102,     0.0000104
     133.0,        0.0000,        0.0074,     0.0000076
     134.0,        0.0000,        0.0055,     0.0000056
     135.0,        0.0000,        0.0041,     0.0000042
     136.0,        0.0000,        0.0031,     0.0000032
     137.0,        0.0000,        0.0024,     0.0000025
     138.0,        0.0000,        0.0019,     0.0000020
     139.0,        0.0000,        0.0015,     0.0000016
     140.0,        0.0000,        0.0012,     0.0000013
     141.0,        0.0000,        0.0010,     0.0000010
     142.0,        0.0000,        0.0008,     0.0000008
     143.0,        0.0000,        0.0007,     0.0000007
     144.0,        0.0000,        0.0006,     0.0000006
     145.0,        0.0000,        0.0005,     0.0000005
     146.0,        0.0000,        0.0004,     0.0000004
     147.0,        0.0000,        0.0004,     0.0000004
     148.0,        0.0000,        0.0003,     0.0000003
     149.0,        0.0000,        0.0003,     0.0000003
     150.0,        0.0000,        0.0002,     0.0000003
     151.0,        0.0000,        0.0002,     0.0000002
     152.0,        0.0000,        0.0002,     0.0000002
     153.0,        0.0000,        0.0002,     0.0000002
     154.0,        0.0000,        0.0002,     0.0000002
     155.0,        0.0000,        0.0002,     0.0000002
     156.0,        0.0000,        0.0001,     0.0000001
     157.0,        0.0000,        0.0001,     0.0000001
     158.0,        0.0000,        0.0001,     0.0000001
     159.0,        0.0000,        0.0001,     0.0000001
     160.0,        0.0000,        0.0001,     0.0000001
     161.0,        0.0000,        0.0001,     0.0000001
     162.0,        0.0000,        0.0001,     0.0000001
     163.0,        0.0000,        0.0001,     0.0000001
     164.0,        0.0000,        0.0001,     0.0000001
     165.0,        0.0000,        0.0001,     0.0000001
     166.0,        0.0000,        0.0001,     0.0000001
     167.0,        0.0000,        0.0001,     0.0000001
     168.0,        0.0000,        0.0001,     0.0000001
     169.0,        0.0000,        0.0001,     0.0000001
     170.0,        0.0000,        0.0001,     0.0000001
     171.0,        0.0000,        0.0001,     0.0000001
     172.0,        0.0000,        0.0001,     0.0000001
     173.0,        0.0000,        0.0001,     0.0000001
     174.0,        0.0000,        0.0001,     0.0000001
     175.0,        0.0000,        0.0001,     0.0000001
     176.0,        0.0000,        0.0001,     0.0000001
     177.0,        0.0000,        0.0001,     0.0000001
     178.0,        0.0000,        0.0001,     0.0000001
     179.0,        0.0000,        0.0001,     0.0000001
     180.0,        0.0000,        0.0001,     0.0000001
     181.0,        0.0000,        0.0001,     0.0000001
     182.0,        0.0000,        0.0001,     0.0000001
     183.0,        0.0000,        0.0001,     0.0000001
     184.0,        0.0000,        0.0001,     0.0000001
     185.0,        0.0000,        0.0001,     0.0000001
     186.0,        0.0000,        0.0001,     0.0000001
     187.0,        0.0000,        0.0001,     0.0000001
     188.0,        0.0000,        0.0001,     0.0000001
     189.0,        0.0000,        0.0001,     0.0000001
     190.0,        0.0000,        0.0001,     0.0000001
     191.0,        0.0000,        0.0001,     0.0000001
     192.0,        0.0000,        0.0001,     0.0000001
     193.0,        0.0000,        0.0001,     0.0000001
     194.0,        0.0000,        0.0001,     0.0000001
     195.0,        0.0000,        0.0001,     0.0000001
     196.0,        0.0000,        0.0001,     0.0000001
     197.0,        0.0000,        0.0001,     0.0000001
     198.0,        0.0000,        0.0001,     0.0000001
     199.0,        0.0000,        0.0001,     0.0000001
     200.0,        0.0000,        0.0001,     0.0000001
     201.0,        0.0000,        0.0001,     0.0000001
     202.0,        0.0000,        0.0001,     0.0000001
     203.0,        0.0000,        0.0001,     0.0000001
     204.0,        0.0000,        0.0001,     0.0000001
     205.0,        0.0000,        0.0001,     0.0000001
     206.0,        0.0000,        0.0001,     0.0000001
     207.0,        0.0000,        0.0001,     0.0000001
     208.0,        0.0000,        0.0001,     0.0000001
     209.0,        0.0000,        0.0001,     0.0000001
     210.0,        0.0000,        0.0001,     0.0000001
     211.0,        0.0000,        0.0001,     0.0000001
     212.0,        0.0000,        0.0001,     0.0000001
     213.0,        0.0000,        0.0001,     0.0000001
     214.0,        0.0000,        0.0001,     0.0000001
     215.0,        0.0000,        0.0001,     0.0000001
     216.0,        0.0000,        0.0001,     0.0000001
     217.0,        0.0000,        0.0001,     0.0000001
     218.0,        0.0000,        0.0001,     0.0000001
     219.0,        0.0000,        0.0001,     0.0000001
     220.0,        0.0000,        0.0001,     0.0000001
     221.0,        0.0000,        0.0001,     0.0000001
     222.0,        0.0000,        0.0001,     0.0000001
     223.0,        0.0000,        0.0001,     0.0000001
     224.0,        0.0000,        0.0001,     0.0000001
     225.0,        0.0000,        0.0001,     0.0000001
     226.0,        0.0000,        0.0001,     0.0000001
     227.0,        0.0000,        0.0001,     0.0000001
     228.0,        0.0000,        0.0001,     0.0000001
     229.0,        0.0000,        0.0001,     0.0000001
     230.0,        0.0000,        0.0001,     0.0000001
     231.0,        0.0000,        0.0001,     0.0000001
     232.0,        0.0000,        0.0001,     0.0000001
     233.0,        0.0000,        0.0001,     0.0000001
     234.0,        0.0000,        0.0001,     0.0000001
     235.0,        0.0000,        0.0001,     0.0000001
     236.0,        0.0000,        0.0001,     0.0000001
     237.0,        0.0000,        0.0001,     0.0000001
     238.0,        0.0000,        0.0001,     0.0000001
     239.0,        0.0000,        0.0001,     0.0000001
     240.0,        0.0000,        0.0001,     0.0000001
     241.0,        0.0000,        0.0001,     0.0000001
     242.0,        0.0000,        0.0001,     0.0000001
     243.0,        0.0000,        0.0001,     0.0000001
     244.0,        0.0000,        0.0001,     0.0000001
     245.0,        0.0000,        0.0001,     0.0000001
     246.0,        0.0000,        0.0001,     0.0000001
     247.0,        0.0000,        0.0001,     0.0000001
     248.0,        0.0000,        0.0001,     0.0000001
     249.0,        0.0000,        0.0001,     0.0000001
     250.0,        0.0000,        0.0001,     0.0000001
     251.0,        0.0000,        0.0001,     0.0000001
     252.0,        0.0000,        0.0001,     0.0000001
     253.0,        0.0000,        0.0001,     0.0000001
     254.0,        0.0000,        0.0001,     0.0000001
     255.0,        0.0000,        0.0001,     0.0000001
     256.0,        0.0000,        0.0001,     0.0000001
     257.0,        0.0000,        0.0001,     0.0000001
     258.0,        0.0000,        0.0001,     0.0000001
     259.0,        0.0000,        0.0001,     0.0000001
     260.0,        0.0000,        0.0001,     0.0000001
     261.0,        0.0000,        0.0001,     0.0000001
     262.0,        0.0000,        0.0001,     0.0000001
     263.0,        0.0000,        0.0001,     0.0000001
     264.0,        0.0000,        0.0001,     0.0000001
     265.0,        0.0000,        0.0001,     0.0000001
     266.0,        0.0000,        0.0001,     0.0000001
     267.0,        0.0000,        0.0001,     0.0000001
     268.0,        0.0000,        0.0001,     0.0000001
     269.0,        0.0000,        0.0001,     0.0000001
     270.0,        0.0000,        0.0001,     0.0000001
     271.0,        0.0000,        0.0001,     0.0000001
     272.0,        0.0000,        0.0001,     0.0000001
     273.0,        0.0000,        0.0001,     0.0000001
     274.0,        0.0000,        0.0001,     0.0000001
     275.0,        0.0000,        0.0001,     0.0000001
     276.0,        0.0000,        0.0001,     0.0000001
     277.0,        0.0000,        0.0001,     0.0000001
     278.0,        0.0000,        0.0001,     0.0000001
     279.0,        0.0000,        0.0001,     0.0000001
     280.0,        0.0000,        0.0001,     0.0000001
     281.0,        0.0000,        0.0001,     0.0000001
     282.0,        0.0000,        0.0001,     0.0000001
     283.0,        0.0000,        0.0001,     0.0000001
     284.0,        0.0000,        0.0001,     0.0000001
     285.0,        0.0000,        0.0001,     0.0000001
     286.0,        0.0000,        0.0001,     0.0000001
     287.0,        0.0000,        0.0001,     0.0000001
     288.0,        0.0000,        0.0001,     0.0000001
     289.0,        0.0000,        0.0001,     0.0000001
     290.0,        0.0000,        0.0001,     0.0000001
     291.0,        0.0000,        0.0001,     0.0000001
     292.0,        0.0000,        0.0001,     0.0000001
     293.0,        0.0000,        0.0001,     0.0000001
     294.0,        0.0000,        0.0001,     0.0000001
     295.0,        0.0000,        0.0001,     0.0000001
     296.0,        0.0000,        0.0001,     0.0000001
     297.0,        0.0000,        0.0001,     0.0000001
     298.0,        0.0000,        0.0001,     0.0000001
     299.0,        0.0000,        0.0001,     0.0000001
     300.0,        0.0000,        0.0001,     0.0000001
     301.0,        0.0000,        0.0001,     0.0000001
     302.0,        0.0000,        0.0001,     0.0000001
     303.0,        0.0000,        0.0001,     0.0000001
     304.0,        0.0000,        0.0001,     0.0000001
     305.0,        0.0000,        0.0001,     0.0000001
     306.0,        0.0000,        0.0001,     0.0000001
     307.0,        0.0000,        0.0001,     0.0000001
     308.0,        0.0000,        0.0001,     0.0000001
     309.0,        0.0000,        0.0001,     0.0000001
     310.0,        0.0000,        0.0001,     0.0000001
     311.0,        0.0000,        0.0001,     0.0000001
     312.0,        0.0000,        0.0001,     0.0000001
     313.0,        0.0000,        0.0001,     0.0000001
     314.0,        0.0000,        0.0001,     0.0000001
     315.0,        0.0000,        0.0001,     0.0000001
     316.0,        0.0000,        0.0001,     0.0000001
     317.0,        0.0000,        0.0001,     0.0000001
     318.0,        0.0000,        0.0001,     0.0000001
     319.0,        0.0000,        0.0001,     0.0000001
     320.0,        0.0006,        0.0001,     0.0000001
