Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.0014,       0.00844
       2.0,       0.39685,       0.00354,       0.02133
       3.0,       0.39685,       0.00622,       0.0375
       4.0,       0.39685,       0.00975,       0.05883
       5.0,       0.4252,       0.0146,       0.08811
       6.0,       0.4252,       0.02109,       0.12727
       7.0,       0.4252,       0.02844,       0.17163
       8.0,       0.4252,       0.03594,       0.2169
       9.0,       0.4252,       0.04305,       0.25977
      10.0,       0.45827,       0.04927,       0.29731
      11.0,       0.45827,       0.05463,       0.32966
      12.0,       0.45827,       0.05865,       0.35392
      13.0,       0.45827,       0.06149,       0.37105
      14.0,       0.45827,       0.06344,       0.38281
      15.0,       0.50551,       0.06477,       0.39086
      16.0,       0.50551,       0.06629,       0.40001
      17.0,       0.50551,       0.0676,       0.40796
      18.0,       0.50551,       0.06884,       0.41537
      19.0,       0.50551,       0.07002,       0.4225
      20.0,       0.55748,       0.07111,       0.42911
      21.0,       0.55748,       0.07274,       0.43889
      22.0,       0.55748,       0.07427,       0.44818
      23.0,       0.55748,       0.07576,       0.45711
      24.0,       0.55748,       0.07717,       0.46569
      25.0,       0.62835,       0.07846,       0.47346
      26.0,       0.62835,       0.0805,       0.48579
      27.0,       0.62835,       0.08244,       0.49748
      28.0,       0.62835,       0.08434,       0.50892
      29.0,       0.62835,       0.08617,       0.52001
      30.0,       0.71811,       0.08785,       0.53014
      31.0,       0.71811,       0.09053,       0.54628
      32.0,       0.71811,       0.09311,       0.56182
      33.0,       0.71811,       0.09565,       0.57715
      34.0,       0.71811,       0.09811,       0.59202
      35.0,       0.85039,       0.10038,       0.60572
      36.0,       0.85039,       0.10427,       0.62917
      37.0,       0.85039,       0.10817,       0.65272
      38.0,       0.85039,       0.11231,       0.67772
      39.0,       0.85039,       0.11679,       0.70474
      40.0,       1.05354,       0.12165,       0.73405
      41.0,       1.05354,       0.1304,       0.78685
      42.0,       1.05354,       0.14139,       0.8532
      43.0,       1.05354,       0.15599,       0.94131
      44.0,       1.05354,       0.17531,       1.05785
      45.0,       1.41732,       0.19981,       1.20568
      46.0,       1.41732,       0.2371,       1.4307
      47.0,       1.41732,       0.28373,       1.71209
      48.0,       1.41732,       0.34037,       2.05383
      49.0,       1.41732,       0.40545,       2.44657
      50.0,       2.28189,       0.47531,       2.86812
      51.0,       2.28189,       0.57313,       3.4584
      52.0,       2.28189,       0.69484,       4.1928
      53.0,       2.28189,       0.84615,       5.10587
      54.0,       2.28189,       1.01984,       6.15397
      55.0,       8.04567,       1.19637,       7.21913
      56.0,       8.04567,       1.6497,       9.95464
      57.0,       8.04567,       2.48059,       14.96848
      58.0,       8.04567,       3.72885,       22.50074
      59.0,       8.04567,       5.08932,       30.71013
      60.0,       8.05039,       6.18069,       37.29568
      61.0,       8.05039,       6.87055,       41.45843
      62.0,       8.0504,       7.24358,       43.70939
      63.0,       8.05039,       7.42219,       44.78716
      64.0,       8.05039,       7.49891,       45.25013
      65.0,       2.28189,       7.52978,       45.43638
      66.0,       2.28188,       7.04123,       42.48839
      67.0,       2.28189,       6.0913,       36.75629
      68.0,       2.28188,       4.9592,       29.92495
      69.0,       2.28189,       3.95097,       23.841
      70.0,       1.41732,       3.18814,       19.23795
      71.0,       1.41732,       2.61789,       15.79692
      72.0,       1.41733,       2.19763,       13.26098
      73.0,       1.41732,       1.87757,       11.32969
      74.0,       1.41732,       1.62986,       9.83496
      75.0,       1.05354,       1.43988,       8.68857
      76.0,       1.05354,       1.28337,       7.74412
      77.0,       1.05355,       1.15553,       6.97274
      78.0,       1.05354,       1.04822,       6.32518
      79.0,       1.05354,       0.95753,       5.77797
      80.0,       0.85039,       0.88186,       5.32132
      81.0,       0.85041,       0.81343,       4.90842
      82.0,       0.85039,       0.75334,       4.54581
      83.0,       0.85041,       0.69985,       4.22307
      84.0,       0.85039,       0.65254,       3.93755
      85.0,       0.71811,       0.61146,       3.68968
      86.0,       0.71811,       0.57282,       3.45653
      87.0,       0.71813,       0.53788,       3.24567
      88.0,       0.71811,       0.50591,       3.05278
      89.0,       0.71811,       0.47689,       2.87762
      90.0,       0.62835,       0.45105,       2.72174
      91.0,       0.62835,       0.42629,       2.57236
      92.0,       0.62833,       0.40363,       2.43562
      93.0,       0.62835,       0.3827,       2.30926
      94.0,       0.62835,       0.36346,       2.19318
      95.0,       0.55747,       0.34608,       2.08833
      96.0,       0.55749,       0.32908,       1.98574
      97.0,       0.55747,       0.31334,       1.89075
      98.0,       0.55749,       0.29862,       1.80193
      99.0,       0.55747,       0.2849,       1.71915
     100.0,       0.50078,       0.2723,       1.64312
     101.0,       0.5008,       0.25976,       1.56744
     102.0,       0.50078,       0.24801,       1.49657
     103.0,       0.5008,       0.23694,       1.42979
     104.0,       0.50078,       0.22656,       1.3671
     105.0,       0.46298,       0.21694,       1.30908
     106.0,       0.463,       0.20743,       1.25169
     107.0,       0.46298,       0.19853,       1.19798
     108.0,       0.463,       0.19015,       1.14744
     109.0,       0.46298,       0.18231,       1.10016
     110.0,       0.42519,       0.17506,       1.05637
     111.0,       0.42519,       0.16774,       1.01219
     112.0,       0.42521,       0.16081,       0.97038
     113.0,       0.42519,       0.15419,       0.9304
     114.0,       0.42519,       0.14785,       0.89215
     115.0,       0.39686,       0.14185,       0.85599
     116.0,       0.39686,       0.13578,       0.81934
     117.0,       0.39684,       0.13,       0.78444
     118.0,       0.39686,       0.12446,       0.75107
     119.0,       0.39686,       0.11919,       0.71922
     120.0,       0.00000,       0.11422,       0.6892
     121.0,       0.00000,       0.10363,       0.62528
     122.0,       0.00000,       0.09259,       0.55868
     123.0,       0.00000,       0.08109,       0.48932
     124.0,       0.00000,       0.06946,       0.41911
     125.0,       0.00000,       0.05835,       0.35205
     126.0,       0.00000,       0.0483,       0.29145
     127.0,       0.00000,       0.03959,       0.23887
