Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00116,       0.00844
       2.0,       0.39685,       0.00292,       0.02122
       3.0,       0.39685,       0.00501,       0.03644
       4.0,       0.39685,       0.00735,       0.0535
       5.0,       0.4252,       0.0099,       0.07204
       6.0,       0.4252,       0.01282,       0.09334
       7.0,       0.4252,       0.01592,       0.11594
       8.0,       0.4252,       0.01919,       0.13967
       9.0,       0.4252,       0.02259,       0.16446
      10.0,       0.45827,       0.02613,       0.19024
      11.0,       0.45827,       0.03008,       0.21902
      12.0,       0.45827,       0.03417,       0.24876
      13.0,       0.45827,       0.03836,       0.27927
      14.0,       0.45827,       0.04263,       0.31035
      15.0,       0.50551,       0.0469,       0.34146
      16.0,       0.50551,       0.05156,       0.37536
      17.0,       0.50551,       0.056,       0.40767
      18.0,       0.50551,       0.06006,       0.43727
      19.0,       0.50551,       0.06362,       0.46319
      20.0,       0.55748,       0.0666,       0.48487
      21.0,       0.55748,       0.06955,       0.50638
      22.0,       0.55748,       0.07198,       0.52403
      23.0,       0.55748,       0.07396,       0.53851
      24.0,       0.55748,       0.07562,       0.55056
      25.0,       0.62835,       0.07703,       0.56083
      26.0,       0.62835,       0.07905,       0.57552
      27.0,       0.62835,       0.08093,       0.58919
      28.0,       0.62835,       0.08269,       0.60208
      29.0,       0.62835,       0.08436,       0.61416
      30.0,       0.71811,       0.08592,       0.62556
      31.0,       0.71811,       0.0884,       0.64361
      32.0,       0.71811,       0.09078,       0.66088
      33.0,       0.71811,       0.09303,       0.67734
      34.0,       0.71811,       0.09517,       0.69291
      35.0,       0.85039,       0.0972,       0.70764
      36.0,       0.85039,       0.10065,       0.73278
      37.0,       0.85039,       0.10397,       0.75697
      38.0,       0.85039,       0.10717,       0.78028
      39.0,       0.85039,       0.11026,       0.80274
      40.0,       1.05354,       0.11327,       0.82467
      41.0,       1.05354,       0.11875,       0.86457
      42.0,       1.05354,       0.12434,       0.90526
      43.0,       1.05354,       0.13021,       0.94799
      44.0,       1.05354,       0.13667,       0.99506
      45.0,       1.41732,       0.14416,       1.04955
      46.0,       1.41732,       0.15804,       1.15059
      47.0,       1.41732,       0.17433,       1.26924
      48.0,       1.41732,       0.19384,       1.41128
      49.0,       1.41732,       0.21778,       1.58556
      50.0,       2.28189,       0.24768,       1.80324
      51.0,       2.28189,       0.30049,       2.18771
      52.0,       2.28189,       0.36922,       2.68812
      53.0,       2.28189,       0.45886,       3.34073
      54.0,       2.28189,       0.57224,       4.16621
      55.0,       8.04567,       0.70645,       5.14333
      56.0,       8.04567,       1.10065,       8.01332
      57.0,       8.04567,       1.80893,       13.17004
      58.0,       8.04567,       2.77619,       20.21225
      59.0,       8.04567,       3.82515,       27.84925
      60.0,       8.05039,       4.82383,       35.12012
      61.0,       8.05039,       5.69911,       41.49272
      62.0,       8.0504,       6.37959,       46.44698
      63.0,       8.05039,       6.82921,       49.72044
      64.0,       8.05039,       7.07736,       51.52711
      65.0,       2.28189,       7.19384,       52.37515
      66.0,       2.28188,       6.76312,       49.23924
      67.0,       2.28189,       5.95779,       43.37599
      68.0,       2.28188,       5.11034,       37.20609
      69.0,       2.28189,       4.3284,       31.51315
      70.0,       1.41732,       3.64402,       26.5305
      71.0,       1.41732,       3.02808,       22.0461
      72.0,       1.41733,       2.50696,       18.25203
      73.0,       1.41732,       2.08893,       15.20855
      74.0,       1.41732,       1.76311,       12.83642
      75.0,       1.05354,       1.51418,       11.02407
      76.0,       1.05354,       1.31296,       9.55905
      77.0,       1.05355,       1.15202,       8.38734
      78.0,       1.05354,       1.02383,       7.45401
      79.0,       1.05354,       0.92042,       6.70117
      80.0,       0.85039,       0.8357,       6.08433
      81.0,       0.85041,       0.75943,       5.52901
