Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.01394,       0.00842
       2.0,       0.39685,       0.03472,       0.02097
       3.0,       0.39685,       0.05705,       0.03445
       4.0,       0.39685,       0.07598,       0.04589
       5.0,       0.4252,       0.08815,       0.05323
       6.0,       0.4252,       0.09589,       0.05791
       7.0,       0.4252,       0.09957,       0.06013
       8.0,       0.4252,       0.10139,       0.06123
       9.0,       0.4252,       0.10237,       0.06182
      10.0,       0.45827,       0.10289,       0.06214
      11.0,       0.45827,       0.10548,       0.0637
      12.0,       0.45827,       0.1076,       0.06498
      13.0,       0.45827,       0.10923,       0.06596
      14.0,       0.45827,       0.11031,       0.06662
      15.0,       0.50551,       0.1109,       0.06697
      16.0,       0.50551,       0.11458,       0.0692
      17.0,       0.50551,       0.11763,       0.07104
      18.0,       0.50551,       0.11994,       0.07244
      19.0,       0.50551,       0.12147,       0.07336
      20.0,       0.55748,       0.12227,       0.07384
      21.0,       0.55748,       0.12646,       0.07637
      22.0,       0.55748,       0.12987,       0.07843
      23.0,       0.55748,       0.13243,       0.07997
      24.0,       0.55748,       0.13407,       0.08097
      25.0,       0.62835,       0.13491,       0.08147
      26.0,       0.62835,       0.14063,       0.08493
      27.0,       0.62835,       0.14533,       0.08776
      28.0,       0.62835,       0.14883,       0.08988
      29.0,       0.62835,       0.15104,       0.09121
      30.0,       0.71811,       0.15213,       0.09187
      31.0,       0.71811,       0.15959,       0.09638
      32.0,       0.71811,       0.16574,       0.10009
      33.0,       0.71811,       0.17029,       0.10284
      34.0,       0.71811,       0.17313,       0.10456
      35.0,       0.85039,       0.17457,       0.10542
      36.0,       0.85039,       0.18611,       0.11239
      37.0,       0.85039,       0.19613,       0.11844
      38.0,       0.85039,       0.20431,       0.12339
      39.0,       0.85039,       0.2108,       0.1273
      40.0,       1.05354,       0.21642,       0.1307
      41.0,       1.05354,       0.24134,       0.14575
      42.0,       1.05354,       0.26831,       0.16204
      43.0,       1.05354,       0.29679,       0.17924
      44.0,       1.05354,       0.32651,       0.19718
      45.0,       1.41732,       0.3583,       0.21638
      46.0,       1.41732,       0.43546,       0.26297
      47.0,       1.41732,       0.5227,       0.31566
      48.0,       1.41732,       0.61045,       0.36866
      49.0,       1.41732,       0.68979,       0.41657
      50.0,       2.28189,       0.75682,       0.45705
      51.0,       2.28189,       0.94024,       0.56782
      52.0,       2.28189,       1.14287,       0.69019
      53.0,       2.28189,       1.33407,       0.80566
      54.0,       2.28189,       1.49502,       0.90286
      55.0,       8.04567,       1.62037,       0.97856
      56.0,       8.04567,       2.87592,       1.73679
      57.0,       8.04567,       4.5267,       2.73372
      58.0,       8.04567,       6.03441,       3.64423
      59.0,       8.04567,       7.01718,       4.23774
      60.0,       8.05039,       7.45774,       4.50379
      61.0,       8.05039,       7.577,       4.57582
      62.0,       8.0504,       7.5904,       4.58391
      63.0,       8.05039,       7.59295,       4.58545
      64.0,       8.05039,       7.59867,       4.5889
      65.0,       2.28189,       7.60429,       4.59229
      66.0,       2.28189,       6.09858,       3.68299
      67.0,       2.28189,       4.48844,       2.71061
      68.0,       2.28189,       3.33686,       2.01516
      69.0,       2.28189,       2.63165,       1.58928
      70.0,       1.41732,       2.2287,       1.34593
      71.0,       1.41732,       1.85663,       1.12124
      72.0,       1.41733,       1.58202,       0.95539
      73.0,       1.41732,       1.39252,       0.84095
      74.0,       1.41732,       1.26452,       0.76366
      75.0,       1.05354,       1.17627,       0.71036
      76.0,       1.05354,       1.05852,       0.63925
      77.0,       1.05355,       0.9553,       0.57691
      78.0,       1.05354,       0.8745,       0.52812
      79.0,       1.05354,       0.81561,       0.49255
      80.0,       0.85039,       0.77346,       0.4671
      81.0,       0.85041,       0.71492,       0.43175
      82.0,       0.85039,       0.66197,       0.39977
      83.0,       0.85041,       0.61822,       0.37335
      84.0,       0.85039,       0.58453,       0.353
      85.0,       0.71811,       0.55939,       0.33782
      86.0,       0.71811,       0.52406,       0.31649
      87.0,       0.71813,       0.49196,       0.2971
      88.0,       0.71811,       0.46481,       0.28071
      89.0,       0.71811,       0.44318,       0.26764
      90.0,       0.62835,       0.42642,       0.25752
      91.0,       0.62835,       0.40312,       0.24345
      92.0,       0.62833,       0.382,       0.23069
      93.0,       0.62835,       0.36399,       0.21982
      94.0,       0.62835,       0.34941,       0.21101
      95.0,       0.55747,       0.33785,       0.20403
      96.0,       0.55749,       0.32106,       0.19389
      97.0,       0.55747,       0.30571,       0.18462
      98.0,       0.55749,       0.29249,       0.17664
      99.0,       0.55747,       0.28167,       0.1701
     100.0,       0.50078,       0.27297,       0.16485
     101.0,       0.5008,       0.26024,       0.15716
     102.0,       0.50078,       0.24857,       0.15012
     103.0,       0.5008,       0.23841,       0.14398
     104.0,       0.50078,       0.22999,       0.13889
     105.0,       0.46298,       0.22316,       0.13476
     106.0,       0.463,       0.21395,       0.12921
     107.0,       0.46298,       0.20552,       0.12411
     108.0,       0.463,       0.19809,       0.11963
     109.0,       0.46298,       0.19182,       0.11584
     110.0,       0.42519,       0.18667,       0.11273
     111.0,       0.42519,       0.17895,       0.10807
     112.0,       0.42521,       0.17175,       0.10372
     113.0,       0.42519,       0.1653,       0.09982
     114.0,       0.42519,       0.15976,       0.09648
