Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,     0.0000000
       1.0,       10.0800,        0.1142,     0.0002385
       2.0,       10.0800,        0.2877,     0.0006010
       3.0,       10.0800,        0.4928,     0.0010294
       4.0,       10.0800,        0.7151,     0.0014939
       5.0,       10.8000,        0.9335,     0.0019501
       6.0,       10.8000,        1.1389,     0.0023792
       7.0,       10.8000,        1.2916,     0.0026980
       8.0,       10.8000,        1.3878,     0.0028990
       9.0,       10.8000,        1.4403,     0.0030088
      10.0,       11.6400,        1.4664,     0.0030632
      11.0,       11.6400,        1.5021,     0.0031377
      12.0,       11.6400,        1.5299,     0.0031958
      13.0,       11.6400,        1.5525,     0.0032430
      14.0,       11.6400,        1.5707,     0.0032812
      15.0,       12.8400,        1.5848,     0.0033106
      16.0,       12.8400,        1.6282,     0.0034013
      17.0,       12.8400,        1.6657,     0.0034796
      18.0,       12.8400,        1.6974,     0.0035457
      19.0,       12.8400,        1.7232,     0.0035996
      20.0,       14.1600,        1.7429,     0.0036409
      21.0,       14.1600,        1.7944,     0.0037484
      22.0,       14.1600,        1.8379,     0.0038394
      23.0,       14.1600,        1.8739,     0.0039145
      24.0,       14.1600,        1.9026,     0.0039745
      25.0,       15.9600,        1.9242,     0.0040195
      26.0,       15.9600,        1.9915,     0.0041601
      27.0,       15.9600,        2.0492,     0.0042806
      28.0,       15.9600,        2.0973,     0.0043813
      29.0,       15.9600,        2.1360,     0.0044620
      30.0,       18.2400,        2.1648,     0.0045221
      31.0,       18.2400,        2.2526,     0.0047055
      32.0,       18.2400,        2.3272,     0.0048614
      33.0,       18.2400,        2.3890,     0.0049906
      34.0,       18.2400,        2.4380,     0.0050929
      35.0,       21.6000,        2.4737,     0.0051675
      36.0,       21.6000,        2.6013,     0.0054340
      37.0,       21.6000,        2.7108,     0.0056628
      38.0,       21.6000,        2.8020,     0.0058533
      39.0,       21.6000,        2.8738,     0.0060033
      40.0,       26.7600,        2.9251,     0.0061104
      41.0,       26.7600,        3.1248,     0.0065276
      42.0,       26.7600,        3.2973,     0.0068880
      43.0,       26.7600,        3.4411,     0.0071884
      44.0,       26.7600,        3.5532,     0.0074224
      45.0,       36.0000,        3.6313,     0.0075856
      46.0,       36.0000,        4.0012,     0.0083583
      47.0,       36.0000,        4.3405,     0.0090671
      48.0,       36.0000,        4.6520,     0.0097177
      49.0,       36.0000,        4.9349,     0.0103087
      50.0,       57.9600,        5.1926,     0.0108470
      51.0,       57.9600,        6.3617,     0.0132894
      52.0,       57.9600,        7.7110,     0.0161080
      53.0,       57.9601,        9.2564,     0.0193363
      54.0,       57.9600,       10.9739,     0.0229240
      55.0,      204.3600,       12.8524,     0.0268481
      56.0,      204.3600,       24.8971,     0.0520090
      57.0,      204.3601,       43.8034,     0.0915034
      58.0,      204.3600,       69.0694,     0.1442829
      59.0,      204.3600,       97.8208,     0.2043432
      60.0,      204.4800,      126.0436,     0.2632995
      61.0,      204.4800,      149.6137,     0.3125364
      62.0,      204.4802,      165.9127,     0.3465843
      63.0,      204.4800,      175.0330,     0.3656362
      64.0,      204.4800,      179.1088,     0.3741504
      65.0,       57.9601,      180.6219,     0.3773112
      66.0,       57.9599,      162.0666,     0.3385500
      67.0,       57.9601,      136.8809,     0.2859381
      68.0,       57.9599,      113.1869,     0.2364424
      69.0,       57.9601,       93.8374,     0.1960222
      70.0,       35.9999,       78.8354,     0.1646838
      71.0,       35.9999,       65.3963,     0.1366099
      72.0,       36.0002,       54.3618,     0.1135593
      73.0,       35.9999,       45.6512,     0.0953634
      74.0,       35.9999,       38.9665,     0.0813993
      75.0,       26.7600,       33.9081,     0.0708326
      76.0,       26.7600,       29.4533,     0.0615267
      77.0,       26.7602,       25.8379,     0.0539742
      78.0,       26.7600,       22.9457,     0.0479326
      79.0,       26.7600,       20.6568,     0.0431512
      80.0,       21.5998,       18.8428,     0.0393617
      81.0,       21.6003,       17.0807,     0.0356808
      82.0,       21.5998,       15.5410,     0.0324645
      83.0,       21.6003,       14.2093,     0.0296826
      84.0,       21.5998,       13.0765,     0.0273163
      85.0,       18.2399,       12.1256,     0.0253299
      86.0,       18.2399,       11.1496,     0.0232910
      87.0,       18.2404,       10.2694,     0.0214524
      88.0,       18.2399,        9.4867,     0.0198173
      89.0,       18.2399,        8.8018,     0.0183865
      90.0,       15.9600,        8.2095,     0.0171493
      91.0,       15.9600,        7.5902,     0.0158555
      92.0,       15.9596,        7.0237,     0.0146722
      93.0,       15.9600,        6.5116,     0.0136025
      94.0,       15.9600,        6.0559,     0.0126506
      95.0,       14.1598,        5.6561,     0.0118154
      96.0,       14.1603,        5.2315,     0.0109283
      97.0,       14.1598,        4.8431,     0.0101170
      98.0,       14.1603,        4.4909,     0.0093814
      99.0,       14.1598,        4.1754,     0.0087222
     100.0,       12.7199,        3.8962,     0.0081390
     101.0,       12.7204,        3.5971,     0.0075142
     102.0,       12.7199,        3.3252,     0.0069462
     103.0,       12.7204,        3.0804,     0.0064348
     104.0,       12.7199,        2.8626,     0.0059799
     105.0,       11.7597,        2.6717,     0.0055811
     106.0,       11.7601,        2.4747,     0.0051695
     107.0,       11.7597,        2.3016,     0.0048080
     108.0,       11.7601,        2.1510,     0.0044933
     109.0,       11.7597,        2.0215,     0.0042229
     110.0,       10.7999,        1.9129,     0.0039959
     111.0,       10.7999,        1.7959,     0.0037516
     112.0,       10.8004,        1.7011,     0.0035535
     113.0,       10.7999,        1.6288,     0.0034025
     114.0,       10.7999,        1.5765,     0.0032933
