Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,      0.000000
       1.0,       10.0800,        0.0300,      0.000239
       2.0,       10.0800,        0.0756,      0.000601
       3.0,       10.0800,        0.1299,      0.001033
       4.0,       10.0800,        0.1913,      0.001522
       5.0,       10.8000,        0.2614,      0.002079
       6.0,       10.8000,        0.3513,      0.002794
       7.0,       10.8000,        0.4657,      0.003704
       8.0,       10.8000,        0.6097,      0.004849
       9.0,       10.8000,        0.7766,      0.006177
      10.0,       11.6400,        0.9502,      0.007557
      11.0,       11.6400,        1.1215,      0.008920
      12.0,       11.6400,        1.2703,      0.010103
      13.0,       11.6400,        1.3900,      0.011055
      14.0,       11.6400,        1.4798,      0.011770
      15.0,       12.8400,        1.5437,      0.012278
      16.0,       12.8400,        1.6004,      0.012729
      17.0,       12.8400,        1.6433,      0.013071
      18.0,       12.8400,        1.6775,      0.013343
      19.0,       12.8400,        1.7069,      0.013576
      20.0,       14.1600,        1.7336,      0.013789
      21.0,       14.1600,        1.7729,      0.014101
      22.0,       14.1600,        1.8101,      0.014397
      23.0,       14.1600,        1.8452,      0.014676
      24.0,       14.1600,        1.8785,      0.014941
      25.0,       15.9600,        1.9101,      0.015193
      26.0,       15.9600,        1.9598,      0.015587
      27.0,       15.9600,        2.0067,      0.015961
      28.0,       15.9600,        2.0510,      0.016313
      29.0,       15.9600,        2.0932,      0.016649
      30.0,       18.2400,        2.1336,      0.016970
      31.0,       18.2400,        2.1979,      0.017482
      32.0,       18.2400,        2.2591,      0.017968
      33.0,       18.2400,        2.3173,      0.018431
      34.0,       18.2400,        2.3734,      0.018877
      35.0,       21.6000,        2.4275,      0.019308
      36.0,       21.6000,        2.5188,      0.020034
      37.0,       21.6000,        2.6069,      0.020735
      38.0,       21.6000,        2.6936,      0.021425
      39.0,       21.6000,        2.7822,      0.022129
      40.0,       26.7600,        2.8760,      0.022875
      41.0,       26.7600,        3.0435,      0.024207
      42.0,       26.7600,        3.2308,      0.025697
      43.0,       26.7600,        3.4570,      0.027496
      44.0,       26.7600,        3.7489,      0.029818
      45.0,       36.0000,        4.1339,      0.032880
      46.0,       36.0000,        4.7724,      0.037959
      47.0,       36.0000,        5.5836,      0.044410
      48.0,       36.0000,        6.6101,      0.052575
      49.0,       36.0000,        7.8739,      0.062627
      50.0,       57.9600,        9.3496,      0.074364
      51.0,       57.9600,       11.4671,      0.091206
      52.0,       57.9600,       14.0576,      0.111811
      53.0,       57.9601,       17.3023,      0.137618
      54.0,       57.9600,       21.2268,      0.168833
      55.0,      204.3600,       25.5753,      0.203420
      56.0,      204.3600,       36.4294,      0.289751
      57.0,      204.3601,       55.3392,      0.440155
      58.0,      204.3600,       83.1103,      0.661038
      59.0,      204.3600,      115.4538,      0.918291
      60.0,      204.4800,      144.5263,      1.149527
      61.0,      204.4800,      165.1702,      1.313723
      62.0,      204.4802,      177.5796,      1.412424
      63.0,      204.4800,      184.1634,      1.464790
      64.0,      204.4800,      187.3074,      1.489796
      65.0,       57.9601,      188.6943,      1.500828
      66.0,       57.9599,      177.8259,      1.414383
      67.0,       57.9601,      156.6405,      1.245880
      68.0,       57.9599,      131.0920,      1.042673
      69.0,       57.9601,      106.4697,      0.846834
      70.0,       35.9999,       86.2987,      0.686398
      71.0,       35.9999,       70.4066,      0.559997
      72.0,       36.0002,       58.5022,      0.465312
      73.0,       35.9999,       49.6032,      0.394531
      74.0,       35.9999,       42.8124,      0.340519
      75.0,       26.7600,       37.5564,      0.298714
      76.0,       26.7600,       33.1899,      0.263984
      77.0,       26.7602,       29.6264,      0.235641
      78.0,       26.7600,       26.7057,      0.212411
      79.0,       26.7600,       24.2815,      0.193129
      80.0,       21.5998,       22.2555,      0.177015
      81.0,       21.6003,       20.4268,      0.162470
      82.0,       21.5998,       18.8285,      0.149758
      83.0,       21.6003,       17.4303,      0.138636
