Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00151,       0.00844
       2.0,       0.39685,       0.00381,       0.02122
       3.0,       0.39685,       0.00655,       0.03648
       4.0,       0.39685,       0.00961,       0.0535
       5.0,       0.4252,       0.01293,       0.07204
       6.0,       0.4252,       0.01676,       0.09334
       7.0,       0.4252,       0.02081,       0.1159
       8.0,       0.4252,       0.02507,       0.13967
       9.0,       0.4252,       0.02952,       0.16446
      10.0,       0.45827,       0.03414,       0.1902
      11.0,       0.45827,       0.03929,       0.21888
      12.0,       0.45827,       0.04457,       0.24826
      13.0,       0.45827,       0.04989,       0.27793
      14.0,       0.45827,       0.05511,       0.30703
      15.0,       0.50551,       0.06006,       0.33457
      16.0,       0.50551,       0.06512,       0.36279
      17.0,       0.50551,       0.06952,       0.3873
      18.0,       0.50551,       0.07317,       0.4076
      19.0,       0.50551,       0.07606,       0.42374
      20.0,       0.55748,       0.0783,       0.43621
      21.0,       0.55748,       0.08072,       0.44966
      22.0,       0.55748,       0.08274,       0.46096
      23.0,       0.55748,       0.0845,       0.47071
      24.0,       0.55748,       0.08605,       0.4794
      25.0,       0.62835,       0.08746,       0.4872
      26.0,       0.62835,       0.08972,       0.49984
      27.0,       0.62835,       0.09187,       0.51178
      28.0,       0.62835,       0.09389,       0.52305
      29.0,       0.62835,       0.09578,       0.5336
      30.0,       0.71811,       0.09755,       0.54342
      31.0,       0.71811,       0.10046,       0.55967
      32.0,       0.71811,       0.10322,       0.57506
      33.0,       0.71811,       0.10584,       0.58965
      34.0,       0.71811,       0.10831,       0.60339
      35.0,       0.85039,       0.11063,       0.61631
      36.0,       0.85039,       0.11474,       0.63923
      37.0,       0.85039,       0.1187,       0.6613
      38.0,       0.85039,       0.12255,       0.68274
      39.0,       0.85039,       0.12635,       0.70389
      40.0,       1.05354,       0.13021,       0.72543
      41.0,       1.05354,       0.13744,       0.76569
      42.0,       1.05354,       0.14523,       0.80909
      43.0,       1.05354,       0.15411,       0.85857
      44.0,       1.05354,       0.16476,       0.91786
      45.0,       1.41732,       0.17773,       0.99015
      46.0,       1.41732,       0.19995,       1.11393
      47.0,       1.41732,       0.22661,       1.26246
      48.0,       1.41732,       0.25954,       1.44592
      49.0,       1.41732,       0.30085,       1.67607
      50.0,       2.28189,       0.35162,       1.9589
      51.0,       2.28189,       0.43294,       2.41192
      52.0,       2.28189,       0.53457,       2.97812
      53.0,       2.28189,       0.66055,       3.67997
      54.0,       2.28189,       0.80792,       4.50093
      55.0,       8.04567,       0.96619,       5.38266
      56.0,       8.04567,       1.4223,       7.92366
      57.0,       8.04567,       2.17612,       12.12321
      58.0,       8.04567,       3.14421,       17.5165
      59.0,       8.04567,       4.20725,       23.4387
      60.0,       8.05039,       5.26881,       29.35271
      61.0,       8.05039,       6.18722,       34.4692
      62.0,       8.0504,       6.83162,       38.05911
      63.0,       8.05039,       7.19112,       40.06195
      64.0,       8.05039,       7.35288,       40.96311
      65.0,       2.28189,       7.41359,       41.30132
      66.0,       2.28189,       6.93681,       38.64516
      67.0,       2.28189,       6.12747,       34.13633
      68.0,       2.28189,       5.25107,       29.25386
      69.0,       2.28189,       4.40416,       24.53571
      70.0,       1.41732,       3.6553,       20.36378
      71.0,       1.41732,       3.00097,       16.71849
      72.0,       1.41733,       2.47122,       13.76721
      73.0,       1.41732,       2.0609,       11.48133
      74.0,       1.41732,       1.75091,       9.75434
      75.0,       1.05354,       1.5203,       8.46962
      76.0,       1.05354,       1.33537,       7.43939
      77.0,       1.05355,       1.18818,       6.61942
      78.0,       1.05354,       1.06917,       5.95638
      79.0,       1.05354,       0.97091,       5.40897
      80.0,       0.85039,       0.88896,       4.95242
      81.0,       0.85041,       0.81409,       4.53532
      82.0,       0.85039,       0.74863,       4.17066
      83.0,       0.85041,       0.69186,       3.85438
      84.0,       0.85039,       0.64257,       3.57974
      85.0,       0.71811,       0.5997,       3.34094
      86.0,       0.71811,       0.55918,       3.11521
      87.0,       0.71813,       0.52338,       2.91576
      88.0,       0.71811,       0.49196,       2.7407
      89.0,       0.71811,       0.4641,       2.58549
      90.0,       0.62835,       0.43918,       2.44667
      91.0,       0.62835,       0.415,       2.31198
      92.0,       0.62833,       0.39314,       2.19018
      93.0,       0.62835,       0.37328,       2.07954
      94.0,       0.62835,       0.35515,       1.97854
      95.0,       0.55747,       0.33859,       1.8863
      96.0,       0.55749,       0.32217,       1.79483
      97.0,       0.55747,       0.30716,       1.71121
      98.0,       0.55749,       0.29337,       1.63436
      99.0,       0.55747,       0.28062,       1.56335
     100.0,       0.50078,       0.26882,       1.49762
     101.0,       0.5008,       0.25692,       1.43127
     102.0,       0.50078,       0.24591,       1.36996
     103.0,       0.5008,       0.23569,       1.31303
     104.0,       0.50078,       0.22616,       1.25996
     105.0,       0.46298,       0.21726,       1.21034
     106.0,       0.463,       0.20831,       1.16048
     107.0,       0.46298,       0.19997,       1.11404
     108.0,       0.463,       0.19219,       1.07071
     109.0,       0.46298,       0.18492,       1.0302
     110.0,       0.42519,       0.17811,       0.99227
