Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.00412,       0.00842
       2.0,       0.39685,       0.01038,       0.02122
       3.0,       0.39685,       0.01778,       0.03635
       4.0,       0.39685,       0.02581,       0.05275
       5.0,       0.4252,       0.03369,       0.06885
       6.0,       0.4252,       0.04109,       0.08399
       7.0,       0.4252,       0.04659,       0.09523
       8.0,       0.4252,       0.05006,       0.10231
       9.0,       0.4252,       0.05194,       0.10618
      10.0,       0.45827,       0.05288,       0.10809
      11.0,       0.45827,       0.05417,       0.11072
      12.0,       0.45827,       0.05517,       0.11277
      13.0,       0.45827,       0.05599,       0.11444
      14.0,       0.45827,       0.05665,       0.11578
      15.0,       0.50551,       0.05715,       0.11682
      16.0,       0.50551,       0.05872,       0.12002
      17.0,       0.50551,       0.06007,       0.12279
      18.0,       0.50551,       0.06121,       0.12512
      19.0,       0.50551,       0.06214,       0.12702
      20.0,       0.55748,       0.06285,       0.12847
      21.0,       0.55748,       0.06471,       0.13227
      22.0,       0.55748,       0.06628,       0.13548
      23.0,       0.55748,       0.06758,       0.13814
      24.0,       0.55748,       0.06862,       0.14026
      25.0,       0.62835,       0.0694,       0.14184
      26.0,       0.62835,       0.07183,       0.14682
      27.0,       0.62835,       0.07391,       0.15108
      28.0,       0.62835,       0.07566,       0.15465
      29.0,       0.62835,       0.07706,       0.15752
      30.0,       0.71811,       0.07811,       0.15966
      31.0,       0.71811,       0.0813,       0.16618
      32.0,       0.71811,       0.08404,       0.17178
      33.0,       0.71811,       0.08633,       0.17646
      34.0,       0.71811,       0.08817,       0.18022
      35.0,       0.85039,       0.08954,       0.18302
      36.0,       0.85039,       0.09432,       0.1928
      37.0,       0.85039,       0.09866,       0.20165
      38.0,       0.85039,       0.10261,       0.20974
      39.0,       0.85039,       0.10629,       0.21725
      40.0,       1.05354,       0.10977,       0.22438
      41.0,       1.05354,       0.11994,       0.24515
      42.0,       1.05354,       0.13128,       0.26835
      43.0,       1.05354,       0.14417,       0.29467
      44.0,       1.05354,       0.15872,       0.32442
      45.0,       1.41732,       0.17496,       0.35762
      46.0,       1.41732,       0.20824,       0.42563
      47.0,       1.41732,       0.24922,       0.5094
      48.0,       1.41732,       0.29829,       0.6097
      49.0,       1.41732,       0.35481,       0.72523
      50.0,       2.28189,       0.41745,       0.85327
      51.0,       2.28189,       0.53623,       1.09606
      52.0,       2.28189,       0.68524,       1.40064
      53.0,       2.28189,       0.85346,       1.74448
      54.0,       2.28189,       1.02494,       2.09497
      55.0,       8.04567,       1.18656,       2.42532
      56.0,       8.04567,       1.8519,       3.78529
      57.0,       8.04567,       2.88821,       5.9035
      58.0,       8.04567,       4.14105,       8.4643
      59.0,       8.04567,       5.35893,       10.95364
      60.0,       8.05039,       6.33378,       12.94623
      61.0,       8.05039,       6.97377,       14.25437
      62.0,       8.0504,       7.31156,       14.94482
      63.0,       8.05039,       7.4535,       15.23494
      64.0,       8.05039,       7.50231,       15.33471
      65.0,       2.28189,       7.51826,       15.36732
      66.0,       2.28189,       6.71033,       13.7159
      67.0,       2.28189,       5.55731,       11.35915
      68.0,       2.28189,       4.4859,       9.16918
      69.0,       2.28189,       3.64585,       7.45213
      70.0,       1.41732,       3.03226,       6.19794
      71.0,       1.41732,       2.51425,       5.13913
      72.0,       1.41733,       2.10163,       4.29573
      73.0,       1.41732,       1.7869,       3.65243
      74.0,       1.41732,       1.55551,       3.17945
      75.0,       1.05354,       1.3889,       2.83891
      76.0,       1.05354,       1.2415,       2.53762
      77.0,       1.05355,       1.1173,       2.28375
      78.0,       1.05354,       1.01377,       2.07214
      79.0,       1.05354,       0.92919,       1.89925
      80.0,       0.85039,       0.86128,       1.76047
      81.0,       0.85041,       0.79403,       1.62299
      82.0,       0.85039,       0.73377,       1.49983
      83.0,       0.85041,       0.68115,       1.39228
      84.0,       0.85039,       0.63641,       1.30081
      85.0,       0.71811,       0.59904,       1.22443
      86.0,       0.71811,       0.56042,       1.1455
      87.0,       0.71813,       0.52495,       1.073
      88.0,       0.71811,       0.49318,       1.00805
      89.0,       0.71811,       0.46548,       0.95143
      90.0,       0.62835,       0.44181,       0.90307
      91.0,       0.62835,       0.41707,       0.85248
      92.0,       0.62833,       0.39415,       0.80564
      93.0,       0.62835,       0.37332,       0.76307
      94.0,       0.62835,       0.35484,       0.72529
      95.0,       0.55747,       0.33877,       0.69245
      96.0,       0.55749,       0.32155,       0.65725
      97.0,       0.55747,       0.30548,       0.6244
      98.0,       0.55749,       0.29071,       0.59421
      99.0,       0.55747,       0.27741,       0.56702
     100.0,       0.50078,       0.26565,       0.54299
     101.0,       0.5008,       0.25289,       0.5169
     102.0,       0.50078,       0.24095,       0.49249
     103.0,       0.5008,       0.22992,       0.46995
     104.0,       0.50078,       0.21991,       0.44949
     105.0,       0.46298,       0.21096,       0.4312
     106.0,       0.463,       0.20147,       0.4118
     107.0,       0.46298,       0.19259,       0.39366
     108.0,       0.463,       0.18438,       0.37687
     109.0,       0.46298,       0.17687,       0.36153
     110.0,       0.42519,       0.17011,       0.34771
     111.0,       0.42519,       0.16259,       0.33233
     112.0,       0.42521,       0.15541,       0.31767
     113.0,       0.42519,       0.14865,       0.30385
     114.0,       0.42519,       0.14238,       0.29103
     115.0,       0.39686,       0.13666,       0.27934
     116.0,       0.39686,       0.13046,       0.26667
     117.0,       0.39684,       0.12461,       0.25471
     118.0,       0.39686,       0.11913,       0.2435
     119.0,       0.39686,       0.11404,       0.2331
     120.0,       0.00000,       0.10938,       0.22357
     121.0,       0.00000,       0.09204,       0.18812
     122.0,       0.00000,       0.07424,       0.15175
     123.0,       0.00000,       0.05753,       0.11759
     124.0,       0.00000,       0.04315,       0.0882
     125.0,       0.00000,       0.03178,       0.06497
     126.0,       0.00000,       0.02326,       0.04755
     127.0,       0.00000,       0.017,       0.03476
     128.0,       0.00000,       0.01246,       0.02547
     129.0,       0.00000,       0.00918,       0.01877
     130.0,       0.00000,       0.00681,       0.01393
     131.0,       0.00000,       0.00509,       0.01041
     132.0,       0.00000,       0.00384,       0.00785
     133.0,       0.00000,       0.00292,       0.00597
     134.0,       0.00000,       0.00224,       0.00458
     135.0,       0.00000,       0.00173,       0.00354
     136.0,       0.00000,       0.00135,       0.00276
     137.0,       0.00000,       0.00106,       0.00217
     138.0,       0.00000,       0.00084,       0.00172
     139.0,       0.00000,       0.00067,       0.00138
     140.0,       0.00000,       0.00054,       0.00111
     141.0,       0.00000,       0.00044,       0.0009
     142.0,       0.00000,       0.00036,       0.00074
     143.0,       0.00000,       0.0003,       0.00061
     144.0,       0.00000,       0.00025,       0.0005
