Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.01666,       0.00802
       2.0,       0.39685,       0.03616,       0.0174
       3.0,       0.39685,       0.04824,       0.02322
       4.0,       0.39685,       0.05252,       0.02528
       5.0,       0.4252,       0.05325,       0.02563
       6.0,       0.4252,       0.05506,       0.0265
       7.0,       0.4252,       0.05624,       0.02707
       8.0,       0.4252,       0.05682,       0.02735
       9.0,       0.4252,       0.057,       0.02743
      10.0,       0.45827,       0.05702,       0.02744
      11.0,       0.45827,       0.05917,       0.02848
      12.0,       0.45827,       0.06058,       0.02916
      13.0,       0.45827,       0.06124,       0.02947
      14.0,       0.45827,       0.06143,       0.02957
      15.0,       0.50551,       0.06145,       0.02958
      16.0,       0.50551,       0.06458,       0.03108
      17.0,       0.50551,       0.06659,       0.03205
      18.0,       0.50551,       0.06751,       0.03249
      19.0,       0.50551,       0.06777,       0.03261
      20.0,       0.55748,       0.06779,       0.03262
      21.0,       0.55748,       0.07129,       0.03431
      22.0,       0.55748,       0.07351,       0.03537
      23.0,       0.55748,       0.07448,       0.03585
      24.0,       0.55748,       0.07474,       0.03597
      25.0,       0.62835,       0.07476,       0.03598
      26.0,       0.62835,       0.07962,       0.03832
      27.0,       0.62835,       0.08265,       0.03977
      28.0,       0.62835,       0.08394,       0.0404
      29.0,       0.62835,       0.08425,       0.04054
      30.0,       0.71811,       0.08427,       0.04056
      31.0,       0.71811,       0.09056,       0.04358
      32.0,       0.71811,       0.0944,       0.04543
      33.0,       0.71811,       0.09596,       0.04618
      34.0,       0.71811,       0.09631,       0.04635
      35.0,       0.85039,       0.09633,       0.04636
      36.0,       0.85039,       0.10585,       0.05094
      37.0,       0.85039,       0.11154,       0.05368
      38.0,       0.85039,       0.11376,       0.05475
      39.0,       0.85039,       0.11422,       0.05497
      40.0,       1.05354,       0.11424,       0.05498
      41.0,       1.05354,       0.12952,       0.06233
      42.0,       1.05354,       0.13859,       0.0667
      43.0,       1.05354,       0.14212,       0.0684
      44.0,       1.05354,       0.14303,       0.06883
      45.0,       1.41732,       0.14338,       0.069
      46.0,       1.41732,       0.17379,       0.08364
      47.0,       1.41732,       0.19567,       0.09417
      48.0,       1.41732,       0.21203,       0.10204
      49.0,       1.41732,       0.22969,       0.11054
      50.0,       2.28189,       0.25295,       0.12173
      51.0,       2.28189,       0.38362,       0.18462
      52.0,       2.28189,       0.53279,       0.25641
      53.0,       2.28189,       0.69734,       0.3356
      54.0,       2.28189,       0.87332,       0.42029
      55.0,       8.04567,       1.03896,       0.50001
      56.0,       8.04567,       2.36713,       1.13921
      57.0,       8.04567,       4.10044,       1.97338
      58.0,       8.04567,       5.65843,       2.72317
      59.0,       8.04567,       6.64593,       3.19841
      60.0,       8.05039,       7.03637,       3.38632
      61.0,       8.05039,       7.10946,       3.42149
      62.0,       8.0504,       7.11413,       3.42375
      63.0,       8.05039,       7.12852,       3.43067
      64.0,       8.05039,       7.14698,       3.43956
      65.0,       2.28189,       7.16263,       3.44708
      66.0,       2.28189,       5.55773,       2.67471
      67.0,       2.28189,       3.86098,       1.85813
      68.0,       2.28189,       2.78293,       1.33931
      69.0,       2.28189,       2.15774,       1.03843
      70.0,       1.41732,       1.80532,       0.86883
      71.0,       1.41732,       1.46041,       0.70284
      72.0,       1.41733,       1.21063,       0.58263
      73.0,       1.41732,       1.04885,       0.50477
      74.0,       1.41732,       0.94095,       0.45284
      75.0,       1.05354,       0.86433,       0.41597
      76.0,       1.05354,       0.75472,       0.36322
      77.0,       1.05355,       0.66302,       0.31909
      78.0,       1.05354,       0.59512,       0.28641
      79.0,       1.05354,       0.54574,       0.26264
      80.0,       0.85039,       0.50958,       0.24524
      81.0,       0.85041,       0.45695,       0.21991
      82.0,       0.85039,       0.41279,       0.19866
      83.0,       0.85041,       0.37856,       0.18219
      84.0,       0.85039,       0.35192,       0.16936
      85.0,       0.71811,       0.33099,       0.15929
      86.0,       0.71811,       0.29882,       0.14381
      87.0,       0.71813,       0.27072,       0.13029
      88.0,       0.71811,       0.24833,       0.11951
      89.0,       0.71811,       0.23048,       0.11092
      90.0,       0.62835,       0.21591,       0.10391
      91.0,       0.62835,       0.19443,       0.09357
      92.0,       0.62833,       0.17572,       0.08457
      93.0,       0.62835,       0.16069,       0.07733
      94.0,       0.62835,       0.14867,       0.07155
      95.0,       0.55747,       0.13886,       0.06683
      96.0,       0.55749,       0.12431,       0.05983
      97.0,       0.55747,       0.11206,       0.05393
      98.0,       0.55749,       0.1025,       0.04933
      99.0,       0.55747,       0.09515,       0.04579
     100.0,       0.50078,       0.08938,       0.04302
     101.0,       0.5008,       0.08053,       0.03875
     102.0,       0.50078,       0.07396,       0.03559
     103.0,       0.5008,       0.07001,       0.03369
     104.0,       0.50078,       0.06815,       0.0328
     105.0,       0.46298,       0.06745,       0.03246
     106.0,       0.463,       0.06472,       0.03114
     107.0,       0.46298,       0.06306,       0.03035
     108.0,       0.463,       0.06232,       0.02999
     109.0,       0.46298,       0.06211,       0.02989
     110.0,       0.42519,       0.06209,       0.02988
     111.0,       0.42519,       0.05961,       0.02869
     112.0,       0.42521,       0.05802,       0.02792
     113.0,       0.42519,       0.05727,       0.02756
     114.0,       0.42519,       0.05705,       0.02745
     115.0,       0.39686,       0.05702,       0.02744
     116.0,       0.39686,       0.05519,       0.02656
     117.0,       0.39684,       0.054,       0.02598
     118.0,       0.39686,       0.05342,       0.02571
     119.0,       0.39686,       0.05324,       0.02562
     120.0,       0.00000,       0.05322,       0.02561
     121.0,       0.00000,       0.02935,       0.01413
     122.0,       0.00000,       0.01494,       0.00719
     123.0,       0.00000,       0.00732,       0.00352
     124.0,       0.00000,       0.00359,       0.00173
     125.0,       0.00000,       0.00182,       0.00088
     126.0,       0.00000,       0.00096,       0.00046
     127.0,       0.00000,       0.00054,       0.00026
     128.0,       0.00000,       0.00031,       0.00015
     129.0,       0.00000,       0.00019,       9E-05
     130.0,       0.00000,       0.00012,       6E-05
     131.0,       0.00000,       8E-05,       4E-05
     132.0,       0.00000,       6E-05,       3E-05
     133.0,       0.00000,       4E-05,       2E-05
     134.0,       0.00000,       3E-05,       1E-05
     135.0,       0.00000,       2E-05,       1E-05
     136.0,       0.00000,       2E-05,       1E-05
     137.0,       0.00000,       2E-05,       1E-05
     138.0,       0.00000,       2E-05,       1E-05
     139.0,       0.00000,       1E-05,       1E-05
     140.0,       0.00000,       1E-05,       1E-05
     141.0,       0.00000,       1E-05,       1E-05
     142.0,       0.00000,       1E-05,       0.00000
     143.0,       0.00000,       1E-05,       0.00000
     144.0,       0.00000,       1E-05,       0.00000
     145.0,       0.00000,       1E-05,       0.00000
     146.0,       0.00000,       1E-05,       0.00000
     147.0,       0.00000,       1E-05,       0.00000
     148.0,       0.00000,       1E-05,       0.00000
     149.0,       0.00000,       1E-05,       0.00000
     150.0,       0.00000,       1E-05,       0.00000
     151.0,       0.00000,       1E-05,       0.00000
     152.0,       0.00000,       1E-05,       0.00000
     153.0,       0.00000,       1E-05,       0.00000
     154.0,       0.00000,       1E-05,       0.00000
     155.0,       0.00000,       1E-05,       0.00000
     156.0,       0.00000,       1E-05,       0.00000
     157.0,       0.00000,       1E-05,       0.00000
     158.0,       0.00000,       1E-05,       0.00000
     159.0,       0.00000,       1E-05,       0.00000
     160.0,       0.00000,       1E-05,       0.00000
     161.0,       0.00000,       1E-05,       0.00000
     162.0,       0.00000,       1E-05,       0.00000
     163.0,       0.00000,       1E-05,       0.00000
     164.0,       0.00000,       1E-05,       0.00000
     165.0,       0.00000,       1E-05,       0.00000
     166.0,       0.00000,       1E-05,       0.00000
     167.0,       0.00000,       1E-05,       0.00000
     168.0,       0.00000,       1E-05,       0.00000
     169.0,       0.00000,       1E-05,       0.00000
     170.0,       0.00000,       1E-05,       0.00000
     171.0,       0.00000,       1E-05,       0.00000
     172.0,       0.00000,       1E-05,       0.00000
     173.0,       0.00000,       1E-05,       0.00000
     174.0,       0.00000,       1E-05,       0.00000
     175.0,       0.00000,       1E-05,       0.00000
     176.0,       0.00000,       1E-05,       0.00000
     177.0,       0.00000,       1E-05,       0.00000
     178.0,       0.00000,       1E-05,       0.00000
     179.0,       0.00000,       1E-05,       0.00000
     180.0,       0.00000,       1E-05,       0.00000
     181.0,       0.00000,       1E-05,       0.00000
     182.0,       0.00000,       1E-05,       0.00000
     183.0,       0.00000,       1E-05,       0.00000
     184.0,       0.00000,       1E-05,       0.00000
     185.0,       0.00000,       1E-05,       0.00000
     186.0,       0.00000,       1E-05,       0.00000
     187.0,       0.00000,       1E-05,       0.00000
     188.0,       0.00000,       1E-05,       0.00000
     189.0,       0.00000,       1E-05,       0.00000
     190.0,       0.00000,       1E-05,       0.00000
     191.0,       0.00000,       1E-05,       0.00000
     192.0,       0.00000,       1E-05,       0.00000
     193.0,       0.00000,       1E-05,       0.00000
     194.0,       0.00000,       1E-05,       0.00000
     195.0,       0.00000,       1E-05,       0.00000
     196.0,       0.00000,       1E-05,       0.00000
     197.0,       0.00000,       1E-05,       0.00000
     198.0,       0.00000,       1E-05,       0.00000
     199.0,       0.00000,       1E-05,       0.00000
     200.0,       0.00000,       1E-05,       0.00000
     201.0,       0.00000,       1E-05,       0.00000
     202.0,       0.00000,       1E-05,       0.00000
     203.0,       0.00000,       1E-05,       0.00000
     204.0,       0.00000,       1E-05,       0.00000
     205.0,       0.00000,       1E-05,       0.00000
     206.0,       0.00000,       1E-05,       0.00000
     207.0,       0.00000,       1E-05,       0.00000
     208.0,       0.00000,       1E-05,       0.00000
     209.0,       0.00000,       1E-05,       0.00000
     210.0,       0.00000,       1E-05,       0.00000
     211.0,       0.00000,       1E-05,       0.00000
     212.0,       0.00000,       1E-05,       0.00000
     213.0,       0.00000,       1E-05,       0.00000
     214.0,       0.00000,       1E-05,       0.00000
     215.0,       0.00000,       1E-05,       0.00000
     216.0,       0.00000,       1E-05,       0.00000
     217.0,       0.00000,       1E-05,       0.00000
     218.0,       0.00000,       1E-05,       0.00000
     219.0,       0.00000,       1E-05,       0.00000
     220.0,       0.00000,       1E-05,       0.00000
     221.0,       0.00000,       1E-05,       0.00000
     222.0,       0.00000,       1E-05,       0.00000
     223.0,       0.00000,       1E-05,       0.00000
     224.0,       0.00000,       1E-05,       0.00000
     225.0,       0.00000,       1E-05,       0.00000
     226.0,       0.00000,       1E-05,       0.00000
     227.0,       0.00000,       1E-05,       0.00000
     228.0,       0.00000,       1E-05,       0.00000
     229.0,       0.00000,       1E-05,       0.00000
     230.0,       0.00000,       1E-05,       0.00000
     231.0,       0.00000,       1E-05,       0.00000
     232.0,       0.00000,       1E-05,       0.00000
     233.0,       0.00000,       1E-05,       0.00000
     234.0,       0.00000,       1E-05,       0.00000
     235.0,       0.00000,       1E-05,       0.00000
     236.0,       0.00000,       1E-05,       0.00000
     237.0,       0.00000,       1E-05,       0.00000
     238.0,       0.00000,       1E-05,       0.00000
     239.0,       0.00000,       1E-05,       0.00000
     240.0,       0.00000,       1E-05,       0.00000
     241.0,       0.00000,       1E-05,       0.00000
     242.0,       0.00000,       1E-05,       0.00000
     243.0,       0.00000,       1E-05,       0.00000
     244.0,       0.00000,       1E-05,       0.00000
     245.0,       0.00000,       1E-05,       0.00000
     246.0,       0.00000,       1E-05,       0.00000
     247.0,       0.00000,       1E-05,       0.00000
     248.0,       0.00000,       1E-05,       0.00000
     249.0,       0.00000,       1E-05,       0.00000
     250.0,       0.00000,       1E-05,       0.00000
     251.0,       0.00000,       1E-05,       0.00000
     252.0,       0.00000,       1E-05,       0.00000
     253.0,       0.00000,       1E-05,       0.00000
     254.0,       0.00000,       1E-05,       0.00000
     255.0,       0.00000,       1E-05,       0.00000
     256.0,       0.00000,       1E-05,       0.00000
     257.0,       0.00000,       1E-05,       0.00000
     258.0,       0.00000,       1E-05,       0.00000
     259.0,       0.00000,       1E-05,       0.00000
     260.0,       0.00000,       1E-05,       0.00000
     261.0,       0.00000,       1E-05,       0.00000
     262.0,       0.00000,       1E-05,       0.00000
     263.0,       0.00000,       1E-05,       0.00000
     264.0,       0.00000,       1E-05,       0.00000
     265.0,       0.00000,       1E-05,       0.00000
     266.0,       0.00000,       1E-05,       0.00000
     267.0,       0.00000,       1E-05,       0.00000
     268.0,       0.00000,       1E-05,       0.00000
     269.0,       0.00000,       1E-05,       0.00000
     270.0,       0.00000,       1E-05,       0.00000
     271.0,       0.00000,       1E-05,       0.00000
     272.0,       0.00000,       1E-05,       0.00000
     273.0,       0.00000,       1E-05,       0.00000
     274.0,       0.00000,       1E-05,       0.00000
     275.0,       0.00000,       1E-05,       0.00000
     276.0,       0.00000,       1E-05,       0.00000
     277.0,       0.00000,       1E-05,       0.00000
     278.0,       0.00000,       1E-05,       0.00000
     279.0,       0.00000,       1E-05,       0.00000
     280.0,       0.00000,       1E-05,       0.00000
     281.0,       0.00000,       1E-05,       0.00000
     282.0,       0.00000,       1E-05,       0.00000
     283.0,       0.00000,       1E-05,       0.00000
     284.0,       0.00000,       1E-05,       0.00000
     285.0,       0.00000,       1E-05,       0.00000
     286.0,       0.00000,       1E-05,       0.00000
     287.0,       0.00000,       1E-05,       0.00000
     288.0,       0.00000,       1E-05,       0.00000
     289.0,       0.00000,       1E-05,       0.00000
     290.0,       0.00000,       1E-05,       0.00000
     291.0,       0.00000,       1E-05,       0.00000
     292.0,       0.00000,       1E-05,       0.00000
     293.0,       0.00000,       1E-05,       0.00000
     294.0,       0.00000,       1E-05,       0.00000
     295.0,       0.00000,       1E-05,       0.00000
     296.0,       0.00000,       1E-05,       0.00000
     297.0,       0.00000,       1E-05,       0.00000
     298.0,       0.00000,       1E-05,       0.00000
     299.0,       0.00000,       1E-05,       0.00000
     300.0,       0.00000,       1E-05,       0.00000
     301.0,       0.00000,       1E-05,       0.00000
     302.0,       0.00000,       1E-05,       0.00000
     303.0,       0.00000,       1E-05,       0.00000
     304.0,       0.00000,       1E-05,       0.00000
     305.0,       0.00000,       1E-05,       0.00000
     306.0,       0.00000,       1E-05,       0.00000
     307.0,       0.00000,       1E-05,       0.00000
     308.0,       0.00000,       1E-05,       0.00000
     309.0,       0.00000,       1E-05,       0.00000
     310.0,       0.00000,       1E-05,       0.00000
     311.0,       0.00000,       1E-05,       0.00000
     312.0,       0.00000,       1E-05,       0.00000
     313.0,       0.00000,       1E-05,       0.00000
     314.0,       0.00000,       1E-05,       0.00000
     315.0,       0.00000,       1E-05,       0.00000
     316.0,       0.00000,       1E-05,       0.00000
     317.0,       0.00000,       1E-05,       0.00000
     318.0,       0.00000,       1E-05,       0.00000
     319.0,       0.00000,       1E-05,       0.00000
     320.0,       5E-05,       1E-05,       0.00000
