Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.29433,       114.01482
       2.0,       0.39685,       0.3971,       153.82823
       3.0,       0.39685,       0.39729,       153.89921
       4.0,       0.39685,       0.39524,       153.10852
       5.0,       0.4252,       0.39558,       153.23812
       6.0,       0.4252,       0.41966,       162.56473
       7.0,       0.4252,       0.42418,       164.31669
       8.0,       0.4252,       0.4239,       164.20792
       9.0,       0.4252,       0.4238,       164.17154
      10.0,       0.45827,       0.42382,       164.17967
      11.0,       0.45827,       0.45209,       175.12933
      12.0,       0.45827,       0.45723,       177.12143
      13.0,       0.45827,       0.45687,       176.97912
      14.0,       0.45827,       0.45677,       176.94168
      15.0,       0.50551,       0.4568,       176.95404
      16.0,       0.50551,       0.49749,       192.71533
      17.0,       0.50551,       0.50459,       195.46635
      18.0,       0.50551,       0.50401,       195.2421
      19.0,       0.50551,       0.5039,       195.1976
      20.0,       0.55748,       0.50394,       195.21738
      21.0,       0.55748,       0.54908,       212.70096
      22.0,       0.55748,       0.55658,       215.6056
      23.0,       0.55748,       0.55589,       215.33791
      24.0,       0.55748,       0.55579,       215.29977
      25.0,       0.62835,       0.55585,       215.32484
      26.0,       0.62835,       0.61796,       239.38332
      27.0,       0.62835,       0.6277,       243.15634
      28.0,       0.62835,       0.62667,       242.75551
      29.0,       0.62835,       0.62656,       242.71384
      30.0,       0.71811,       0.62664,       242.74598
      31.0,       0.71811,       0.70611,       273.53013
      32.0,       0.71811,       0.71772,       278.02675
      33.0,       0.71811,       0.71628,       277.46913
      34.0,       0.71811,       0.71618,       277.43028
      35.0,       0.85039,       0.71627,       277.4663
      36.0,       0.85039,       0.83476,       323.36831
      37.0,       0.85039,       0.85057,       329.49258
      38.0,       0.85039,       0.84825,       328.59382
      39.0,       0.85039,       0.84817,       328.5631
      40.0,       1.05354,       0.8483,       328.61077
      41.0,       1.05354,       1.03293,       400.13252
      42.0,       1.05354,       1.05469,       408.56283
      43.0,       1.05354,       1.05084,       407.07185
      44.0,       1.05354,       1.05087,       407.08103
      45.0,       1.41732,       1.05104,       407.14672
      46.0,       1.41732,       1.38783,       537.61429
      47.0,       1.41732,       1.4208,       550.38266
      48.0,       1.41732,       1.41348,       547.55007
      49.0,       1.41732,       1.41391,       547.71782
      50.0,       2.28189,       1.4142,       547.82977
      51.0,       2.28189,       2.23649,       866.36526
      52.0,       2.28189,       2.29308,       888.28649
      53.0,       2.28189,       2.27555,       881.49407
      54.0,       2.28189,       2.27801,       882.44898
      55.0,       8.04567,       2.27867,       882.70254
      56.0,       8.04567,       8.08203,       3130.79205
      57.0,       8.04567,       8.10836,       3140.99199
