Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,        0.0000
       1.0,       10.0800,        3.3465,        5.6263
       2.0,       10.0800,        7.1085,       11.9511
       3.0,       10.0800,        9.2806,       15.6029
       4.0,       10.0800,        9.9746,       16.7697
       5.0,       10.8000,       10.0671,       16.9252
       6.0,       10.8000,       10.4164,       17.5126
       7.0,       10.8000,       10.6409,       17.8899
       8.0,       10.8000,       10.7434,       18.0623
       9.0,       10.8000,       10.7710,       18.1087
      10.0,       11.6400,       10.7735,       18.1129
      11.0,       11.6400,       11.1969,       18.8247
      12.0,       11.6400,       11.4628,       19.2717
      13.0,       11.6400,       11.5792,       19.4675
      14.0,       11.6400,       11.6094,       19.5182
      15.0,       12.8400,       11.6119,       19.5224
      16.0,       12.8400,       12.2259,       20.5547
      17.0,       12.8400,       12.6066,       21.1947
      18.0,       12.8400,       12.7686,       21.4672
      19.0,       12.8400,       12.8084,       21.5340
      20.0,       14.1600,       12.8113,       21.5389
      21.0,       14.1600,       13.4987,       22.6946
      22.0,       14.1600,       13.9179,       23.3994
      23.0,       14.1600,       14.0911,       23.6906
      24.0,       14.1600,       14.1313,       23.7582
      25.0,       15.9600,       14.1335,       23.7619
      26.0,       15.9600,       15.0873,       25.3654
      27.0,       15.9600,       15.6574,       26.3239
      28.0,       15.9600,       15.8831,       26.7033
      29.0,       15.9600,       15.9308,       26.7835
      30.0,       18.2400,       15.9319,       26.7854
      31.0,       18.2400,       17.1652,       28.8589
      32.0,       18.2400,       17.8849,       30.0688
      33.0,       18.2400,       18.1572,       30.5267
      34.0,       18.2400,       18.2092,       30.6141
      35.0,       21.6000,       18.2089,       30.6135
      36.0,       21.6000,       20.0713,       33.7447
      37.0,       21.6000,       21.1278,       35.5209
      38.0,       21.6000,       21.5047,       36.1546
      39.0,       21.6000,       21.5674,       36.2601
      40.0,       26.7600,       21.5645,       36.2551
      41.0,       26.7600,       24.5130,       41.2123
      42.0,       26.7600,       26.1250,       43.9225
      43.0,       26.7600,       26.6562,       44.8155
      44.0,       26.7600,       26.7290,       44.9379
      45.0,       36.0000,       26.7222,       44.9265
      46.0,       36.0000,       32.2142,       54.1600
      47.0,       36.0000,       35.0664,       58.9551
      48.0,       36.0000,       35.9007,       60.3578
      49.0,       36.0000,       35.9794,       60.4901
      50.0,       57.9600,       35.9634,       60.4632
      51.0,       57.9600,       49.7713,       83.6777
      52.0,       57.9600,       56.3711,       94.7735
      53.0,       57.9601,       57.9203,       97.3781
      54.0,       57.9600,       57.9565,       97.4390
      55.0,      204.3600,       57.9192,       97.3763
      56.0,      204.3600,      162.0727,      272.4836
      57.0,      204.3600,      201.3904,      338.5861
      58.0,      204.3600,      205.1292,      344.8721
      59.0,      204.3600,      204.3014,      343.4802
      60.0,      204.4800,      204.2992,      343.4765
      61.0,      204.4800,      204.4303,      343.6969
      62.0,      204.4802,      204.4482,      343.7271
      63.0,      204.4800,      204.4523,      343.7339
      64.0,      204.4800,      204.4532,      343.7355
      65.0,       57.9601,      204.4531,      343.7353
      66.0,       57.9599,       97.5144,      163.9453
      67.0,       57.9601,       63.3958,      106.5837
      68.0,       57.9599,       57.4930,       96.6597
      69.0,       57.9601,       57.7626,       97.1129
      70.0,       35.9999,       57.9804,       97.4791
      71.0,       35.9999,       43.8979,       73.8031
      72.0,       36.0002,       37.6951,       63.3746
      73.0,       35.9999,       36.0653,       60.6345
      74.0,       35.9999,       35.9425,       60.4280
      75.0,       26.7600,       35.9830,       60.4961
      76.0,       26.7600,       30.4184,       51.1407
      77.0,       26.7602,       27.6777,       46.5329
      78.0,       26.7600,       26.8324,       45.1118
      79.0,       26.7600,       26.7254,       44.9320
      80.0,       21.5998,       26.7396,       44.9558
      81.0,       21.6003,       23.7593,       39.9451
      82.0,       21.5998,       22.1931,       37.3120
      83.0,       21.6003,       21.6602,       36.4160
      84.0,       21.5998,       21.5745,       36.2719
      85.0,       18.2399,       21.5793,       36.2801
      86.0,       18.2399,       19.6997,       33.1200
      87.0,       18.2404,       18.6664,       31.3827
      88.0,       18.2399,       18.2898,       30.7496
      89.0,       18.2399,       18.2189,       30.6304
      90.0,       15.9600,       18.2196,       30.6316
      91.0,       15.9600,       16.9769,       28.5424
      92.0,       15.9596,       16.2699,       27.3537
      93.0,       15.9600,       15.9979,       26.8963
      94.0,       15.9600,       15.9413,       26.8012
      95.0,       14.1598,       15.9400,       26.7991
      96.0,       14.1603,       14.9797,       25.1846
      97.0,       14.1598,       14.4193,       24.2424
      98.0,       14.1603,       14.1942,       23.8639
      99.0,       14.1598,       14.1433,       23.7783
     100.0,       12.7199,       14.1408,       23.7741
     101.0,       12.7204,       13.3874,       22.5075
     102.0,       12.7199,       12.9378,       21.7516
     103.0,       12.7204,       12.7503,       21.4363
     104.0,       12.7199,       12.7048,       21.3599
     105.0,       11.7597,       12.7016,       21.3546
     106.0,       11.7601,       12.2078,       20.5242
     107.0,       11.7597,       11.9071,       20.0187
     108.0,       11.7601,       11.7778,       19.8014
     109.0,       11.7597,       11.7449,       19.7459
     110.0,       10.7999,       11.7420,       19.7411
     111.0,       10.7999,       11.2548,       18.9220
     112.0,       10.8004,       10.9539,       18.4162
     113.0,       10.7999,       10.8217,       18.1939
     114.0,       10.7999,       10.7860,       18.1339
     115.0,       10.0802,       10.7825,       18.1279
     116.0,       10.0802,       10.4224,       17.5225
     117.0,       10.0797,       10.1969,       17.1434
     118.0,       10.0802,       10.0946,       16.9715
     119.0,       10.0802,       10.0661,       16.9235
     120.0,        0.0000,       10.0630,       16.9183
     121.0,        0.0000,        5.3774,        9.0407
     122.0,        0.0000,        2.6452,        4.4472
     123.0,        0.0000,        1.2556,        2.1110
     124.0,        0.0000,        0.6007,        1.0100
     125.0,        0.0000,        0.2982,        0.5014
     126.0,        0.0000,        0.1557,        0.2618
     127.0,        0.0000,        0.0858,        0.1443
     128.0,        0.0000,        0.0499,        0.0839
     129.0,        0.0000,        0.0304,        0.0511
     130.0,        0.0000,        0.0193,        0.0325
     131.0,        0.0000,        0.0128,        0.0215
     132.0,        0.0000,        0.0087,        0.0147
     133.0,        0.0000,        0.0061,        0.0103
     134.0,        0.0000,        0.0044,        0.0074
     135.0,        0.0000,        0.0033,        0.0055
     136.0,        0.0000,        0.0025,        0.0041
     137.0,        0.0000,        0.0019,        0.0032
     138.0,        0.0000,        0.0015,        0.0025
     139.0,        0.0000,        0.0012,        0.0020
     140.0,        0.0000,        0.0009,        0.0016
     141.0,        0.0000,        0.0008,        0.0013
     142.0,        0.0000,        0.0006,        0.0011
     143.0,        0.0000,        0.0005,        0.0009
     144.0,        0.0000,        0.0005,        0.0008
     145.0,        0.0000,        0.0004,        0.0006
     146.0,        0.0000,        0.0003,        0.0006
     147.0,        0.0000,        0.0003,        0.0005
     148.0,        0.0000,        0.0002,        0.0004
     149.0,        0.0000,        0.0002,        0.0004
     150.0,        0.0000,        0.0002,        0.0003
     151.0,        0.0000,        0.0002,        0.0003
     152.0,        0.0000,        0.0002,        0.0003
     153.0,        0.0000,        0.0001,        0.0002
     154.0,        0.0000,        0.0001,        0.0002
     155.0,        0.0000,        0.0001,        0.0002
     156.0,        0.0000,        0.0001,        0.0002
     157.0,        0.0000,        0.0001,        0.0002
     158.0,        0.0000,        0.0001,        0.0001
     159.0,        0.0000,        0.0001,        0.0001
     160.0,        0.0000,        0.0001,        0.0001
     161.0,        0.0000,        0.0001,        0.0001
     162.0,        0.0000,        0.0001,        0.0001
     163.0,        0.0000,        0.0001,        0.0001
     164.0,        0.0000,        0.0001,        0.0001
     165.0,        0.0000,        0.0001,        0.0001
     166.0,        0.0000,        0.0000,        0.0001
     167.0,        0.0000,        0.0000,        0.0001
     168.0,        0.0000,        0.0000,        0.0001
     169.0,        0.0000,        0.0000,        0.0001
     170.0,        0.0000,        0.0000,        0.0001
     171.0,        0.0000,        0.0000,        0.0001
     172.0,        0.0000,        0.0000,        0.0001
     173.0,        0.0000,        0.0000,        0.0001
     174.0,        0.0000,        0.0000,        0.0000
     175.0,        0.0000,        0.0000,        0.0000
     176.0,        0.0000,        0.0000,        0.0000
     177.0,        0.0000,        0.0000,        0.0000
     178.0,        0.0000,        0.0000,        0.0000
     179.0,        0.0000,        0.0000,        0.0000
     180.0,        0.0000,        0.0000,        0.0000
     181.0,        0.0000,        0.0000,        0.0000
     182.0,        0.0000,        0.0000,        0.0000
     183.0,        0.0000,        0.0000,        0.0000
     184.0,        0.0000,        0.0000,        0.0000
     185.0,        0.0000,        0.0000,        0.0000
     186.0,        0.0000,        0.0000,        0.0000
     187.0,        0.0000,        0.0000,        0.0000
     188.0,        0.0000,        0.0000,        0.0000
     189.0,        0.0000,        0.0000,        0.0000
     190.0,        0.0000,        0.0000,        0.0000
     191.0,        0.0000,        0.0000,        0.0000
     192.0,        0.0000,        0.0000,        0.0000
     193.0,        0.0000,        0.0000,        0.0000
     194.0,        0.0000,        0.0000,        0.0000
     195.0,        0.0000,        0.0000,        0.0000
     196.0,        0.0000,        0.0000,        0.0000
     197.0,        0.0000,        0.0000,        0.0000
     198.0,        0.0000,        0.0000,        0.0000
     199.0,        0.0000,        0.0000,        0.0000
     200.0,        0.0000,        0.0000,        0.0000
     201.0,        0.0000,        0.0000,        0.0000
     202.0,        0.0000,        0.0000,        0.0000
     203.0,        0.0000,        0.0000,        0.0000
     204.0,        0.0000,        0.0000,        0.0000
     205.0,        0.0000,        0.0000,        0.0000
     206.0,        0.0000,        0.0000,        0.0000
     207.0,        0.0000,        0.0000,        0.0000
     208.0,        0.0000,        0.0000,        0.0000
     209.0,        0.0000,        0.0000,        0.0000
     210.0,        0.0000,        0.0000,        0.0000
     211.0,        0.0000,        0.0000,        0.0000
     212.0,        0.0000,        0.0000,        0.0000
     213.0,        0.0000,        0.0000,        0.0000
     214.0,        0.0000,        0.0000,        0.0000
     215.0,        0.0000,        0.0000,        0.0000
     216.0,        0.0000,        0.0000,        0.0000
     217.0,        0.0000,        0.0000,        0.0000
     218.0,        0.0000,        0.0000,        0.0000
     219.0,        0.0000,        0.0000,        0.0000
     220.0,        0.0000,        0.0000,        0.0000
     221.0,        0.0000,        0.0000,        0.0000
     222.0,        0.0000,        0.0000,        0.0000
     223.0,        0.0000,        0.0000,        0.0000
     224.0,        0.0000,        0.0000,        0.0000
     225.0,        0.0000,        0.0000,        0.0000
     226.0,        0.0000,        0.0000,        0.0000
     227.0,        0.0000,        0.0000,        0.0000
     228.0,        0.0000,        0.0000,        0.0000
     229.0,        0.0000,        0.0000,        0.0000
     230.0,        0.0000,        0.0000,        0.0000
     231.0,        0.0000,        0.0000,        0.0000
     232.0,        0.0000,        0.0000,        0.0000
     233.0,        0.0000,        0.0000,        0.0000
     234.0,        0.0000,        0.0000,        0.0000
     235.0,        0.0000,        0.0000,        0.0000
     236.0,        0.0000,        0.0000,        0.0000
     237.0,        0.0000,        0.0000,        0.0000
     238.0,        0.0000,        0.0000,        0.0000
     239.0,        0.0000,        0.0000,        0.0000
     240.0,        0.0000,        0.0000,        0.0000
     241.0,        0.0000,        0.0000,        0.0000
     242.0,        0.0000,        0.0000,        0.0000
     243.0,        0.0000,        0.0000,        0.0000
     244.0,        0.0000,        0.0000,        0.0000
     245.0,        0.0000,        0.0000,        0.0000
     246.0,        0.0000,        0.0000,        0.0000
     247.0,        0.0000,        0.0000,        0.0000
     248.0,        0.0000,        0.0000,        0.0000
     249.0,        0.0000,        0.0000,        0.0000
     250.0,        0.0000,        0.0000,        0.0000
     251.0,        0.0000,        0.0000,        0.0000
     252.0,        0.0000,        0.0000,        0.0000
     253.0,        0.0000,        0.0000,        0.0000
     254.0,        0.0000,        0.0000,        0.0000
     255.0,        0.0000,        0.0000,        0.0000
     256.0,        0.0000,        0.0000,        0.0000
     257.0,        0.0000,        0.0000,        0.0000
     258.0,        0.0000,        0.0000,        0.0000
