Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,        0.0000
       1.0,       10.0800,        4.3083,        5.2175
       2.0,       10.0800,        8.2433,        9.9830
       3.0,       10.0800,        9.8165,       11.8882
       4.0,       10.0800,       10.0742,       12.2003
       5.0,       10.8000,       10.0589,       12.1818
       6.0,       10.8000,       10.4737,       12.6841
       7.0,       10.8000,       10.6950,       12.9521
       8.0,       10.8000,       10.7640,       13.0356
       9.0,       10.8000,       10.7720,       13.0454
      10.0,       11.6400,       10.7708,       13.0439
      11.0,       11.6400,       11.2687,       13.6468
      12.0,       11.6400,       11.5245,       13.9566
      13.0,       11.6400,       11.6018,       14.0503
      14.0,       11.6400,       11.6102,       14.0604
      15.0,       12.8400,       11.6088,       14.0588
      16.0,       12.8400,       12.3295,       14.9316
      17.0,       12.8400,       12.6934,       15.3722
      18.0,       12.8400,       12.7990,       15.5002
      19.0,       12.8400,       12.8092,       15.5125
      20.0,       14.1600,       12.8077,       15.5106
      21.0,       14.1600,       13.6135,       16.4865
      22.0,       14.1600,       14.0118,       16.9689
      23.0,       14.1600,       14.1230,       17.1035
      24.0,       14.1600,       14.1324,       17.1149
      25.0,       15.9600,       14.1303,       17.1123
      26.0,       15.9600,       15.2452,       18.4626
      27.0,       15.9600,       15.7818,       19.1124
      28.0,       15.9600,       15.9226,       19.2829
      29.0,       15.9600,       15.9312,       19.2934
      30.0,       18.2400,       15.9279,       19.2894
      31.0,       18.2400,       17.3659,       21.0309
      32.0,       18.2400,       18.0373,       21.8439
      33.0,       18.2400,       18.2019,       22.0432
      34.0,       18.2400,       18.2084,       22.0511
      35.0,       21.6000,       18.2042,       22.0461
      36.0,       21.6000,       20.3686,       24.6672
      37.0,       21.6000,       21.3421,       25.8462
      38.0,       21.6000,       21.5616,       26.1120
      39.0,       21.6000,       21.5645,       26.1155
      40.0,       26.7600,       21.5589,       26.1087
      41.0,       26.7600,       24.9711,       30.2411
      42.0,       26.7600,       26.4340,       32.0127
      43.0,       26.7600,       26.7272,       32.3677
      44.0,       26.7600,       26.7221,       32.3615
