Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,        0.0000
       1.0,       10.0800,        2.2217,        6.5009
       2.0,       10.0800,        5.6974,       16.6709
       3.0,       10.0800,        8.5692,       25.0740
       4.0,       10.0800,        9.8166,       28.7239
       5.0,       10.8000,       10.0646,       29.4495
       6.0,       10.8000,       10.3447,       30.2693
       7.0,       10.8000,       10.5750,       30.9430
       8.0,       10.8000,       10.7173,       31.3595
       9.0,       10.8000,       10.7684,       31.5089
      10.0,       11.6400,       10.7763,       31.5319
      11.0,       11.6400,       11.1080,       32.5025
      12.0,       11.6400,       11.3868,       33.3183
      13.0,       11.6400,       11.5504,       33.7971
      14.0,       11.6400,       11.6068,       33.9620
      15.0,       12.8400,       11.6149,       33.9857
      16.0,       12.8400,       12.0969,       35.3962
      17.0,       12.8400,       12.4992,       36.5735
      18.0,       12.8400,       12.7303,       37.2497
      19.0,       12.8400,       12.8049,       37.4678
      20.0,       14.1600,       12.8144,       37.4956
      21.0,       14.1600,       13.3561,       39.0805
      22.0,       14.1600,       13.8020,       40.3855
      23.0,       14.1600,       14.0497,       41.1101
      24.0,       14.1600,       14.1270,       41.3362
      25.0,       15.9600,       14.1356,       41.3615
      26.0,       15.9600,       14.8905,       43.5703
      27.0,       15.9600,       15.5021,       45.3600
      28.0,       15.9600,       15.8308,       46.3219
      29.0,       15.9600,       15.9264,       46.6015
      30.0,       18.2400,       15.9347,       46.6257
      31.0,       18.2400,       16.9155,       49.4957
      32.0,       18.2400,       17.6957,       51.7785
      33.0,       18.2400,       18.0981,       52.9559
      34.0,       18.2400,       18.2060,       53.2716
      35.0,       21.6000,       18.2123,       53.2901
      36.0,       21.6000,       19.7022,       57.6498
      37.0,       21.6000,       20.8616,       61.0421
      38.0,       21.6000,       21.4291,       62.7028
      39.0,       21.6000,       21.5657,       63.1023
      40.0,       26.7600,       21.5690,       63.1121
      41.0,       26.7600,       23.9453,       70.0654
      42.0,       26.7600,       25.7406,       75.3185
      43.0,       26.7600,       26.5607,       77.7180
      44.0,       26.7600,       26.7303,       78.2144
      45.0,       36.0000,       26.7275,       78.2060
      46.0,       36.0000,       31.1969,       91.2839
      47.0,       36.0000,       34.4369,      100.7643
      48.0,       36.0000,       35.7735,      104.6751
      49.0,       36.0000,       35.9877,      105.3019
      50.0,       57.9600,       35.9678,      105.2438
      51.0,       57.9600,       47.3665,      138.5970
      52.0,       57.9600,       55.0990,      161.2226
      53.0,       57.9601,       57.7571,      169.0005
      54.0,       57.9600,       57.9899,      169.6817
      55.0,      204.3600,       57.9221,      169.4833
      56.0,      204.3600,      146.6143,      429.0014
      57.0,      204.3601,      196.5294,      575.0554
      58.0,      204.3600,      205.4747,      601.2300
      59.0,      204.3600,      204.4320,      598.1790
      60.0,      204.4800,      204.2654,      597.6915
      61.0,      204.4800,      204.4186,      598.1398
      62.0,      204.4802,      204.4427,      598.2103
      63.0,      204.4800,      204.4504,      598.2328
      64.0,      204.4800,      204.4521,      598.2376
      65.0,       57.9601,      204.4519,      598.2372
      66.0,       57.9599,      111.8014,      327.1369
      67.0,       57.9601,       68.8772,      201.5382
      68.0,       57.9599,       57.8672,      169.3224
      69.0,       57.9601,       57.5434,      168.3752
      70.0,       35.9999,       57.9671,      169.6149
      71.0,       35.9999,       46.2372,      135.2924
      72.0,       36.0002,       38.9660,      114.0166
      73.0,       35.9999,       36.2958,      106.2036
      74.0,       35.9999,       35.9193,      105.1017
      75.0,       26.7600,       35.9734,      105.2601
      76.0,       26.7600,       31.4184,       91.9319
      77.0,       26.7602,       28.3021,       82.8134
      78.0,       26.7600,       26.9808,       78.9473
      79.0,       26.7600,       26.7239,       78.1956
      80.0,       21.5998,       26.7339,       78.2249
      81.0,       21.6003,       24.3217,       71.1667
      82.0,       21.5998,       22.5755,       66.0570
      83.0,       21.6003,       21.7664,       63.6896
      84.0,       21.5998,       21.5789,       63.1411
      85.0,       18.2399,       21.5758,       63.1318
      86.0,       18.2399,       20.0670,       58.7172
      87.0,       18.2404,       18.9319,       55.3957
      88.0,       18.2399,       18.3719,       53.7571
      89.0,       18.2399,       18.2255,       53.3289
      90.0,       15.9600,       18.2175,       53.3054
      91.0,       15.9600,       17.2266,       50.4060
      92.0,       15.9596,       16.4592,       48.1604
      93.0,       15.9600,       16.0617,       46.9975
      94.0,       15.9600,       15.9484,       46.6660
      95.0,       14.1598,       15.9390,       46.6385
      96.0,       14.1603,       15.1771,       44.4090
      97.0,       14.1598,       14.5746,       42.6461
      98.0,       14.1603,       14.2503,       41.6972
      99.0,       14.1598,       14.1510,       41.4066
     100.0,       12.7199,       14.1403,       41.3753
     101.0,       12.7204,       13.5453,       39.6344
     102.0,       12.7199,       13.0662,       38.2325
     103.0,       12.7204,       12.7994,       37.4516
     104.0,       12.7199,       12.7127,       37.1980
     105.0,       11.7597,       12.7016,       37.1655
     106.0,       11.7601,       12.3132,       36.0290
     107.0,       11.7597,       11.9952,       35.0986
     108.0,       11.7601,       11.8130,       34.5654
     109.0,       11.7597,       11.7512,       34.3847
     110.0,       10.7999,       11.7424,       34.3587
     111.0,       10.7999,       11.3601,       33.2403
     112.0,       10.8004,       11.0440,       32.3153
     113.0,       10.7999,       10.8590,       31.7740
     114.0,       10.7999,       10.7934,       31.5821
     115.0,       10.0802,       10.7830,       31.5517
     116.0,       10.0802,       10.5014,       30.7277
     117.0,       10.0797,       10.2657,       30.0380
     118.0,       10.0802,       10.1243,       29.6242
     119.0,       10.0802,       10.0725,       29.4728
     120.0,        0.0000,       10.0638,       29.4471
     121.0,        0.0000,        6.4222,       18.7917
     122.0,        0.0000,        3.6482,       10.6750
     123.0,        0.0000,        1.8877,        5.5235
     124.0,        0.0000,        0.9402,        2.7511
     125.0,        0.0000,        0.4747,        1.3889
     126.0,        0.0000,        0.2500,        0.7316
     127.0,        0.0000,        0.1387,        0.4059
     128.0,        0.0000,        0.0810,        0.2369
     129.0,        0.0000,        0.0495,        0.1449
     130.0,        0.0000,        0.0316,        0.0924
     131.0,        0.0000,        0.0209,        0.0612
     132.0,        0.0000,        0.0143,        0.0419
     133.0,        0.0000,        0.0101,        0.0295
     134.0,        0.0000,        0.0073,        0.0213
     135.0,        0.0000,        0.0054,        0.0157
     136.0,        0.0000,        0.0041,        0.0119
     137.0,        0.0000,        0.0031,        0.0091
     138.0,        0.0000,        0.0024,        0.0072
     139.0,        0.0000,        0.0019,        0.0057
     140.0,        0.0000,        0.0016,        0.0046
     141.0,        0.0000,        0.0013,        0.0038
     142.0,        0.0000,        0.0011,        0.0031
     143.0,        0.0000,        0.0009,        0.0026
     144.0,        0.0000,        0.0008,        0.0022
     145.0,        0.0000,        0.0006,        0.0019
