Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.32955,       91.55046
       2.0,       0.39685,       0.40291,       111.92808
       3.0,       0.39685,       0.39595,       109.99743
       4.0,       0.39685,       0.39546,       109.86076
       5.0,       0.4252,       0.39579,       109.95081
       6.0,       0.4252,       0.42179,       117.17408
       7.0,       0.4252,       0.42453,       117.93652
       8.0,       0.4252,       0.42397,       117.78149
       9.0,       0.4252,       0.42398,       117.78255
      10.0,       0.45827,       0.424,       117.78784
      11.0,       0.45827,       0.45456,       126.2782
      12.0,       0.45827,       0.4576,       127.12398
      13.0,       0.45827,       0.45694,       126.94105
      14.0,       0.45827,       0.45697,       126.94812
      15.0,       0.50551,       0.457,       126.95765
      16.0,       0.50551,       0.50095,       139.16558
      17.0,       0.50551,       0.50506,       140.30836
      18.0,       0.50551,       0.50413,       140.05057
      19.0,       0.50551,       0.50421,       140.07175
      20.0,       0.55748,       0.50427,       140.08835
      21.0,       0.55748,       0.55294,       153.61034
      22.0,       0.55748,       0.55715,       154.77855
      23.0,       0.55748,       0.55611,       154.49038
      24.0,       0.55748,       0.5562,       154.51545
      25.0,       0.62835,       0.55626,       154.52923
      26.0,       0.62835,       0.6231,       173.0998
      27.0,       0.62835,       0.62833,       174.5537
      28.0,       0.62835,       0.62689,       174.15324
      29.0,       0.62835,       0.62702,       174.18855
      30.0,       0.71811,       0.62707,       174.20197
      31.0,       0.71811,       0.71243,       197.91506
      32.0,       0.71811,       0.71833,       199.55402
      33.0,       0.71811,       0.71648,       199.0416
      34.0,       0.71811,       0.71667,       199.09387
      35.0,       0.85039,       0.71672,       199.10658
      36.0,       0.85039,       0.84372,       234.38806
      37.0,       0.85039,       0.85114,       236.44973
      38.0,       0.85039,       0.84843,       235.6954
      39.0,       0.85039,       0.84875,       235.78652
      40.0,       1.05354,       0.8488,       235.79958
      41.0,       1.05354,       1.04615,       290.62243
      42.0,       1.05354,       1.05509,       293.10752
      43.0,       1.05354,       1.051,       291.97039
      44.0,       1.05354,       1.05159,       292.13602
      45.0,       1.41732,       1.05163,       292.14696
      46.0,       1.41733,       1.41035,       391.79967
      47.0,       1.41732,       1.42058,       394.64144
      48.0,       1.41732,       1.41364,       392.71396
      49.0,       1.41732,       1.41493,       393.07382
      50.0,       2.28189,       1.415,       393.09042
      51.0,       2.28189,       2.28629,       635.13964
      52.0,       2.28189,       2.29001,       636.17224
      53.0,       2.28189,       2.27592,       632.25796
      54.0,       2.28189,       2.27964,       633.29197
      55.0,       8.04567,       2.27961,       633.2835
      56.0,       8.04567,       8.35971,       2322.35591
      57.0,       8.04567,       8.06269,       2239.84354
      58.0,       8.04567,       8.02576,       2229.58321
      59.0,       8.04567,       8.04753,       2235.63015
      60.0,       8.05039,       8.04306,       2234.38848
      61.0,       8.05039,       8.04885,       2235.99883
      62.0,       8.0504,       8.04849,       2235.89712
      63.0,       8.05039,       8.04846,       2235.89041
      64.0,       8.05039,       8.04852,       2235.90701
      65.0,       2.28189,       8.04854,       2235.91302
      66.0,       2.28189,       1.99815,       555.09152
      67.0,       2.28189,       2.22109,       617.0271
      68.0,       2.28189,       2.30118,       639.27499
      69.0,       2.28189,       2.27839,       632.94483
      70.0,       1.41732,       2.28056,       633.54553
      71.0,       1.41732,       1.41046,       391.83145
      72.0,       1.41733,       1.40371,       389.95589
      73.0,       1.41732,       1.41922,       394.26428
      74.0,       1.41732,       1.41603,       393.37717
      75.0,       1.05354,       1.41599,       393.36799
      76.0,       1.05354,       1.05747,       293.76826
      77.0,       1.05355,       1.04652,       290.72731
      78.0,       1.05354,       1.05357,       292.68622
      79.0,       1.05354,       1.0524,       292.36097
      80.0,       0.85039,       1.0523,       292.33343
      81.0,       0.85041,       0.85502,       237.52894
      82.0,       0.85039,       0.84583,       234.97499
      83.0,       0.85041,       0.84987,       236.09764
      84.0,       0.85039,       0.84933,       235.9472
      85.0,       0.71811,       0.84923,       235.9193
      86.0,       0.71811,       0.72225,       200.64348
      87.0,       0.71813,       0.71471,       198.54967
      88.0,       0.71811,       0.7174,       199.29587
      89.0,       0.71811,       0.71707,       199.20511
      90.0,       0.62835,       0.717,       199.18357
      91.0,       0.62835,       0.63165,       175.4733
      92.0,       0.62833,       0.62569,       173.82022
      93.0,       0.62835,       0.62749,       174.31886
      94.0,       0.62835,       0.62733,       174.27436
      95.0,       0.55747,       0.62727,       174.25812
      96.0,       0.55749,       0.56043,       155.68967
      97.0,       0.55747,       0.5552,       154.23576
      98.0,       0.55749,       0.55661,       154.62811
      99.0,       0.55747,       0.55652,       154.60197
     100.0,       0.50078,       0.55645,       154.58467
     101.0,       0.5008,       0.5034,       139.84574
     102.0,       0.50078,       0.49883,       138.57512
     103.0,       0.5008,       0.49995,       138.8873
     104.0,       0.50078,       0.49991,       138.87494
     105.0,       0.46298,       0.49985,       138.86046
     106.0,       0.463,       0.4647,       129.09419
     107.0,       0.46298,       0.46143,       128.18695
     108.0,       0.463,       0.46217,       128.39143
     109.0,       0.46298,       0.46215,       128.38754
     110.0,       0.42519,       0.46211,       128.37589
     111.0,       0.42519,       0.42717,       118.66859
     112.0,       0.42521,       0.4237,       117.70415
     113.0,       0.42519,       0.42445,       117.91392
     114.0,       0.42519,       0.42442,       117.90474
     115.0,       0.39686,       0.42439,       117.89591
     116.0,       0.39686,       0.39833,       110.65675
     117.0,       0.39684,       0.39558,       109.89466
     118.0,       0.39686,       0.39611,       110.04157
     119.0,       0.39686,       0.39612,       110.04369
     120.0,       0.00000,       0.3961,       110.03769
     121.0,       0.00000,       0.05952,       16.53433
     122.0,       0.00000,       0.0069,       1.91582
     123.0,       0.00000,       0.00098,       0.27298
     124.0,       0.00000,       0.00024,       0.0671
     125.0,       0.00000,       0.00011,       0.03143
     126.0,       0.00000,       8E-05,       0.02295
     127.0,       0.00000,       7E-05,       0.01907
     128.0,       0.00000,       6E-05,       0.01519
     129.0,       0.00000,       4E-05,       0.01165
     130.0,       0.00000,       3E-05,       0.00883
     131.0,       0.00000,       2E-05,       0.00671
     132.0,       0.00000,       2E-05,       0.00565
     133.0,       0.00000,       2E-05,       0.00459
     134.0,       0.00000,       1E-05,       0.00388
     135.0,       0.00000,       1E-05,       0.00318
     136.0,       0.00000,       1E-05,       0.00283
     137.0,       0.00000,       1E-05,       0.00247
     138.0,       0.00000,       1E-05,       0.00212
     139.0,       0.00000,       1E-05,       0.00177
     140.0,       0.00000,       0.00000,       0.00141
     141.0,       0.00000,       0.00000,       0.00141
     142.0,       0.00000,       0.00000,       0.00106
     143.0,       0.00000,       0.00000,       0.00106
     144.0,       0.00000,       0.00000,       0.00106
     145.0,       0.00000,       0.00000,       0.00071
     146.0,       0.00000,       0.00000,       0.00071
     147.0,       0.00000,       0.00000,       0.00071
     148.0,       0.00000,       0.00000,       0.00071
     149.0,       0.00000,       0.00000,       0.00071
     150.0,       0.00000,       0.00000,       0.00071
     151.0,       0.00000,       0.00000,       0.00035
     152.0,       0.00000,       0.00000,       0.00035
     153.0,       0.00000,       0.00000,       0.00035
     154.0,       0.00000,       0.00000,       0.00035
     155.0,       0.00000,       0.00000,       0.00035
     156.0,       0.00000,       0.00000,       0.00035
     157.0,       0.00000,       0.00000,       0.00035
     158.0,       0.00000,       0.00000,       0.00035
     159.0,       0.00000,       0.00000,       0.00035
     160.0,       0.00000,       0.00000,       0.00035
     161.0,       0.00000,       0.00000,       0.00035
     162.0,       0.00000,       0.00000,       0.00035
     163.0,       0.00000,       0.00000,       0.00035
     164.0,       0.00000,       0.00000,       0.00035
     165.0,       0.00000,       0.00000,       0.00035
     166.0,       0.00000,       0.00000,       0.00035
     167.0,       0.00000,       0.00000,       0.00000
     168.0,       0.00000,       0.00000,       0.00000
     169.0,       0.00000,       0.00000,       0.00000
     170.0,       0.00000,       0.00000,       0.00000
     171.0,       0.00000,       0.00000,       0.00000
     172.0,       0.00000,       0.00000,       0.00000
     173.0,       0.00000,       0.00000,       0.00000
     174.0,       0.00000,       0.00000,       0.00000
     175.0,       0.00000,       0.00000,       0.00000
     176.0,       0.00000,       0.00000,       0.00000
     177.0,       0.00000,       0.00000,       0.00000
     178.0,       0.00000,       0.00000,       0.00000
     179.0,       0.00000,       0.00000,       0.00000
     180.0,       0.00000,       0.00000,       0.00000
     181.0,       0.00000,       0.00000,       0.00000
     182.0,       0.00000,       0.00000,       0.00000
     183.0,       0.00000,       0.00000,       0.00000
     184.0,       0.00000,       0.00000,       0.00000
     185.0,       0.00000,       0.00000,       0.00000
     186.0,       0.00000,       0.00000,       0.00000
     187.0,       0.00000,       0.00000,       0.00000
     188.0,       0.00000,       0.00000,       0.00000
     189.0,       0.00000,       0.00000,       0.00000
     190.0,       0.00000,       0.00000,       0.00000
     191.0,       0.00000,       0.00000,       0.00000
     192.0,       0.00000,       0.00000,       0.00000
     193.0,       0.00000,       0.00000,       0.00000
     194.0,       0.00000,       0.00000,       0.00000
     195.0,       0.00000,       0.00000,       0.00000
     196.0,       0.00000,       0.00000,       0.00000
     197.0,       0.00000,       0.00000,       0.00000
     198.0,       0.00000,       0.00000,       0.00000
     199.0,       0.00000,       0.00000,       0.00000
     200.0,       0.00000,       0.00000,       0.00000
     201.0,       0.00000,       0.00000,       0.00000
     202.0,       0.00000,       0.00000,       0.00000
     203.0,       0.00000,       0.00000,       0.00000
     204.0,       0.00000,       0.00000,       0.00000
     205.0,       0.00000,       0.00000,       0.00000
     206.0,       0.00000,       0.00000,       0.00000
     207.0,       0.00000,       0.00000,       0.00000
     208.0,       0.00000,       0.00000,       0.00000
     209.0,       0.00000,       0.00000,       0.00000
     210.0,       0.00000,       0.00000,       0.00000
     211.0,       0.00000,       0.00000,       0.00000
     212.0,       0.00000,       0.00000,       0.00000
     213.0,       0.00000,       0.00000,       0.00000
     214.0,       0.00000,       0.00000,       0.00000
     215.0,       0.00000,       0.00000,       0.00000
     216.0,       0.00000,       0.00000,       0.00000
     217.0,       0.00000,       0.00000,       0.00000
     218.0,       0.00000,       0.00000,       0.00000
     219.0,       0.00000,       0.00000,       0.00000
     220.0,       0.00000,       0.00000,       0.00000
     221.0,       0.00000,       0.00000,       0.00000
     222.0,       0.00000,       0.00000,       0.00000
     223.0,       0.00000,       0.00000,       0.00000
     224.0,       0.00000,       0.00000,       0.00000
     225.0,       0.00000,       0.00000,       0.00000
     226.0,       0.00000,       0.00000,       0.00000
     227.0,       0.00000,       0.00000,       0.00000
     228.0,       0.00000,       0.00000,       0.00000
     229.0,       0.00000,       0.00000,       0.00000
     230.0,       0.00000,       0.00000,       0.00000
     231.0,       0.00000,       0.00000,       0.00000
     232.0,       0.00000,       0.00000,       0.00000
     233.0,       0.00000,       0.00000,       0.00000
     234.0,       0.00000,       0.00000,       0.00000
     235.0,       0.00000,       0.00000,       0.00000
     236.0,       0.00000,       0.00000,       0.00000
     237.0,       0.00000,       0.00000,       0.00000
     238.0,       0.00000,       0.00000,       0.00000
     239.0,       0.00000,       0.00000,       0.00000
     240.0,       0.00000,       0.00000,       0.00000
     241.0,       0.00000,       0.00000,       0.00000
     242.0,       0.00000,       0.00000,       0.00000
     243.0,       0.00000,       0.00000,       0.00000
     244.0,       0.00000,       0.00000,       0.00000
     245.0,       0.00000,       0.00000,       0.00000
     246.0,       0.00000,       0.00000,       0.00000
     247.0,       0.00000,       0.00000,       0.00000
     248.0,       0.00000,       0.00000,       0.00000
     249.0,       0.00000,       0.00000,       0.00000
     250.0,       0.00000,       0.00000,       0.00000
     251.0,       0.00000,       0.00000,       0.00000
     252.0,       0.00000,       0.00000,       0.00000
     253.0,       0.00000,       0.00000,       0.00000
     254.0,       0.00000,       0.00000,       0.00000
