Time,Rain(mm),Out(mm),Out(cms)
       0.0,       10.0800,        0.0000,       0.00000
       1.0,       10.0800,        8.5474,       2.46085
       2.0,       10.0800,       10.2438,       2.94927
       3.0,       10.0800,       10.0456,       2.89222
       4.0,       10.0800,       10.0419,       2.89114
       5.0,       10.8000,       10.0490,       2.89318
       6.0,       10.8000,       10.7193,       3.08616
       7.0,       10.8000,       10.7789,       3.10334
       8.0,       10.8000,       10.7642,       3.09910
       9.0,       10.8000,       10.7648,       3.09927
      10.0,       11.6400,       10.7652,       3.09940
      11.0,       11.6400,       11.5530,       3.32619
      12.0,       11.6400,       11.6185,       3.34507
      13.0,       11.6400,       11.6012,       3.34008
      14.0,       11.6400,       11.6023,       3.34038
      15.0,       12.8400,       11.6029,       3.34055
      16.0,       12.8400,       12.7349,       3.66648
      17.0,       12.8400,       12.8222,       3.69160
      18.0,       12.8400,       12.7975,       3.68450
      19.0,       12.8400,       12.7996,       3.68509
      20.0,       14.1600,       12.8004,       3.68534
      21.0,       14.1600,       14.0539,       4.04623
      22.0,       14.1600,       14.1421,       4.07163
      23.0,       14.1600,       14.1152,       4.06388
      24.0,       14.1600,       14.1181,       4.06471
      25.0,       15.9600,       14.1191,       4.06499
      26.0,       15.9600,       15.8402,       4.56053
      27.0,       15.9600,       15.9480,       4.59157
      28.0,       15.9600,       15.9112,       4.58097
      29.0,       15.9600,       15.9156,       4.58222
      30.0,       18.2400,       15.9167,       4.58253
      31.0,       18.2400,       18.1140,       5.21516
      32.0,       18.2400,       18.2326,       5.24930
      33.0,       18.2400,       18.1862,       5.23595
      34.0,       18.2400,       18.1923,       5.23772
      35.0,       21.6000,       18.1932,       5.23797
      36.0,       21.6000,       21.4610,       6.17878
      37.0,       21.6000,       21.6035,       6.21982
      38.0,       21.6000,       21.5360,       6.20038
      39.0,       21.6000,       21.5459,       6.20325
      40.0,       26.7600,       21.5467,       6.20346
      41.0,       26.7600,       26.6214,       7.66451
      42.0,       26.7600,       26.7788,       7.70983
      43.0,       26.7600,       26.6785,       7.68096
      44.0,       26.7600,       26.6956,       7.68589
      45.0,       36.0000,       26.6960,       7.68600
      46.0,       36.0000,       35.9138,      10.33988
      47.0,       36.0000,       36.0508,      10.37932
      48.0,       36.0000,       35.8845,      10.33144
      49.0,       36.0000,       35.9198,      10.34161
      50.0,       57.9600,       35.9202,      10.34170
      51.0,       57.9600,       58.2860,      16.78101
      52.0,       57.9600,       58.0984,      16.72700
      53.0,       57.9601,       57.7758,      16.63411
      54.0,       57.9600,       57.8753,      16.66277
      55.0,      204.3600,       57.8762,      16.66302
      56.0,      204.3600,      213.6101,      61.50004
      57.0,      204.3601,      204.4029,      58.84920
      58.0,      204.3600,      203.8282,      58.68374
      59.0,      204.3600,      204.3714,      58.84015
      60.0,      204.4800,      204.2743,      58.81219
      61.0,      204.4800,      204.4280,      58.85645
      62.0,      204.4802,      204.4159,      58.85294
      63.0,      204.4800,      204.4158,      58.85293
      64.0,      204.4800,      204.4174,      58.85339
      65.0,       57.9601,      204.4184,      58.85367
      66.0,       57.9599,       49.4562,      14.23882
      67.0,       57.9601,       56.7108,      16.32748
      68.0,       57.9599,       58.4723,      16.83462
      69.0,       57.9601,       57.8735,      16.66223
      70.0,       35.9999,       57.9305,      16.67865
      71.0,       35.9999,       35.5852,      10.24525
      72.0,       36.0002,       35.6838,      10.27363
      73.0,       35.9999,       36.0480,      10.37850
      74.0,       35.9999,       35.9602,      10.35322
      75.0,       26.7600,       35.9607,      10.35337
      76.0,       26.7600,       26.7465,       7.70052
      77.0,       26.7602,       26.5871,       7.65463
      78.0,       26.7600,       26.7571,       7.70359
      79.0,       26.7600,       26.7232,       7.69381
      80.0,       21.5998,       26.7213,       7.69329
      81.0,       21.6003,       21.6479,       6.23260
      82.0,       21.5998,       21.4824,       6.18496
      83.0,       21.6003,       21.5818,       6.21358
      84.0,       21.5998,       21.5653,       6.20882
      85.0,       18.2399,       21.5631,       6.20818
      86.0,       18.2399,       18.2957,       5.26749
      87.0,       18.2404,       18.1492,       5.22531
      88.0,       18.2399,       18.2163,       5.24461
      89.0,       18.2399,       18.2060,       5.24165
      90.0,       15.9600,       18.2043,       5.24116
      91.0,       15.9600,       16.0072,       4.60860
      92.0,       15.9596,       15.8869,       4.57396
      93.0,       15.9600,       15.9322,       4.58700
      94.0,       15.9600,       15.9266,       4.58539
      95.0,       14.1598,       15.9253,       4.58502
      96.0,       14.1603,       14.2041,       4.08946
      97.0,       14.1598,       14.0957,       4.05826
      98.0,       14.1603,       14.1317,       4.06862
      99.0,       14.1598,       14.1281,       4.06758
     100.0,       12.7199,       14.1266,       4.06716
     101.0,       12.7204,       12.7599,       3.67366
     102.0,       12.7199,       12.6634,       3.64589
     103.0,       12.7204,       12.6924,       3.65423
     104.0,       12.7199,       12.6903,       3.65363
     105.0,       11.7597,       12.6891,       3.65330
     106.0,       11.7601,       11.7833,       3.39251
     107.0,       11.7597,       11.7137,       3.37247
     108.0,       11.7601,       11.7329,       3.37800
     109.0,       11.7597,       11.7319,       3.37771
     110.0,       10.7999,       11.7309,       3.37743
     111.0,       10.7999,       10.8304,       3.11816
     112.0,       10.8004,       10.7556,       3.09661
     113.0,       10.7999,       10.7754,       3.10233
     114.0,       10.7999,       10.7739,       3.10189
     115.0,       10.0802,       10.7732,       3.10170
     116.0,       10.0802,       10.1015,       2.90830
     117.0,       10.0797,       10.0419,       2.89113
     118.0,       10.0802,       10.0559,       2.89516
     119.0,       10.0802,       10.0556,       2.89509
     120.0,        0.0000,       10.0551,       2.89494
     121.0,        0.0000,        1.3783,       0.39682
     122.0,        0.0000,        0.1402,       0.04036
     123.0,        0.0000,        0.0174,       0.00501
     124.0,        0.0000,        0.0039,       0.00112
     125.0,        0.0000,        0.0020,       0.00058
     126.0,        0.0000,        0.0019,       0.00055
     127.0,        0.0000,        0.0018,       0.00053
     128.0,        0.0000,        0.0016,       0.00045
     129.0,        0.0000,        0.0012,       0.00035
     130.0,        0.0000,        0.0009,       0.00026
     131.0,        0.0000,        0.0007,       0.00020
     132.0,        0.0000,        0.0005,       0.00015
     133.0,        0.0000,        0.0004,       0.00012
     134.0,        0.0000,        0.0003,       0.00009
     135.0,        0.0000,        0.0003,       0.00008
     136.0,        0.0000,        0.0002,       0.00006
     137.0,        0.0000,        0.0002,       0.00006
     138.0,        0.0000,        0.0002,       0.00005
     139.0,        0.0000,        0.0001,       0.00004
     140.0,        0.0000,        0.0001,       0.00004
     141.0,        0.0000,        0.0001,       0.00003
     142.0,        0.0000,        0.0001,       0.00003
     143.0,        0.0000,        0.0001,       0.00003
     144.0,        0.0000,        0.0001,       0.00002
     145.0,        0.0000,        0.0001,       0.00002
     146.0,        0.0000,        0.0001,       0.00002
     147.0,        0.0000,        0.0001,       0.00002
     148.0,        0.0000,        0.0001,       0.00002
     149.0,        0.0000,        0.0001,       0.00001
     150.0,        0.0000,        0.0000,       0.00001
     151.0,        0.0000,        0.0000,       0.00001
     152.0,        0.0000,        0.0000,       0.00001
     153.0,        0.0000,        0.0000,       0.00001
     154.0,        0.0000,        0.0000,       0.00001
     155.0,        0.0000,        0.0000,       0.00001
     156.0,        0.0000,        0.0000,       0.00001
     157.0,        0.0000,        0.0000,       0.00001
     158.0,        0.0000,        0.0000,       0.00001
     159.0,        0.0000,        0.0000,       0.00001
     160.0,        0.0000,        0.0000,       0.00001
     161.0,        0.0000,        0.0000,       0.00001
     162.0,        0.0000,        0.0000,       0.00001
     163.0,        0.0000,        0.0000,       0.00001
     164.0,        0.0000,        0.0000,       0.00000
     165.0,        0.0000,        0.0000,       0.00000
     166.0,        0.0000,        0.0000,       0.00000
     167.0,        0.0000,        0.0000,       0.00000
     168.0,        0.0000,        0.0000,       0.00000
     169.0,        0.0000,        0.0000,       0.00000
     170.0,        0.0000,        0.0000,       0.00000
     171.0,        0.0000,        0.0000,       0.00000
     172.0,        0.0000,        0.0000,       0.00000
     173.0,        0.0000,        0.0000,       0.00000
     174.0,        0.0000,        0.0000,       0.00000
     175.0,        0.0000,        0.0000,       0.00000
     176.0,        0.0000,        0.0000,       0.00000
     177.0,        0.0000,        0.0000,       0.00000
     178.0,        0.0000,        0.0000,       0.00000
     179.0,        0.0000,        0.0000,       0.00000
     180.0,        0.0000,        0.0000,       0.00000
     181.0,        0.0000,        0.0000,       0.00000
     182.0,        0.0000,        0.0000,       0.00000
     183.0,        0.0000,        0.0000,       0.00000
     184.0,        0.0000,        0.0000,       0.00000
     185.0,        0.0000,        0.0000,       0.00000
     186.0,        0.0000,        0.0000,       0.00000
     187.0,        0.0000,        0.0000,       0.00000
     188.0,        0.0000,        0.0000,       0.00000
     189.0,        0.0000,        0.0000,       0.00000
     190.0,        0.0000,        0.0000,       0.00000
     191.0,        0.0000,        0.0000,       0.00000
     192.0,        0.0000,        0.0000,       0.00000
     193.0,        0.0000,        0.0000,       0.00000
     194.0,        0.0000,        0.0000,       0.00000
     195.0,        0.0000,        0.0000,       0.00000
     196.0,        0.0000,        0.0000,       0.00000
     197.0,        0.0000,        0.0000,       0.00000
     198.0,        0.0000,        0.0000,       0.00000
     199.0,        0.0000,        0.0000,       0.00000
     200.0,        0.0000,        0.0000,       0.00000
     201.0,        0.0000,        0.0000,       0.00000
     202.0,        0.0000,        0.0000,       0.00000
     203.0,        0.0000,        0.0000,       0.00000
     204.0,        0.0000,        0.0000,       0.00000
     205.0,        0.0000,        0.0000,       0.00000
     206.0,        0.0000,        0.0000,       0.00000
     207.0,        0.0000,        0.0000,       0.00000
     208.0,        0.0000,        0.0000,       0.00000
     209.0,        0.0000,        0.0000,       0.00000
     210.0,        0.0000,        0.0000,       0.00000
     211.0,        0.0000,        0.0000,       0.00000
     212.0,        0.0000,        0.0000,       0.00000
     213.0,        0.0000,        0.0000,       0.00000
     214.0,        0.0000,        0.0000,       0.00000
     215.0,        0.0000,        0.0000,       0.00000
     216.0,        0.0000,        0.0000,       0.00000
     217.0,        0.0000,        0.0000,       0.00000
     218.0,        0.0000,        0.0000,       0.00000
     219.0,        0.0000,        0.0000,       0.00000
     220.0,        0.0000,        0.0000,       0.00000
     221.0,        0.0000,        0.0000,       0.00000
     222.0,        0.0000,        0.0000,       0.00000
     223.0,        0.0000,        0.0000,       0.00000
     224.0,        0.0000,        0.0000,       0.00000
     225.0,        0.0000,        0.0000,       0.00000
     226.0,        0.0000,        0.0000,       0.00000
     227.0,        0.0000,        0.0000,       0.00000
     228.0,        0.0000,        0.0000,       0.00000
     229.0,        0.0000,        0.0000,       0.00000
     230.0,        0.0000,        0.0000,       0.00000
     231.0,        0.0000,        0.0000,       0.00000
     232.0,        0.0000,        0.0000,       0.00000
     233.0,        0.0000,        0.0000,       0.00000
     234.0,        0.0000,        0.0000,       0.00000
     235.0,        0.0000,        0.0000,       0.00000
     236.0,        0.0000,        0.0000,       0.00000
     237.0,        0.0000,        0.0000,       0.00000
     238.0,        0.0000,        0.0000,       0.00000
     239.0,        0.0000,        0.0000,       0.00000
     240.0,        0.0000,        0.0000,       0.00000
     241.0,        0.0000,        0.0000,       0.00000
     242.0,        0.0000,        0.0000,       0.00000
     243.0,        0.0000,        0.0000,       0.00000
     244.0,        0.0000,        0.0000,       0.00000
     245.0,        0.0000,        0.0000,       0.00000
     246.0,        0.0000,        0.0000,       0.00000
     247.0,        0.0000,        0.0000,       0.00000
     248.0,        0.0000,        0.0000,       0.00000
     249.0,        0.0000,        0.0000,       0.00000
     250.0,        0.0000,        0.0000,       0.00000
     251.0,        0.0000,        0.0000,       0.00000
     252.0,        0.0000,        0.0000,       0.00000
     253.0,        0.0000,        0.0000,       0.00000
     254.0,        0.0000,        0.0000,       0.00000
     255.0,        0.0000,        0.0000,       0.00000
     256.0,        0.0000,        0.0000,       0.00000
     257.0,        0.0000,        0.0000,       0.00000
     258.0,        0.0000,        0.0000,       0.00000
     259.0,        0.0000,        0.0000,       0.00000
     260.0,        0.0000,        0.0000,       0.00000
     261.0,        0.0000,        0.0000,       0.00000
     262.0,        0.0000,        0.0000,       0.00000
     263.0,        0.0000,        0.0000,       0.00000
     264.0,        0.0000,        0.0000,       0.00000
     265.0,        0.0000,        0.0000,       0.00000
     266.0,        0.0000,        0.0000,       0.00000
     267.0,        0.0000,        0.0000,       0.00000
     268.0,        0.0000,        0.0000,       0.00000
     269.0,        0.0000,        0.0000,       0.00000
     270.0,        0.0000,        0.0000,       0.00000
     271.0,        0.0000,        0.0000,       0.00000
     272.0,        0.0000,        0.0000,       0.00000
     273.0,        0.0000,        0.0000,       0.00000
     274.0,        0.0000,        0.0000,       0.00000
     275.0,        0.0000,        0.0000,       0.00000
     276.0,        0.0000,        0.0000,       0.00000
     277.0,        0.0000,        0.0000,       0.00000
     278.0,        0.0000,        0.0000,       0.00000
     279.0,        0.0000,        0.0000,       0.00000
     280.0,        0.0000,        0.0000,       0.00000
     281.0,        0.0000,        0.0000,       0.00000
     282.0,        0.0000,        0.0000,       0.00000
     283.0,        0.0000,        0.0000,       0.00000
     284.0,        0.0000,        0.0000,       0.00000
     285.0,        0.0000,        0.0000,       0.00000
     286.0,        0.0000,        0.0000,       0.00000
     287.0,        0.0000,        0.0000,       0.00000
     288.0,        0.0000,        0.0000,       0.00000
     289.0,        0.0000,        0.0000,       0.00000
     290.0,        0.0000,        0.0000,       0.00000
     291.0,        0.0000,        0.0000,       0.00000
     292.0,        0.0000,        0.0000,       0.00000
     293.0,        0.0000,        0.0000,       0.00000
     294.0,        0.0000,        0.0000,       0.00000
     295.0,        0.0000,        0.0000,       0.00000
     296.0,        0.0000,        0.0000,       0.00000
     297.0,        0.0000,        0.0000,       0.00000
     298.0,        0.0000,        0.0000,       0.00000
     299.0,        0.0000,        0.0000,       0.00000
     300.0,        0.0000,        0.0000,       0.00000
     301.0,        0.0000,        0.0000,       0.00000
     302.0,        0.0000,        0.0000,       0.00000
     303.0,        0.0000,        0.0000,       0.00000
     304.0,        0.0000,        0.0000,       0.00000
     305.0,        0.0000,        0.0000,       0.00000
     306.0,        0.0000,        0.0000,       0.00000
     307.0,        0.0000,        0.0000,       0.00000
     308.0,        0.0000,        0.0000,       0.00000
     309.0,        0.0000,        0.0000,       0.00000
     310.0,        0.0000,        0.0000,       0.00000
     311.0,        0.0000,        0.0000,       0.00000
     312.0,        0.0000,        0.0000,       0.00000
     313.0,        0.0000,        0.0000,       0.00000
     314.0,        0.0000,        0.0000,       0.00000
     315.0,        0.0000,        0.0000,       0.00000
     316.0,        0.0000,        0.0000,       0.00000
     317.0,        0.0000,        0.0000,       0.00000
     318.0,        0.0000,        0.0000,       0.00000
     319.0,        0.0000,        0.0000,       0.00000
     320.0,        0.0000,        0.0000,       0.00000
