Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.23021,       153.18091
       2.0,       0.39685,       0.37151,       247.19563
       3.0,       0.39685,       0.39759,       264.54926
       4.0,       0.39685,       0.39611,       263.56751
       5.0,       0.4252,       0.39552,       263.17552
       6.0,       0.4252,       0.41599,       276.79638
       7.0,       0.4252,       0.42315,       281.56386
       8.0,       0.4252,       0.42406,       282.16068
       9.0,       0.4252,       0.42391,       282.06886
      10.0,       0.45827,       0.42389,       282.05121
      11.0,       0.45827,       0.44784,       297.98872
      12.0,       0.45827,       0.45609,       303.47662
      13.0,       0.45827,       0.45706,       304.12288
      14.0,       0.45827,       0.45689,       304.00987
      15.0,       0.50551,       0.45688,       303.99927
      16.0,       0.50551,       0.49145,       327.00678
      17.0,       0.50551,       0.50306,       334.72657
      18.0,       0.50551,       0.50431,       335.56353
      19.0,       0.50551,       0.50407,       335.40461
      20.0,       0.55748,       0.50407,       335.40461
      21.0,       0.55748,       0.54256,       361.01481
      22.0,       0.55748,       0.55507,       369.33848
      23.0,       0.55748,       0.55628,       370.14718
      24.0,       0.55748,       0.55602,       369.97061
      25.0,       0.62835,       0.55603,       369.97767
      26.0,       0.62835,       0.60915,       405.32412
      27.0,       0.62835,       0.62582,       416.41646
      28.0,       0.62835,       0.62721,       417.34171
      29.0,       0.62835,       0.62683,       417.08744
      30.0,       0.71811,       0.62684,       417.0945
      31.0,       0.71811,       0.69507,       462.49151
      32.0,       0.71811,       0.71556,       476.13004
      33.0,       0.71811,       0.71694,       477.04822
      34.0,       0.71811,       0.71645,       476.71979
      35.0,       0.85039,       0.71647,       476.73039
      36.0,       0.85039,       0.81865,       544.72525
      37.0,       0.85039,       0.84778,       564.09888
      38.0,       0.85039,       0.84919,       565.04178
      39.0,       0.85039,       0.84846,       564.55797
      40.0,       1.05354,       0.84851,       564.58976
      41.0,       1.05354,       1.00861,       671.12352
      42.0,       1.05354,       1.05115,       699.42117
      43.0,       1.05354,       1.05222,       700.14158
      44.0,       1.05354,       1.05117,       699.43529
      45.0,       1.41732,       1.05128,       699.51298
      46.0,       1.41733,       1.34544,       895.24101
      47.0,       1.41732,       1.41619,       942.319
      48.0,       1.41732,       1.41581,       942.06826
      49.0,       1.41732,       1.41419,       940.99117
      50.0,       2.28189,       1.41457,       941.23837
      51.0,       2.28189,       2.14012,       1424.01816
      52.0,       2.28189,       2.28809,       1522.47193
      53.0,       2.28189,       2.28036,       1517.32658
      54.0,       2.28189,       2.27805,       1515.79039
      55.0,       8.04567,       2.27921,       1516.56378
      56.0,       8.04567,       7.51839,       5002.65849
      57.0,       8.04567,       8.14816,       5421.70237
      58.0,       8.04567,       8.03333,       5345.29202
      59.0,       8.04567,       8.04089,       5350.33142
      60.0,       8.05039,       8.04423,       5352.54565
      61.0,       8.05039,       8.04772,       5354.87289
      62.0,       8.0504,       8.04822,       5355.20131
      63.0,       8.05039,       8.0482,       5355.19425
      64.0,       8.05039,       8.04822,       5355.20838
      65.0,       2.28189,       8.04825,       5355.22603
      66.0,       2.28188,       2.8003,       1863.28674
      67.0,       2.28189,       2.19114,       1457.95909
      68.0,       2.28188,       2.27402,       1513.11354
      69.0,       2.28189,       2.28561,       1520.8192
      70.0,       1.41732,       2.27991,       1517.02641
      71.0,       1.41732,       1.5524,       1032.95057
      72.0,       1.41733,       1.40944,       937.82697
      73.0,       1.41732,       1.41342,       940.47204
      74.0,       1.41732,       1.4168,       942.72158
      75.0,       1.05354,       1.41591,       942.13183
      76.0,       1.05354,       1.12083,       745.78933
      77.0,       1.05355,       1.0517,       699.79197
      78.0,       1.05354,       1.0508,       699.19162
      79.0,       1.05354,       1.05252,       700.33582
      80.0,       0.85039,       1.05221,       700.13099
      81.0,       0.85041,       0.89164,       593.28999
      82.0,       0.85039,       0.84991,       565.51853
      83.0,       0.85041,       0.84822,       564.39552
      84.0,       0.85039,       0.84927,       565.09122
      85.0,       0.71811,       0.84914,       565.01
      86.0,       0.71811,       0.74666,       496.8209
      87.0,       0.71813,       0.718,       477.74745
      88.0,       0.71811,       0.71626,       476.59266
      89.0,       0.71811,       0.71695,       477.04822
      90.0,       0.62835,       0.7169,       477.01644
      91.0,       0.62835,       0.64849,       431.49936
      92.0,       0.62833,       0.62827,       418.04447
      93.0,       0.62835,       0.62669,       416.99209
      94.0,       0.62835,       0.62717,       417.31346
      95.0,       0.55747,       0.62716,       417.30639
      96.0,       0.55749,       0.57391,       381.87518
      97.0,       0.55747,       0.55748,       370.93823
      98.0,       0.55749,       0.55596,       369.93176
      99.0,       0.55747,       0.55634,       370.18603
     100.0,       0.50078,       0.55634,       370.1825
     101.0,       0.5008,       0.5143,       342.20975
     102.0,       0.50078,       0.50083,       333.24688
     103.0,       0.5008,       0.49942,       332.31104
     104.0,       0.50078,       0.49973,       332.51587
     105.0,       0.46298,       0.49974,       332.52293
     106.0,       0.463,       0.47201,       314.07102
     107.0,       0.46298,       0.46285,       307.97217
     108.0,       0.463,       0.46179,       307.26941
     109.0,       0.46298,       0.46199,       307.40361
     110.0,       0.42519,       0.462,       307.41067
     111.0,       0.42519,       0.43456,       289.14946
     112.0,       0.42521,       0.42523,       282.94467
     113.0,       0.42519,       0.42409,       282.1854
     114.0,       0.42519,       0.42426,       282.30194
     115.0,       0.39686,       0.42428,       282.31253
     116.0,       0.39686,       0.40389,       268.74464
     117.0,       0.39684,       0.39679,       264.01954
     118.0,       0.39686,       0.39583,       263.38387
