Time,Rain(in),Out(in),Out(cfs)
       0.0,       0.39685,       0.00000,       0.00000
       1.0,       0.39685,       0.13175,       198.69093
       2.0,       0.39685,       0.27986,       422.04915
       3.0,       0.39685,       0.36538,       551.01126
       4.0,       0.39685,       0.3927,       592.21642
       5.0,       0.4252,       0.39634,       597.70785
       6.0,       0.4252,       0.41009,       618.45169
       7.0,       0.4252,       0.41893,       631.77591
       8.0,       0.4252,       0.42297,       637.86416
       9.0,       0.4252,       0.42406,       639.50276
      10.0,       0.45827,       0.42415,       639.65109
      11.0,       0.45827,       0.44082,       664.78807
      12.0,       0.45827,       0.45129,       680.57373
      13.0,       0.45827,       0.45587,       687.48834
      14.0,       0.45827,       0.45706,       689.27879
      15.0,       0.50551,       0.45716,       689.42711
      16.0,       0.50551,       0.48133,       725.88245
      17.0,       0.50551,       0.49632,       748.48384
      18.0,       0.50551,       0.5027,       758.10708
      19.0,       0.50551,       0.50427,       760.4661
      20.0,       0.55748,       0.50438,       760.63915
      21.0,       0.55748,       0.53144,       801.45231
      22.0,       0.55748,       0.54795,       826.34209
      23.0,       0.55748,       0.55477,       836.62572
      24.0,       0.55748,       0.55635,       839.01299
      25.0,       0.62835,       0.55644,       839.14366
      26.0,       0.62835,       0.59399,       895.77073
      27.0,       0.62835,       0.61643,       929.61984
      28.0,       0.62835,       0.62532,       943.01823
      29.0,       0.62835,       0.6272,       945.85046
      30.0,       0.71811,       0.62724,       945.91756
      31.0,       0.71811,       0.6758,       1019.14253
      32.0,       0.71811,       0.70413,       1061.86975
      33.0,       0.71811,       0.71485,       1078.04034
      34.0,       0.71811,       0.7169,       1081.12684
      35.0,       0.85039,       0.71689,       1081.10565
      36.0,       0.85039,       0.79021,       1191.68294
      37.0,       0.85039,       0.8318,       1254.40886
      38.0,       0.85039,       0.84664,       1276.78777
      39.0,       0.85039,       0.84911,       1280.51347
      40.0,       1.05354,       0.849,       1280.33689
      41.0,       1.05354,       0.96508,       1455.39877
      42.0,       1.05354,       1.02854,       1551.10859
      43.0,       1.05354,       1.04946,       1582.64459
      44.0,       1.05354,       1.05232,       1586.96711
      45.0,       1.41732,       1.05206,       1586.56452
      46.0,       1.41732,       1.26828,       1912.64253
      47.0,       1.41732,       1.38057,       2081.9799
      48.0,       1.41732,       1.41341,       2131.51579
      49.0,       1.41732,       1.41651,       2136.18792
      50.0,       2.28189,       1.41588,       2135.23796
      51.0,       2.28189,       1.9595,       2955.05036
      52.0,       2.28189,       2.21933,       3346.89488
      53.0,       2.28189,       2.28033,       3438.87547
      54.0,       2.28189,       2.28175,       3441.02613
      55.0,       8.04567,       2.28028,       3438.8119
      56.0,       8.04567,       6.38081,       9622.66841
      57.0,       8.04567,       7.92876,       11957.05639
      58.0,       8.04567,       8.07595,       12179.0444
      59.0,       8.04567,       8.04336,       12129.88991
      60.0,       8.05039,       8.04328,       12129.75925
      61.0,       8.05039,       8.04844,       12137.5426
      62.0,       8.0504,       8.04914,       12138.60911
      63.0,       8.05039,       8.0493,       12138.84925
      64.0,       8.05039,       8.04934,       12138.90575
      65.0,       2.28189,       8.04933,       12138.89869
      66.0,       2.28189,       3.83915,       5789.67417
      67.0,       2.28189,       2.4959,       3763.96819
      68.0,       2.28189,       2.2635,       3413.50541
      69.0,       2.28189,       2.27412,       3429.51002
      70.0,       1.41732,       2.28269,       3442.44225
      71.0,       1.41732,       1.72826,       2606.33212
      72.0,       1.41733,       1.48406,       2238.05309
      73.0,       1.41732,       1.41989,       2141.28736
      74.0,       1.41732,       1.41506,       2133.99488
      75.0,       1.05354,       1.41665,       2136.39981
      76.0,       1.05354,       1.19757,       1806.01694
      77.0,       1.05355,       1.08967,       1643.29401
      78.0,       1.05354,       1.05639,       1593.10833
      79.0,       1.05354,       1.05218,       1586.75875
      80.0,       0.85039,       1.05274,       1587.59924
      81.0,       0.85041,       0.93541,       1410.64802
      82.0,       0.85039,       0.87374,       1317.66097
      83.0,       0.85041,       0.85276,       1286.01902
      84.0,       0.85039,       0.84939,       1280.93018
      85.0,       0.71811,       0.84958,       1281.21976
      86.0,       0.71811,       0.77558,       1169.62187
      87.0,       0.71813,       0.7349,       1108.26969
      88.0,       0.71811,       0.72007,       1085.91198
      89.0,       0.71811,       0.71728,       1081.70247
      90.0,       0.62835,       0.71731,       1081.74485
      91.0,       0.62835,       0.66838,       1007.96544
      92.0,       0.62833,       0.64055,       965.98689
