1  2,4,5-TP             2600.0  .40     5.0    20.0 0.75      2.500               Silvex                  
69 Dacthal              5000.0  .30    10.0   100.0 0.75      0.500               DCPA                    
70 Dalapon                 1.0  .95    37.0    30.0 0.75 900000.000               Dalapon Sodium Salt     
71 Dasanit             10000.0  .90     4.0    24.0 0.75      0.010               Fensulfothion           
72 DDT                240000.0  .05    10.0   120.0 0.75      0.100               DDT                     
73 Dedweed                20.0  .95     7.0    25.0 0.75 866000.000               MCPA Amine              
74 DEF                  5000.0  .25     7.0    30.0 0.75      2.300               Tribufos                
75 Dessicant L-10     100000.0  .95 10000.0 10000.0 0.75  17000.000               Arsenic Acid            
76 Devrinol              400.0  .60    15.0    70.0 0.75     74.000               Napropamide             
77 Di-Syston             600.0  .50     3.0    30.0 0.75     25.000               Disulfoton              
78 Dibrom                180.0  .90     5.0     1.0 0.75   2000.000               Naled                   
79 Dieldrin            50000.0  .05     5.0  1400.0 0.75      0.100               Dieldrin                
80 Dimilin             10000.0  .05    27.0    10.0 0.75      0.080               Diflubenzuron           
81 Dinitro               500.0  .60     3.0    20.0 0.75     50.000               Dinoseb Phenol          
82 Diquat            1000000.0  .95    30.0  1000.0 0.75 718000.000               Diquat Dibromide        
83 Dithane              2000.0  .25    10.0    70.0 0.75      6.000               Mancozeb                
84 Dowpon                  4.0  .95    37.0    30.0 0.75   1000.000               Dalapon                 
85 Dropp                 110.0  .40     3.0    10.0 0.75     20.000               Thidiazuron             
86 DSMA               100000.0  .95    30.0  1000.0 0.751400000.000               Methanearsonic Acid Na  
87 Du-ter              23000.0  .40    18.0    75.0 0.75      1.000               Triphenyltin Hydroxide  
88 Dual                  200.0  .60     5.0    90.0 0.75    530.000               Metolachlor             
89 Dyfonate              870.0  .60     2.5    40.0 0.75     16.900               Fonofos                 
90 Dylox                  10.0  .95     3.0    10.0 0.75 120000.000               Trichlorfon             
91 Dymid                 210.0  .80     5.0    30.0 0.75    260.000               Diphenamid              
92 Dyrene               3000.0  .50     5.0     1.0 0.75      8.000               Anilazine               
93 Elgetol                20.0  .95     8.0    20.0 0.75 100000.000               DNOC Sodium Salt        
94 EPN                 13000.0  .60     5.0     5.0 0.75      0.500               EPN                     
95 Eradicane             200.0  .75     3.0     6.0 0.75    344.000               EPTC                    
96 Ethanox             10000.0  .65     7.0   150.0 0.75      1.100               Ethion                  
97 Evik                  300.0  .65     5.0    60.0 0.75    185.000               Ametryn                 
98 Evital                600.0  .50    15.0    90.0 0.75     28.000               Norflurazon             
99 Far-Go               2400.0  .40    15.0    82.0 0.75      4.000               Triallate               
100Fenatrol               20.0  .95    30.0   180.0 0.75 500000.000               Fenac                   
101Fenitox              2000.0  .90     3.0     8.0 0.75     30.000               Fenitrothion            
102Fruitone CPA           20.0  .95     3.0    10.0 0.75 200000.000               3-CPA Sodium Salt       
103Fundal             100000.0  .90     1.0    60.0 0.75 500000.000               Chlordimeform Hydroclo. 
104Funginex              540.0  .80     5.0    21.0 0.75     30.000               Triforine               
105Furadan                22.0  .55     2.0    50.0 0.75    351.000               Carbofuran              
106Fusilade             5700.0  .40     4.0    15.0 0.75      2.000               Fluazifop-P-Butyl       
107Glean                  40.0  .75    30.0   160.0 0.75   7000.000               Chlorsulfuron           
108Goal               100000.0  .40     8.0    35.0 0.75      0.100               Oxyfluorfen             
109Guthion              1000.0  .65     2.0    10.0 0.75     29.000               Azinphos-Methyl         
110Harmony                45.0  .80     3.0    12.0 0.75   2400.000               Thifensulfuron-Methyl   
111Harvade                10.0  .80     3.0    10.0 0.75   3000.000               Dimethipin              
112Hoelon              16000.0  .45     8.0    37.0 0.75      0.800               Diclofop-Methyl         
113Hyvar                  32.0  .75    20.0    60.0 0.75    700.000               Bromacil                
114Imidan                820.0  .90     3.0    19.0 0.75     20.000               Phosmet                 
115Isotox               1100.0  .05     2.5   400.0 0.75      7.300               Lindane                 
116Karate             180000.0  .40     5.0    30.0 0.75      0.005               Lambda-Cyhalothrin      
117Karathane             550.0  .30     8.0    20.0 0.75      4.000               Dinocap                 
118Karmex                480.0  .45    30.0    90.0 0.75     42.000               Diuron                  
119Kelthane           180000.0  .05     4.0    60.0 0.75      1.000               Dicofol                 
120Kerb                  200.0  .30    20.0    60.0 0.75     15.000               Pronamide               
121Krenite               150.0  .95     4.0     8.0 0.751790000.000               Fosamine Ammon. Salt    
122Lannate                72.0  .55     0.5    30.0 0.75  58000.000               Methomyl                
123Larvadex              200.0  .95    30.0   150.0 0.75 136000.000               Cyromazine              
124Larvin                350.0  .70     4.0     7.0 0.75     19.100               Thiodicarb              
125Lasso                 170.0  .40     3.0    15.0 0.75    240.000               Alachlor                
126Limit                1000.0  .70     8.0    20.0 0.75     10.000               Amidochlor              
127Lontrel                 6.0  .95     2.0    30.0 0.75 300000.000               Clopyralid              
128Lorox                 400.0  .60    15.0    60.0 0.75     75.000               Linuron                 
129Lorsban              6070.0  .65     3.3    30.0 0.75      0.400               Clorpyrifos             
130Manzate              1000.0  .65     3.0    12.0 0.75      6.000               Maneb                   
131Marlate             80000.0  .05     6.0   120.0 0.75      0.100               Methoxychlor            
132Matacil               100.0  .90     4.0     6.0 0.75    915.000               Aminocarb               
133Mavrik            1000000.0  .40     7.0    30.0 0.75      0.005               Fluvalinate             
134Metasystox             10.0  .95     3.0    10.0 0.751000000.000               Oxydemeton-Methyl       
135Milogard              154.0  .45     5.0   135.0 0.75      8.600               Propazine               
136Miral                 100.0  .65     5.0    34.0 0.75     69.000               Isazofos                
137Mitac                1000.0  .45     1.0     2.0 0.75      1.000               Amitraz                 
138Modown              10000.0  .40     3.0     7.0 0.75      0.400               Bifenox                 
139Monitor                 5.0  .95     4.0     6.0 0.751000000.000               Methamidophos           
140Morestan             2300.0  .50    10.0    30.0 0.75      1.000               Oxythioquinox           
141Nemacur               240.0  .70     5.0     5.0 0.75    400.000               Fenamiphos              
142Nemacur Sulfone        45.0  .70    18.0    18.0 0.75    400.000               Fenamiphos Sulfone      
143Nemacur Sulfoxide      40.0  .70    42.0    42.0 0.75    400.000               Fenamiphos Sulfoxide    
144Norton                340.0  .65    10.0    30.0 0.75     50.000               Ethofumesate            
145Octave                500.0  .50    30.0   120.0 0.75     34.000               Prochloraz              
146Oftanol               600.0  .65    30.0   150.0 0.75     24.000               Isofenphos              
147Orthene                 2.0  .70     2.5     3.0 0.75 818000.000               Acephate                
148Orthocide             200.0  .65     9.0     2.5 0.75      5.100               Captan                  
149Oust                   78.0  .65    10.0    20.0 0.75     70.000               Sulfometuron-Methyl     
150Pay-Off            100000.0  .40     5.0    21.0 0.75      0.060               Flucythrinate           
151Penncap-M            5100.0  .90     3.0     5.0 0.75     60.000               Methyl Parathion        
152Phenatox           100000.0  .05     2.0     9.0 0.75      3.000               Toxaphene               
153Phosdrin               44.0  .95     0.6     3.0 0.75 600000.000               Mevinphos               
154Phoskil              5000.0  .70     4.0    14.0 0.75     24.000               Parathion (Ethyl)       
155Pipron               5000.0  .60    10.0    30.0 0.75     20.000               Piperalin               
156Pix               1000000.0  .95    30.0  1000.0 0.751000000.000               Mepiquat Chlor. Salt    
157Plantvax               95.0  .70    10.0    20.0 0.75   1000.000               Oxycarboxin             
158Poast                 100.0  .70     3.0     5.0 0.75   4390.000               Sethoxydim              
159Polyram            500000.0  .40     7.0    20.0 0.75      0.100               Metiram                 
160Pounce             100000.0  .30     8.0    30.0 0.75      0.006               Permethrin              
161Pramitol              150.0  .75    30.0   500.0 0.75    720.000               Prometon                
162Prefar               1000.0  .40    30.0   120.0 0.75      5.600               Bensulide               
163Prelude           1000000.0  .60    30.0  1000.0 0.75 620000.000               Paraquat                
164Prime               10000.0  .40     7.0    20.0 0.75      0.100               Flumetralin             
165Princep               130.0  .40     5.0    60.0 0.75      6.200               Simazine                
166Probe                3000.0  .40     5.0    14.0 0.75      1.500               Methazole               
167Prowl                5000.0  .40    30.0    90.0 0.75      0.275               Pendimethalin           
168Pursuit                10.0  .90    20.0    90.0 0.75 200000.000               AC 263,499              
169Pydrin               5300.0  .25    10.0    35.0 0.75      0.002               Fenvalerate             
170Pyramin               120.0  .85     5.0    21.0 0.75    400.000               Pyrazon                 
171Ramrod                 80.0  .40     3.0     6.0 0.75    613.000               Propaclor               
172Reflex                 60.0  .95    30.0   100.0 0.75 700000.000               Fomesafen Salt          
173Rescue                 20.0  .45     9.0    10.0 0.75 709000.000               2,4-DB Sodium/amine     
174Ridomil                50.0  .70    30.0    70.0 0.75   8400.000               Metalaxyl               
175Ro-Neet               430.0  .50     2.0    30.0 0.75     95.000               Cycloate                
176Ronstar              3200.0  .50    20.0    60.0 0.75      0.700               Oxadiazon               
177Roundup             24000.0  .60     2.5    47.0 0.75 900000.000               Glyphosate Amine        
178Rovral                700.0  .40     5.0    14.0 0.75     13.900               Iprodione               
179Royal Slo-Gro          20.0  .95    10.0    30.0 0.75 400000.000               Maleic Hydrazide        
180Rubigan               600.0  .40    30.0   360.0 0.75     14.000               Fenarimol               
181Sancap                900.0  .40     5.0    30.0 0.75     16.000               Dipropetryn             
182Savey                6200.0  .40     5.0    30.0 0.75      0.500               Hexythiazox             
183Scepter                20.0  .95    20.0    60.0 0.75 160000.000               Imazaquin Ammonium      
184Sencor                 60.0  .80     5.0    40.0 0.75   1220.000               Metribuzin              
185Sevin                 300.0  .55     7.0    10.0 0.75    120.000               Carbaryl                
186Sinbar                 55.0  .70    30.0   120.0 0.75    710.000               Terbacil                
187Slug-Geta             300.0  .70    10.0    30.0 0.75     24.000               Methiocarb              
