"b"|"31979587"|"11080950"
"t"|"31979587"|"11080951"
"k"|"31979597"|"11080955"
"t"|"31979597"|"11080956"
"k"|"31979598"|"11081126"
"t"|"31979598"|"11081127"
"y"|"31979599"|"11080957"
"k"|"31979599"|"11080958"
"t"|"31979599"|"11080959"
"y"|"31979600"|"11081128"
"k"|"31979600"|"11081129"
"t"|"31979600"|"11081130"
"k"|"31979601"|"11081476"
"t"|"31979601"|"11081477"
"t"|"31979603"|"11081298"
"c"|"31979604"|"11081299"
"y"|"31979604"|"11081300"
"t"|"31979604"|"11081301"
"c"|"31979605"|"11081302"
"y"|"31979605"|"11081303"
"t"|"31979605"|"11081304"
"k"|"31979624"|"11081483"
"k"|"31979625"|"11081135"
"m"|"31979626"|"11081733"
"k"|"31979626"|"11081734"
"t"|"31979707"|"11081491"
"c"|"31979708"|"11081492"
"t"|"31979708"|"11081493"
"c"|"31979709"|"11081494"
"k"|"31979709"|"11081495"
"k"|"31979711"|"11081741"
"t"|"31980236"|"11081807"
"k"|"31980236"|"11081808"
"t"|"31980235"|"11081048"
"t"|"31980234"|"11080870"
"t"|"31980232"|"11081580"
"t"|"31980231"|"11081224"
"t"|"31980230"|"11081223"
"t"|"31980229"|"11081222"
"b"|"31980227"|"11081496"
"t"|"31980227"|"11081497"
"t"|"31980226"|"11081402"
"b"|"31980226"|"11081403"
"t"|"31980224"|"11080871"
"c"|"31979712"|"11081647"
"k"|"31979712"|"11081648"
"y"|"31979713"|"11081742"
"k"|"31979713"|"11081743"
"c"|"31979714"|"11081649"
"y"|"31979714"|"11081650"
"k"|"31979714"|"11081651"
"y"|"31979715"|"11081489"
"k"|"31979715"|"11081490"
"t"|"31979716"|"11081652"
"t"|"31979718"|"11081744"
"t"|"31979719"|"11081653"
"b"|"31979723"|"11081321"
"t"|"31979368"|"11080893"
"y"|"31979369"|"11081244"
"k"|"31979369"|"11081245"
"t"|"31979369"|"11081246"
"m"|"31979370"|"11081247"
"y"|"31979370"|"11081248"
"k"|"31979370"|"11081249"
"y"|"31979371"|"11081250"
"k"|"31979371"|"11081251"
"t"|"31980258"|"11081643"
"t"|"31980259"|"11081644"
"t"|"31980260"|"11081811"
"t"|"31980262"|"11081812"
"t"|"31980263"|"11081731"
"k"|"31980264"|"11081813"
"t"|"31980266"|"11081585"
"t"|"31980267"|"11081586"
"t"|"31980268"|"11081587"
