"SC"|No |"31979600"|"60811333"
"CL"|Yes|"31979599"|"60811331"
"SC"|Yes|"31979598"|"60811330"
"SC"|Yes|"31979597"|"60811327"
"SC-SM"|No |"31979597"|"60811328"
"SM"|No |"31979597"|"60811329"
"GC-GM"|Yes|"31979596"|"60811323"
"GM"|No |"31979596"|"60811324"
"SC-SM"|No |"31979596"|"60811325"
"SM"|No |"31979596"|"60811326"
"SC-SM"|Yes|"31979587"|"60811305"
"SM"|No |"31979587"|"60811306"
"SC-SM"|Yes|"31979586"|"60811303"
"SM"|No |"31979586"|"60811304"
"SC-SM"|Yes|"31979585"|"60811300"
"SM"|No |"31979585"|"60811301"
"SP-SM"|No |"31979585"|"60811302"
"SC-SM"|Yes|"31979584"|"60811297"
"SM"|No |"31979584"|"60811298"
"SP-SM"|No |"31979584"|"60811299"
