"mixed"|"11254332"|"8763046"
"mixed"|"11254156"|"8762963"
"mixed"|"11254324"|"8762942"
"mixed"|"11254325"|"8762941"
"mixed"|"11254326"|"8763007"
"mixed"|"11254162"|"8763030"
"mixed"|"11254163"|"8762965"
"mixed"|"11254165"|"8763097"
"mixed"|"11254166"|"8763098"
"mixed"|"11254169"|"8762966"
"not used"|"11254180"|"8762969"
"not used"|"11254181"|"8763101"
"mixed"|"11254192"|"8763155"
"mixed"|"11254193"|"8763154"
"mixed"|"11254194"|"8762972"
"mixed"|"11254195"|"8763037"
"mixed"|"11254095"|"8762949"
"mixed"|"11254333"|"8763108"
"mixed"|"11254334"|"8763109"
"mixed"|"11254335"|"8763110"
